sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,12.60,-7.94,-2.51,28.89,12.71,2,1,8.17,1.49,223,0.52,12.73,21.54,1.54,74.81
signal1-model12330-TSM-,7.83,-3.14,-0.01,25.94,8.15,2,1,5.28,1.45,156,0.34,6.36,16.97,1.48,79.84
signal1-model1ICICIBC-IBN-,12.29,-5.51,-5.51,62.56,11.59,1,2,8.89,1.35,235,0.57,9.73,26.84,1.38,70.75
signal1-model1TTMT-TTM-,10.30,-9.97,-7.16,45.22,10.63,2,2,8.90,1.15,384,0.57,8.85,22.32,1.16,63.41
signal1-model1HDFCB-HDB-,6.13,-7.46,-4.58,24.20,6.42,2,2,6.43,0.96,295,0.41,6.05,13.59,0.95,65.19
signal1-model12303-UMC-,12.41,-3.88,0.16,26.28,12.05,2,1,7.04,1.70,203,0.45,11.80,18.91,1.76,78.70
signal1-model2INFO-INFY-,17.29,-5.21,0.65,34.76,17.50,2,1,8.36,1.95,179,0.54,17.97,25.77,2.07,94.94
signal1-model22330-TSM-,9.16,-0.44,1.00,23.68,9.24,2,1,5.04,1.77,39,0.32,8.31,15.94,1.82,96.15
signal1-model2ICICIBC-IBN-,16.50,-0.73,1.63,55.96,15.80,1,1,9.03,1.74,53,0.58,12.70,31.50,1.83,98.31
signal1-model2TTMT-TTM-,14.25,-5.74,-5.32,40.92,14.91,2,1,8.69,1.58,367,0.56,16.84,28.95,1.64,89.55
signal1-model2HDFCB-HDB-,9.05,-2.15,-2.15,35.62,9.70,2,1,6.01,1.47,189,0.38,9.23,19.97,1.51,86.96
signal1-model22303-UMC-,16.20,-1.24,5.29,37.56,14.98,2,1,7.63,2.01,33,0.49,13.58,24.17,2.12,95.65
signal2-model1INFO-INFY-,15.50,-3.50,3.61,33.53,15.82,2,1,7.14,2.06,146,0.46,16.66,26.05,2.17,85.06
signal2-model12330-TSM-,7.57,-3.14,-0.06,19.78,7.78,2,1,3.99,1.85,87,0.26,6.82,12.29,1.90,82.07
signal2-model1ICICIBC-IBN-,12.68,-4.73,-4.22,62.20,12.26,2,1,7.62,1.60,203,0.49,9.34,22.24,1.66,80.51
signal2-model1TTMT-TTM-,16.24,-9.97,-1.28,49.83,16.74,3,2,8.65,1.78,207,0.55,15.68,27.57,1.88,80.88
signal2-model1HDFCB-HDB-,6.38,-4.25,-1.91,23.18,6.66,3,2,5.47,1.16,257,0.35,5.68,13.52,1.17,74.34
signal2-model12303-UMC-,10.01,-4.20,-2.21,24.23,9.69,2,1,6.18,1.58,283,0.40,9.70,18.63,1.62,78.40
signal2-model2INFO-INFY-,17.44,-2.56,5.90,35.06,17.80,2,1,7.60,2.15,146,0.49,17.49,27.70,2.29,95.04
signal2-model22330-TSM-,8.43,-1.79,0.79,19.24,8.61,2,1,3.97,2.06,87,0.25,7.76,14.52,2.12,88.43
signal2-model2ICICIBC-IBN-,16.65,-0.53,1.24,66.52,16.48,2,1,8.71,1.81,137,0.56,13.90,26.69,1.91,94.38
signal2-model2TTMT-TTM-,19.41,-3.72,5.42,45.55,20.05,2,1,9.03,2.01,61,0.58,20.09,30.85,2.15,93.46
signal2-model2HDFCB-HDB-,8.20,-3.01,-2.92,22.31,8.67,2,1,5.41,1.48,358,0.35,8.58,16.56,1.52,84.21
signal2-model22303-UMC-,12.71,-2.44,0.90,36.29,11.74,2,1,6.77,1.80,110,0.43,10.87,20.66,1.88,87.88
