methodID,date,premium,HighBond,LowBond,meanLine,asiaPos,usPos,operation
signal1-model1,2020-08-06,3.89157803921569,4.00835367200628,3.70753227936136,3.85794297568382,19.8,-3.39,
signal1-model1,2020-08-07,3.98605925925926,4.0233611760339,3.70224736792633,3.86280427198011,19.8,-3.39,
signal1-model1,2020-08-10,3.98615762376238,4.03930228725302,3.70049387537087,3.86989808131194,19.8,-3.39,
signal1-model1,2020-08-11,3.92082509803922,4.04295033584945,3.70989675763099,3.87642354674022,19.8,-3.39,
signal1-model1,2020-08-12,3.96485373737374,4.04751262686584,3.7086103570693,3.87806149196757,19.8,-3.39,
signal1-model1,2020-08-13,3.92628466257669,4.04872448165729,3.70858573776629,3.87865510971179,19.8,-3.39,
signal1-model1,2020-08-14,4.00134806866953,4.06421817677261,3.70919699877165,3.88670758777213,19.8,-3.39,
signal1-model1,2020-08-17,3.91190379746835,4.06662024662233,3.7116063358591,3.88911329124072,19.8,-3.39,
signal1-model1,2020-08-18,3.86697131147541,4.06659339951335,3.7115232693395,3.88905833442643,19.8,-3.39,
signal1-model1,2020-08-19,3.8,4.06533142867377,3.7020381097443,3.88368476920903,19.8,-3.39,
signal1-model1,2020-08-20,3.9624701754386,4.06367643258246,3.72769871797406,3.89568757527826,19.8,-3.39,
signal1-model1,2020-08-21,3.78278040089087,4.05419939921372,3.71635338739148,3.8852763933026,19.8,-3.39,
signal1-model1,2020-08-24,3.91244965831435,4.05391733315005,3.72962500465245,3.89177116890125,19.8,-3.39,
signal1-model1,2020-08-25,3.88068703296703,4.04406144891773,3.75385185633241,3.89895665262507,19.8,-3.39,
signal1-model1,2020-08-26,3.96700363636364,4.04889207580934,3.7643986201042,3.90664534795677,19.8,-3.39,
signal1-model1,2020-08-27,3.89602133333333,4.0399239718673,3.78604540605213,3.91298468895972,19.8,-3.39,
signal1-model1,2020-08-28,3.91042201834862,4.04021099777152,3.78648679202844,3.91334889489998,19.8,-3.39,
signal1-model1,2020-08-31,3.80851809954751,4.03992057905104,3.78700724292589,3.91346391098846,19.8,-3.39,
signal1-model1,2020-09-01,3.86099203747073,4.03953327900904,3.7822933895721,3.91091333429057,19.8,-3.39,
signal1-model1,2020-09-02,3.8399619047619,4.03177571391709,3.77595307561059,3.90386439476384,19.8,-3.39,
signal1-model1,2020-09-03,3.84881090909091,4.03191188260642,3.77154019390879,3.9017260382576,19.8,-3.39,
signal1-model1,2020-09-04,3.87782775119617,4.02060445891201,3.77202446679689,3.89631446285445,19.8,-3.39,
signal1-model1,2020-09-07,3.5046686825054,4.08104667957697,3.66343335200623,3.8722400157916,-23.15,3.52,跌下限\开盘平\收盘加仓美股
signal1-model1,2020-09-08,3.26893606557377,4.17913999915708,3.50015112917957,3.83964556416833,0,0,跌下限\开盘平\收盘平
signal1-model1,2020-09-09,3.82443451327434,4.16698547029137,3.49826373563535,3.83262460296336,0,0,
signal1-model1,2020-09-10,3.81863908523908,4.15870817850204,3.49577646969092,3.82724232409648,0,0,
signal1-model1,2020-09-11,3.85019829059829,4.14117888469469,3.49819078569114,3.81968483519292,0,0,
signal1-model1,2020-09-14,3.78350212765957,4.13212225666596,3.494407246739,3.81326475170248,0,0,
