sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,16.54,-8.11,-4.46,62.36,15.91,3,2,7.35,2.12,351,0.47,12.87,29.90,2.25,79.22
signal1-model12330-TSM-,-0.05,-20.38,-15.28,11.23,0.58,6,3,4.76,0.01,181,0.30,1.49,5.86,-0.01,55.53
signal1-model1ICICIBC-IBN-,16.05,-7.86,-4.93,39.92,14.91,3,2,7.03,2.15,172,0.45,13.87,25.74,2.28,76.45
signal1-model1TTMT-TTM-,20.56,-11.76,-2.02,63.34,20.32,3,2,8.44,2.26,141,0.54,16.22,39.14,2.44,77.64
signal1-model1HDFCB-HDB-,12.51,-5.68,-3.66,48.64,11.70,5,3,8.46,1.43,213,0.54,10.43,22.38,1.48,68.47
signal1-model12303-UMC-,4.27,-11.54,-11.54,22.79,4.12,7,3,6.75,0.65,840,0.43,3.30,12.40,0.63,54.26
signal1-model2INFO-INFY-,15.30,-13.05,-13.05,60.24,14.58,3,2,7.02,2.07,567,0.45,12.50,31.04,2.18,87.61
signal1-model22330-TSM-,3.01,-13.32,-13.09,16.87,3.75,6,2,4.33,0.71,514,0.28,4.51,9.21,0.69,72.26
signal1-model2ICICIBC-IBN-,19.43,-4.46,3.28,43.59,18.36,3,2,7.88,2.29,63,0.50,17.34,28.54,2.46,88.94
signal1-model2TTMT-TTM-,23.06,-6.14,-4.96,64.21,22.80,3,1,9.18,2.31,75,0.59,17.40,45.76,2.51,86.14
signal1-model2HDFCB-HDB-,13.92,-6.01,-4.61,35.79,12.24,5,1,8.45,1.58,156,0.54,11.72,22.89,1.65,86.59
signal1-model22303-UMC-,10.49,-8.06,-4.02,28.43,10.14,7,2,6.42,1.59,151,0.41,9.85,18.87,1.64,76.54
signal2-model1INFO-INFY-,15.50,-8.55,-5.37,47.99,14.74,3,2,6.87,2.13,287,0.44,13.46,25.57,2.25,78.87
signal2-model12330-TSM-,0.00,-21.43,-16.32,11.28,-0.06,6,4,4.44,0.02,391,0.28,0.46,7.16,0.00,59.08
signal2-model1ICICIBC-IBN-,13.77,-11.54,-8.69,31.88,12.57,3,3,7.59,1.74,290,0.49,12.53,22.30,1.81,75.44
signal2-model1TTMT-TTM-,18.65,-8.57,-2.77,45.90,17.99,3,2,8.93,1.96,125,0.57,16.46,33.80,2.09,77.78
signal2-model1HDFCB-HDB-,13.36,-5.01,-0.14,55.82,12.18,5,3,8.09,1.59,147,0.52,10.82,21.68,1.65,70.56
signal2-model12303-UMC-,2.75,-8.82,-6.85,14.06,2.45,7,3,6.18,0.47,724,0.40,2.44,7.08,0.45,55.93
signal2-model2INFO-INFY-,14.27,-10.31,-9.80,48.20,13.47,3,2,6.72,2.02,429,0.43,12.03,27.04,2.12,82.77
signal2-model22330-TSM-,2.32,-15.81,-12.33,11.97,2.15,6,2,3.92,0.61,412,0.25,2.67,8.95,0.59,68.06
signal2-model2ICICIBC-IBN-,15.40,-9.31,-4.96,31.73,14.31,3,2,7.78,1.88,168,0.50,13.81,24.99,1.98,80.07
signal2-model2TTMT-TTM-,18.85,-10.94,-9.95,45.51,18.09,3,2,9.18,1.93,157,0.59,17.37,36.01,2.05,80.83
signal2-model2HDFCB-HDB-,12.58,-7.30,-5.47,44.04,11.23,5,2,8.09,1.50,223,0.52,10.91,22.71,1.55,81.29
signal2-model22303-UMC-,6.35,-6.22,-3.28,18.82,5.80,7,2,5.69,1.11,339,0.36,5.48,10.53,1.12,66.79
