secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-09,AU,L0,209.99,,230.95,230.99,221.88,224.74,223.3,103364.0,23230100000.0,16342.0,13.31,14.75,0.06338400000000001,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-10,AU,L0,224.74,223.3,222.5,222.85,213.7,217.68,215.12,87984.0,19153200000.0,23494.0,-9.62,-7.06,-0.0428,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-11,AU,L0,217.68,215.12,218.0,219.23,215.5,217.79,218.1,85418.0,18604000000.0,25424.0,0.42,0.11,0.0019,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-14,AU,L0,217.79,218.1,218.85,220.25,217.6,219.28,220.1,60776.0,13327000000.0,27714.0,2.31,1.49,0.0106,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-15,AU,L0,219.28,220.1,220.7,224.6,220.3,223.11,223.8,88242.0,19688300000.0,29866.0,4.52,3.83,0.0206,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-16,AU,L0,223.11,223.8,220.6,220.6,215.4,217.51,215.89,94362.0,20524700000.0,29582.0,-7.22,-5.6,-0.032360700000000006,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-17,AU,L0,217.51,215.89,214.03,216.8,213.5,215.5,216.47,61962.0,13352900000.0,30916.0,-1.04,-2.01,-0.00478139,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-18,AU,L0,215.5,216.47,214.0,214.9,212.42,213.72,214.7,58006.0,12397100000.0,29538.0,-0.8,-1.78,-0.0037,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-21,AU,L0,213.72,214.7,214.7,216.33,213.8,215.2,214.2,43510.0,9363400000.0,30294.0,0.48,1.48,0.0022,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-22,AU,L0,215.2,214.2,208.0,209.5,204.72,207.58,206.42,78532.0,16301800000.0,29326.0,-8.78,-7.62,-0.040799300000000004,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-23,AU,L0,207.58,206.42,212.0,214.25,210.9,212.59,212.51,60988.0,12965600000.0,26596.0,4.93,5.01,0.0237,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-24,AU,L0,212.59,212.51,213.02,217.08,212.61,214.41,216.7,57962.0,12428100000.0,30156.0,4.11,1.82,0.0193,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-25,AU,L0,214.41,216.7,220.1,221.4,218.32,219.81,219.8,72624.0,15964000000.0,32428.0,5.39,5.4,0.0251,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-28,AU,L0,219.81,219.8,219.6,221.97,219.2,220.68,220.33,62712.0,13839900000.0,33182.0,0.52,0.87,0.00236568,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-29,AU,L0,220.68,220.33,223.6,224.3,222.56,223.37,222.56,47652.0,10644300000.0,34168.0,1.88,2.69,0.0085,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-30,AU,L0,223.37,222.56,221.0,222.05,220.01,221.06,220.1,36230.0,8009290000.0,35728.0,-3.27,-2.31,-0.0146,1.0,0.0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-31,AU,L0,221.06,220.1,220.0,221.04,218.22,219.48,219.35,43002.0,9438440000.0,33082.0,-1.71,-1.58,-0.0077,1.0,0.0
