secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
CU0205.XSGE,cu0205,XSGE,沪铜0205,Copper cathode 0205,2002-01-07,CU,L4,15150.0,,15170.0,15340.0,15170.0,15280.0,15280.0,32814.0,,66106.0,130.0,130.0,0.00858086,1.0,0.0
CU0205.XSGE,cu0205,XSGE,沪铜0205,Copper cathode 0205,2002-01-08,CU,L4,15280.0,15280.0,15730.0,15730.0,15730.0,15730.0,15730.0,1646.0,,65122.0,450.0,450.0,0.0294503,1.0,0.0
CU0205.XSGE,cu0205,XSGE,沪铜0205,Copper cathode 0205,2002-01-09,CU,L4,15730.0,15730.0,15800.0,15870.0,15640.0,15740.0,15750.0,61572.0,,54422.0,20.0,10.0,0.00127146,1.0,0.0
CU0205.XSGE,cu0205,XSGE,沪铜0205,Copper cathode 0205,2002-01-10,CU,L4,15740.0,15750.0,15810.0,15850.0,15700.0,15790.0,15700.0,30180.0,,55292.0,-40.0,50.0,-0.0025413,1.0,0.0
CU0205.XSGE,cu0205,XSGE,沪铜0205,Copper cathode 0205,2002-01-11,CU,L4,15790.0,15700.0,15580.0,15720.0,15550.0,15660.0,15710.0,31418.0,,53020.0,-80.0,-130.0,-0.0050665,1.0,0.0
CU0205.XSGE,cu0205,XSGE,沪铜0205,Copper cathode 0205,2002-01-14,CU,L4,15660.0,15710.0,15720.0,15780.0,15660.0,15720.0,15700.0,17322.0,,54452.0,40.0,60.0,0.00255428,1.0,0.0
CU0205.XSGE,cu0205,XSGE,沪铜0205,Copper cathode 0205,2002-01-15,CU,L4,15720.0,15700.0,15710.0,15770.0,15680.0,15730.0,15740.0,13712.0,,52660.0,20.0,10.0,0.00127226,1.0,0.0
CU0205.XSGE,cu0205,XSGE,沪铜0205,Copper cathode 0205,2002-01-16,CU,L3,15730.0,15740.0,15610.0,15670.0,15610.0,15630.0,15620.0,11042.0,,51000.0,-110.0,-100.0,-0.00699301,1.0,0.0
CU0206.XSGE,cu0206,XSGE,沪铜0206,Copper cathode 0206,2002-01-17,CU,L4,15780.0,15770.0,15900.0,15920.0,15850.0,15880.0,15860.0,29046.0,,61290.0,80.0,100.0,0.00506971,1.0,0.0
CU0206.XSGE,cu0206,XSGE,沪铜0206,Copper cathode 0206,2002-01-18,CU,L4,15880.0,15860.0,15880.0,15950.0,15760.0,15850.0,15770.0,52254.0,,69634.0,-110.0,-30.0,-0.00692695,1.0,0.0
