secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-08,JD,L2,4000.0,,4050.0,4078.0,3970.0,4010.0,3976.0,264550.0,10610800000.0,38942.0,-24.0,10.0,-0.006,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-11,JD,L2,4010.0,3976.0,3982.0,3983.0,3932.0,3949.0,3941.0,148860.0,5879630000.0,44132.0,-69.0,-61.0,-0.0172,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-12,JD,L2,3949.0,3941.0,3940.0,3970.0,3932.0,3957.0,3951.0,93396.0,3695680000.0,38812.0,2.0,8.0,0.0005,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-13,JD,L2,3957.0,3951.0,3946.0,3970.0,3935.0,3958.0,3952.0,62148.0,2459830000.0,36600.0,-5.0,1.0,-0.00126358,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-14,JD,L2,3958.0,3952.0,3958.0,3963.0,3939.0,3952.0,3957.0,37318.0,1475080000.0,32232.0,-1.0,-6.0,-0.00025265,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-15,JD,L2,3952.0,3957.0,3955.0,4015.0,3954.0,3994.0,4013.0,133512.0,5332990000.0,43098.0,61.0,42.0,0.0154,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-18,JD,L2,3994.0,4013.0,4015.0,4039.0,4003.0,4025.0,4029.0,108186.0,4354550000.0,50176.0,35.0,31.0,0.00876314,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-19,JD,L2,4025.0,4029.0,4025.0,4036.0,4012.0,4023.0,4023.0,62266.0,2505120000.0,43000.0,-2.0,-2.0,-0.00049689,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-20,JD,L2,4023.0,4023.0,4025.0,4048.0,4016.0,4036.0,4036.0,59612.0,2405940000.0,43524.0,13.0,13.0,0.0032,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-21,JD,L2,4036.0,4036.0,4039.0,4039.0,4005.0,4021.0,4010.0,40740.0,1638530000.0,35924.0,-26.0,-15.0,-0.0064,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-22,JD,L2,4021.0,4010.0,4012.0,4040.0,4006.0,4024.0,4018.0,40808.0,1642290000.0,35390.0,-3.0,3.0,-0.0007,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-25,JD,L2,4024.0,4018.0,4021.0,4178.0,4021.0,4138.0,4168.0,275042.0,11382800000.0,70756.0,144.0,114.0,0.0357853,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-26,JD,L2,4138.0,4168.0,4170.0,4180.0,4145.0,4161.0,4162.0,150308.0,6254690000.0,63964.0,24.0,23.0,0.005799899999999999,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-27,JD,L2,4161.0,4162.0,4166.0,4174.0,4123.0,4145.0,4138.0,119328.0,4947170000.0,59036.0,-23.0,-16.0,-0.0055,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-28,JD,L2,4145.0,4138.0,4138.0,4193.0,4138.0,4168.0,4174.0,188778.0,7869210000.0,68226.0,29.0,23.0,0.00699638,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-11-29,JD,L2,4168.0,4174.0,4179.0,4185.0,4156.0,4170.0,4172.0,90070.0,3755990000.0,66538.0,4.0,2.0,0.00095969,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-02,JD,L2,4170.0,4172.0,4173.0,4190.0,4151.0,4168.0,4162.0,58520.0,2439190000.0,66024.0,-8.0,-2.0,-0.0019,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-03,JD,L2,4168.0,4162.0,4160.0,4196.0,4140.0,4169.0,4163.0,162642.0,6781260000.0,68806.0,-5.0,1.0,-0.00119962,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-04,JD,L2,4169.0,4163.0,4166.0,4176.0,4150.0,4160.0,4153.0,66138.0,2751450000.0,68428.0,-16.0,-9.0,-0.0038,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-05,JD,L2,4160.0,4153.0,4155.0,4181.0,4149.0,4165.0,4159.0,86416.0,3599410000.0,66256.0,-1.0,5.0,-0.0002,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-06,JD,L2,4165.0,4159.0,4160.0,4180.0,4109.0,4143.0,4131.0,93086.0,3857270000.0,60776.0,-34.0,-22.0,-0.00816327,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-09,JD,L2,4143.0,4131.0,4138.0,4150.0,4130.0,4139.0,4134.0,43026.0,1780940000.0,60958.0,-9.0,-4.0,-0.00217234,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-10,JD,L2,4139.0,4134.0,4143.0,4190.0,4134.0,4163.0,4155.0,141624.0,5896890000.0,64268.0,16.0,24.0,0.00386567,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-11,JD,L2,4163.0,4155.0,4161.0,4175.0,4149.0,4162.0,4155.0,68642.0,2857020000.0,63620.0,-8.0,-1.0,-0.0019,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-12,JD,L2,4162.0,4155.0,4159.0,4172.0,4144.0,4160.0,4153.0,56068.0,2332950000.0,62124.0,-9.0,-2.0,-0.00216242,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-13,JD,L2,4160.0,4153.0,4147.0,4157.0,4090.0,4121.0,4101.0,78890.0,3251170000.0,59600.0,-59.0,-39.0,-0.0141827,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-16,JD,L2,4121.0,4101.0,4111.0,4119.0,4082.0,4099.0,4088.0,53850.0,2207460000.0,60532.0,-33.0,-22.0,-0.008,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-17,JD,L2,4099.0,4088.0,4091.0,4125.0,4091.0,4109.0,4107.0,56850.0,2336450000.0,58862.0,8.0,10.0,0.0019517,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-18,JD,L2,4109.0,4107.0,4101.0,4122.0,4094.0,4106.0,4098.0,40438.0,1660660000.0,59594.0,-11.0,-3.0,-0.00267705,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-19,JD,L2,4106.0,4098.0,4093.0,4093.0,3962.0,4000.0,3989.0,221438.0,8858240000.0,66598.0,-117.0,-106.0,-0.0284949,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-20,JD,L2,4000.0,3989.0,3971.0,4000.0,3967.0,3982.0,3982.0,82202.0,3273660000.0,56724.0,-18.0,-18.0,-0.0045,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-23,JD,L2,3982.0,3982.0,3957.0,3973.0,3933.0,3957.0,3969.0,69360.0,2745120000.0,57290.0,-13.0,-25.0,-0.00326469,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-24,JD,L2,3957.0,3969.0,3963.0,3994.0,3961.0,3982.0,3982.0,57416.0,2286780000.0,56144.0,25.0,25.0,0.0063,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-25,JD,L2,3982.0,3982.0,3985.0,4023.0,3980.0,4003.0,3995.0,62000.0,2482390000.0,56212.0,13.0,21.0,0.00326469,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-26,JD,L2,4003.0,3995.0,4000.0,4017.0,3958.0,3973.0,3973.0,67728.0,2691210000.0,55866.0,-30.0,-30.0,-0.00749438,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-27,JD,L2,3973.0,3973.0,3972.0,3993.0,3965.0,3979.0,3968.0,37100.0,1476520000.0,54554.0,-5.0,6.0,-0.00125849,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-30,JD,L2,3979.0,3968.0,3970.0,4006.0,3967.0,3988.0,3984.0,47234.0,1883900000.0,52060.0,5.0,9.0,0.0012565999999999999,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2013-12-31,JD,L2,3988.0,3984.0,3981.0,4000.0,3939.0,3964.0,3951.0,60322.0,2391320000.0,54984.0,-37.0,-24.0,-0.00927783,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-02,JD,L2,3964.0,3951.0,3951.0,3978.0,3941.0,3966.0,3975.0,31536.0,1250900000.0,53426.0,11.0,2.0,0.00277497,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-03,JD,L2,3966.0,3975.0,3998.0,4036.0,3980.0,4014.0,4015.0,102594.0,4118400000.0,55466.0,49.0,48.0,0.012355,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-06,JD,L2,4014.0,4015.0,4005.0,4024.0,3940.0,3990.0,3943.0,76746.0,3062350000.0,56884.0,-71.0,-24.0,-0.0176881,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-07,JD,L2,3990.0,3943.0,3832.0,3919.0,3832.0,3869.0,3865.0,102798.0,3977690000.0,52084.0,-125.0,-121.0,-0.0313,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-08,JD,L2,3869.0,3865.0,3869.0,3884.0,3843.0,3857.0,3857.0,46162.0,1780520000.0,51118.0,-12.0,-12.0,-0.0031,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-09,JD,L2,3857.0,3857.0,3850.0,3880.0,3808.0,3840.0,3826.0,65388.0,2511010000.0,54234.0,-31.0,-17.0,-0.008,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-10,JD,L2,3840.0,3826.0,3822.0,3847.0,3815.0,3831.0,3832.0,38390.0,1471000000.0,53484.0,-8.0,-9.0,-0.00208333,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-13,JD,L2,3831.0,3832.0,3830.0,3860.0,3816.0,3834.0,3826.0,41632.0,1596220000.0,53012.0,-5.0,3.0,-0.0013,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-14,JD,L2,3834.0,3826.0,3834.0,3875.0,3827.0,3849.0,3865.0,40826.0,1571780000.0,50164.0,31.0,15.0,0.00808555,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-15,JD,L2,3849.0,3865.0,3866.0,3866.0,3820.0,3835.0,3828.0,52378.0,2009180000.0,54522.0,-21.0,-14.0,-0.00545596,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-16,JD,L2,3835.0,3828.0,3835.0,3837.0,3766.0,3785.0,3770.0,89098.0,3373060000.0,64710.0,-65.0,-50.0,-0.0169,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-17,JD,L2,3785.0,3770.0,3770.0,3785.0,3751.0,3773.0,3778.0,56748.0,2141320000.0,62420.0,-7.0,-12.0,-0.0018,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-20,JD,L2,3773.0,3778.0,3772.0,3808.0,3772.0,3791.0,3781.0,49338.0,1870580000.0,59752.0,8.0,18.0,0.0021,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-21,JD,L2,3791.0,3781.0,3771.0,3772.0,3725.0,3740.0,3734.0,52218.0,1953010000.0,60536.0,-57.0,-51.0,-0.015,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-22,JD,L2,3740.0,3734.0,3730.0,3731.0,3666.0,3696.0,3696.0,113068.0,4179350000.0,63354.0,-44.0,-44.0,-0.011764700000000001,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-23,JD,L2,3696.0,3696.0,3688.0,3721.0,3686.0,3706.0,3706.0,39234.0,1454170000.0,62654.0,10.0,10.0,0.0027,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-24,JD,L2,3706.0,3706.0,3700.0,3718.0,3676.0,3702.0,3703.0,44774.0,1657970000.0,65132.0,-3.0,-4.0,-0.0008,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-27,JD,L2,3702.0,3703.0,3688.0,3735.0,3685.0,3714.0,3726.0,69218.0,2570860000.0,63276.0,24.0,12.0,0.00648298,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-28,JD,L2,3714.0,3726.0,3710.0,3762.0,3710.0,3742.0,3729.0,92514.0,3462160000.0,59500.0,15.0,28.0,0.004,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-29,JD,L2,3742.0,3729.0,3732.0,3759.0,3714.0,3729.0,3728.0,37580.0,1401530000.0,57036.0,-14.0,-13.0,-0.0037,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-01-30,JD,L2,3729.0,3728.0,3727.0,3752.0,3724.0,3740.0,3741.0,23578.0,881916000.0,55398.0,12.0,11.0,0.0032,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-02-07,JD,L2,3740.0,3741.0,3741.0,3780.0,3693.0,3733.0,3697.0,44146.0,1648060000.0,62834.0,-43.0,-7.0,-0.0114973,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-02-10,JD,L2,3733.0,3697.0,3687.0,3750.0,3676.0,3714.0,3739.0,65214.0,2422280000.0,67318.0,6.0,-19.0,0.0016,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-02-11,JD,L2,3714.0,3739.0,3740.0,3767.0,3718.0,3742.0,3720.0,78840.0,2950520000.0,75432.0,6.0,28.0,0.0016,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-02-12,JD,L2,3742.0,3720.0,3719.0,3732.0,3701.0,3715.0,3719.0,36230.0,1345990000.0,74618.0,-23.0,-27.0,-0.0061,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-02-13,JD,L2,3715.0,3719.0,3730.0,3749.0,3720.0,3730.0,3730.0,32468.0,1211290000.0,74504.0,15.0,15.0,0.004,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-02-14,JD,L2,3730.0,3730.0,3735.0,3834.0,3708.0,3789.0,3831.0,176542.0,6689770000.0,83726.0,101.0,59.0,0.0270777,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-02-17,JD,L2,3789.0,3831.0,3840.0,3859.0,3816.0,3835.0,3840.0,97176.0,3727630000.0,77244.0,51.0,46.0,0.01346,1.0,0.0
JD1405.XDCE,jd1405,XDCE,连鸡蛋1405,Fresh Hen Egg 1405,2014-02-18,JD,L2,3835.0,3840.0,3842.0,3866.0,3822.0,3843.0,3851.0,83344.0,3203260000.0,77322.0,16.0,8.0,0.004172100000000001,1.0,0.0
