secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
M0103.XDCE,m0103,XDCE,连豆粕0103,Soybean Meal 0103,2001-01-02,M,L1,1946.0,1944.0,1946.0,1970.0,1946.0,1963.0,1965.0,1354.0,26592200.0,2888.0,19.0,17.0,0.00976362,1.0,0.0
M0103.XDCE,m0103,XDCE,连豆粕0103,Soybean Meal 0103,2001-01-03,M,L1,1963.0,1965.0,1905.0,1960.0,1905.0,1954.0,1958.0,1436.0,28064000.0,2902.0,-5.0,-9.0,-0.00254712,1.0,0.0
M0103.XDCE,m0103,XDCE,连豆粕0103,Soybean Meal 0103,2001-01-04,M,L1,1954.0,1958.0,1953.0,1960.0,1940.0,1954.0,1940.0,1556.0,30411800.0,3006.0,-14.0,0.0,-0.00716479,1.0,0.0
M0103.XDCE,m0103,XDCE,连豆粕0103,Soybean Meal 0103,2001-01-05,M,L1,1954.0,1940.0,1943.0,1946.0,1892.0,1922.0,1928.0,1472.0,28301200.0,3046.0,-26.0,-32.0,-0.013306,1.0,0.0
M0103.XDCE,m0103,XDCE,连豆粕0103,Soybean Meal 0103,2001-01-08,M,L1,1922.0,1928.0,1938.0,1940.0,1846.0,1903.0,1846.0,1332.0,25360900.0,3580.0,-76.0,-19.0,-0.0395421,1.0,0.0
M0103.XDCE,m0103,XDCE,连豆粕0103,Soybean Meal 0103,2001-01-09,M,L1,1903.0,1846.0,1846.0,1846.0,1827.0,1838.0,1837.0,1462.0,26875400.0,3528.0,-66.0,-65.0,-0.034682099999999993,1.0,0.0
M0103.XDCE,m0103,XDCE,连豆粕0103,Soybean Meal 0103,2001-01-10,M,L1,1838.0,1837.0,1836.0,1850.0,1835.0,1844.0,1850.0,1242.0,22904200.0,3490.0,12.0,6.0,0.00652884,1.0,0.0
M0103.XDCE,m0103,XDCE,连豆粕0103,Soybean Meal 0103,2001-01-11,M,L1,1844.0,1850.0,1846.0,1846.0,1800.0,1829.0,1820.0,1580.0,28908400.0,3506.0,-24.0,-15.0,-0.013015200000000001,1.0,0.0
M0103.XDCE,m0103,XDCE,连豆粕0103,Soybean Meal 0103,2001-01-12,M,L1,1829.0,1820.0,1814.0,1814.0,1780.0,1796.0,1780.0,1538.0,27625400.0,3512.0,-49.0,-33.0,-0.0267906,1.0,0.0
M0105.XDCE,m0105,XDCE,连豆粕0105,Soybean Meal 0105,2001-01-15,M,L2,1893.0,1866.0,1855.0,1868.0,1855.0,1862.0,1865.0,1464.0,27273100.0,3522.0,-28.0,-31.0,-0.014791299999999999,1.0,0.0
M0105.XDCE,m0105,XDCE,连豆粕0105,Soybean Meal 0105,2001-01-16,M,L1,1862.0,1865.0,1861.0,1864.0,1856.0,1861.0,1864.0,1028.0,19138900.0,3520.0,2.0,-1.0,0.00107411,1.0,0.0
M0105.XDCE,m0105,XDCE,连豆粕0105,Soybean Meal 0105,2001-01-17,M,L1,1861.0,1864.0,1860.0,1897.0,1860.0,1885.0,1897.0,1030.0,19424500.0,3510.0,36.0,24.0,0.0193444,1.0,0.0
M0105.XDCE,m0105,XDCE,连豆粕0105,Soybean Meal 0105,2001-01-18,M,L1,1885.0,1897.0,1898.0,1908.0,1890.0,1898.0,1899.0,1018.0,19331300.0,3510.0,14.0,13.0,0.00742706,1.0,0.0
M0105.XDCE,m0105,XDCE,连豆粕0105,Soybean Meal 0105,2001-01-19,M,L1,1898.0,1899.0,1898.0,1900.0,1850.0,1894.0,1870.0,1190.0,22542000.0,3376.0,-28.0,-4.0,-0.0147524,1.0,0.0
M0105.XDCE,m0105,XDCE,连豆粕0105,Soybean Meal 0105,2001-02-05,M,L1,1894.0,1870.0,1880.0,1890.0,1850.0,1873.0,1858.0,1486.0,27847500.0,3370.0,-36.0,-21.0,-0.0190074,1.0,0.0
M0105.XDCE,m0105,XDCE,连豆粕0105,Soybean Meal 0105,2001-02-06,M,L1,1873.0,1858.0,1900.0,1900.0,1860.0,1884.0,1878.0,1224.0,23062100.0,3162.0,5.0,11.0,0.00266951,1.0,0.0
M0105.XDCE,m0105,XDCE,连豆粕0105,Soybean Meal 0105,2001-02-07,M,L1,1884.0,1878.0,1860.0,1870.0,1860.0,1865.0,1862.0,924.0,17236500.0,3172.0,-22.0,-19.0,-0.0116773,1.0,0.0
M0105.XDCE,m0105,XDCE,连豆粕0105,Soybean Meal 0105,2001-02-08,M,L1,1865.0,1862.0,1862.0,1870.0,1852.0,1864.0,1862.0,1912.0,35653900.0,3084.0,-3.0,-1.0,-0.00160858,1.0,0.0
