secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
PK110.XZCE,PK110,XZCE,郑花生110,Peanut 110,2021-02-01,PK,L0,9350.0,9350.0,9866.0,10630.0,9866.0,10346.0,10504.0,521558.0,26976800000.0,45054.0,1154.0,996.0,0.123422,1.0,0.0
PK110.XZCE,PK110,XZCE,郑花生110,Peanut 110,2021-02-02,PK,L0,10346.0,10504.0,10504.0,10754.0,10352.0,10566.0,10414.0,566353.0,29921500000.0,44592.0,68.0,220.0,0.00657259,1.0,0.0
PK110.XZCE,PK110,XZCE,郑花生110,Peanut 110,2021-02-03,PK,L0,10566.0,10414.0,10330.0,10396.0,10124.0,10264.0,10304.0,365639.0,18764400000.0,39129.0,-262.0,-302.0,-0.0247965,1.0,0.0
PK110.XZCE,PK110,XZCE,郑花生110,Peanut 110,2021-02-04,PK,L0,10264.0,10304.0,10348.0,10416.0,10232.0,10308.0,10302.0,163381.0,8419940000.0,34081.0,38.0,44.0,0.00370226,1.0,0.0
PK110.XZCE,PK110,XZCE,郑花生110,Peanut 110,2021-02-05,PK,L0,10308.0,10302.0,10340.0,10400.0,10266.0,10326.0,10288.0,102226.0,5277570000.0,27237.0,-20.0,18.0,-0.00194024,1.0,0.0
PK110.XZCE,PK110,XZCE,郑花生110,Peanut 110,2021-02-08,PK,L0,10326.0,10288.0,10290.0,10466.0,10284.0,10386.0,10346.0,92351.0,4795990000.0,25857.0,20.0,60.0,0.00193686,1.0,0.0
PK110.XZCE,PK110,XZCE,郑花生110,Peanut 110,2021-02-09,PK,L0,10386.0,10346.0,10380.0,10444.0,10354.0,10394.0,10376.0,67913.0,3529110000.0,21307.0,-10.0,8.0,-0.00096283,1.0,0.0
PK110.XZCE,PK110,XZCE,郑花生110,Peanut 110,2021-02-10,PK,L0,10394.0,10376.0,10398.0,10424.0,10290.0,10352.0,10354.0,43182.0,2234940000.0,18297.0,-40.0,-42.0,-0.00384837,1.0,0.0
PK110.XZCE,PK110,XZCE,郑花生110,Peanut 110,2021-02-18,PK,L0,10352.0,10354.0,10398.0,10498.0,10380.0,10426.0,10400.0,29513.0,1538470000.0,18231.0,48.0,74.0,0.00463679,1.0,0.0
PK110.XZCE,PK110,XZCE,郑花生110,Peanut 110,2021-02-19,PK,L0,10426.0,10400.0,10416.0,10422.0,10216.0,10332.0,10368.0,26687.0,1378630000.0,18047.0,-58.0,-94.0,-0.00556302,1.0,0.0
PK110.XZCE,PK110,XZCE,郑花生110,Peanut 110,2021-02-22,PK,L0,10332.0,10368.0,10408.0,10732.0,10404.0,10540.0,10650.0,56427.0,2973290000.0,21270.0,318.0,208.0,0.0307782,1.0,0.0
PK110.XZCE,PK110,XZCE,郑花生110,Peanut 110,2021-02-23,PK,L0,10540.0,10650.0,10700.0,10966.0,10520.0,10836.0,10702.0,91217.0,4941550000.0,21664.0,162.0,296.0,0.015369999999999998,1.0,0.0
PK110.XZCE,PK110,XZCE,郑花生110,Peanut 110,2021-02-24,PK,L0,10836.0,10702.0,10750.0,10798.0,10564.0,10702.0,10710.0,42202.0,2258210000.0,20897.0,-126.0,-134.0,-0.0116279,1.0,0.0
PK110.XZCE,PK110,XZCE,郑花生110,Peanut 110,2021-02-25,PK,L0,10702.0,10710.0,10732.0,10920.0,10732.0,10854.0,10862.0,36914.0,2003230000.0,21839.0,160.0,152.0,0.0149505,1.0,0.0
