secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-03-27,RB,L0,3399.0,,3550.0,3663.0,3513.0,3577.0,3561.0,354590.0,12684200000.0,45548.0,162.0,178.0,0.0476611,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-03-30,RB,L0,3577.0,3561.0,3550.0,3580.0,3528.0,3548.0,3544.0,145168.0,5151450000.0,48380.0,-33.0,-29.0,-0.0092,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-03-31,RB,L0,3548.0,3544.0,3538.0,3566.0,3531.0,3549.0,3549.0,70592.0,2506000000.0,44714.0,1.0,1.0,0.00028185,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-01,RB,L0,3549.0,3549.0,3560.0,3561.0,3543.0,3549.0,3547.0,28100.0,997519000.0,42076.0,-2.0,0.0,-0.00056354,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-02,RB,L0,3549.0,3547.0,3545.0,3548.0,3456.0,3481.0,3473.0,235446.0,8197170000.0,68888.0,-76.0,-68.0,-0.0214,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-03,RB,L0,3481.0,3473.0,3481.0,3481.0,3436.0,3456.0,3448.0,152376.0,5266920000.0,75038.0,-33.0,-25.0,-0.00948003,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-07,RB,L0,3456.0,3448.0,3410.0,3518.0,3410.0,3482.0,3491.0,242578.0,8447990000.0,100482.0,35.0,26.0,0.0101,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-08,RB,L0,3482.0,3491.0,3480.0,3491.0,3456.0,3469.0,3463.0,147288.0,5110330000.0,91910.0,-19.0,-13.0,-0.00545663,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-09,RB,L0,3469.0,3463.0,3476.0,3486.0,3460.0,3472.0,3468.0,87688.0,3045150000.0,94832.0,-1.0,3.0,-0.00028827,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-10,RB,L0,3472.0,3468.0,3483.0,3499.0,3470.0,3485.0,3484.0,120978.0,4216230000.0,100164.0,12.0,13.0,0.00345622,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-13,RB,L0,3485.0,3484.0,3485.0,3493.0,3464.0,3481.0,3469.0,109820.0,3823170000.0,109430.0,-16.0,-4.0,-0.0045911,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-14,RB,L0,3481.0,3469.0,3475.0,3600.0,3469.0,3558.0,3560.0,540646.0,19237900000.0,150640.0,79.0,77.0,0.0226946,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-15,RB,L0,3558.0,3560.0,3570.0,3590.0,3550.0,3566.0,3562.0,255606.0,9116220000.0,151496.0,4.0,8.0,0.0011,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-16,RB,L0,3566.0,3562.0,3582.0,3628.0,3570.0,3597.0,3596.0,250464.0,9009790000.0,169328.0,30.0,31.0,0.0084,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-17,RB,L0,3597.0,3596.0,3594.0,3648.0,3581.0,3622.0,3620.0,339250.0,12288700000.0,219892.0,23.0,25.0,0.00639422,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-20,RB,L0,3622.0,3620.0,3620.0,3648.0,3608.0,3632.0,3623.0,259196.0,9415710000.0,237828.0,1.0,10.0,0.00027609,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-21,RB,L0,3632.0,3623.0,3580.0,3590.0,3486.0,3539.0,3524.0,332448.0,11767300000.0,239554.0,-108.0,-93.0,-0.0297,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-22,RB,L0,3539.0,3524.0,3550.0,3566.0,3508.0,3536.0,3526.0,168524.0,5959140000.0,232948.0,-13.0,-3.0,-0.00367335,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-23,RB,L0,3536.0,3526.0,3529.0,3531.0,3488.0,3507.0,3513.0,130386.0,4573760000.0,232986.0,-23.0,-29.0,-0.0065,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-24,RB,L0,3507.0,3513.0,3513.0,3522.0,3497.0,3506.0,3501.0,101444.0,3556990000.0,246048.0,-6.0,-1.0,-0.0017,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-27,RB,L0,3506.0,3501.0,3510.0,3520.0,3492.0,3505.0,3499.0,102472.0,3592030000.0,254508.0,-7.0,-1.0,-0.00199658,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-28,RB,L0,3505.0,3499.0,3496.0,3515.0,3496.0,3507.0,3507.0,96548.0,3386640000.0,262534.0,2.0,2.0,0.00057061,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-29,RB,L0,3507.0,3507.0,3507.0,3520.0,3503.0,3511.0,3520.0,102694.0,3606410000.0,275054.0,13.0,4.0,0.0037,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-04-30,RB,L0,3511.0,3520.0,3536.0,3575.0,3523.0,3543.0,3553.0,246912.0,8749850000.0,297600.0,42.0,32.0,0.0119624,1.0,0.0
RB0909.XSGE,rb0909,XSGE,沪螺钢0909,Steel Rebar 909,2009-05-04,RB,L0,3543.0,3553.0,3573.0,3660.0,3571.0,3624.0,3636.0,574332.0,20816200000.0,326102.0,93.0,81.0,0.0262,1.0,0.0
