secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
RU0204.XSGE,ru0204,XSGE,沪天胶0204,Natural Rubber 0204,2002-01-07,RU,L2,6650.0,,6620.0,6620.0,6580.0,6605.0,6610.0,220.0,,1244.0,-40.0,-45.0,-0.00601504,1.0,0.0
RU0204.XSGE,ru0204,XSGE,沪天胶0204,Natural Rubber 0204,2002-01-08,RU,L2,6605.0,6610.0,6660.0,6750.0,6660.0,6705.0,6750.0,480.0,,1324.0,145.0,100.0,0.021953099999999996,1.0,0.0
RU0204.XSGE,ru0204,XSGE,沪天胶0204,Natural Rubber 0204,2002-01-09,RU,L2,6705.0,6750.0,6750.0,6820.0,6740.0,6770.0,6820.0,200.0,,1364.0,115.0,65.0,0.0171514,1.0,0.0
RU0204.XSGE,ru0204,XSGE,沪天胶0204,Natural Rubber 0204,2002-01-10,RU,L2,6770.0,6820.0,6830.0,6870.0,6720.0,6780.0,6720.0,440.0,,1394.0,-50.0,10.0,-0.00738552,1.0,0.0
RU0204.XSGE,ru0204,XSGE,沪天胶0204,Natural Rubber 0204,2002-01-11,RU,L2,6780.0,6720.0,6690.0,6900.0,6690.0,6815.0,6870.0,316.0,,1450.0,90.0,35.0,0.0132743,1.0,0.0
RU0204.XSGE,ru0204,XSGE,沪天胶0204,Natural Rubber 0204,2002-01-14,RU,L2,6815.0,6870.0,7000.0,7015.0,6710.0,6920.0,7015.0,330.0,,1540.0,200.0,105.0,0.029347,1.0,0.0
RU0204.XSGE,ru0204,XSGE,沪天胶0204,Natural Rubber 0204,2002-01-15,RU,L2,6920.0,7015.0,7050.0,7120.0,7005.0,7060.0,7005.0,516.0,,1570.0,85.0,140.0,0.012283200000000001,1.0,0.0
RU0204.XSGE,ru0204,XSGE,沪天胶0204,Natural Rubber 0204,2002-01-16,RU,L1,7060.0,7005.0,6980.0,6980.0,6950.0,6960.0,6960.0,380.0,,1590.0,-100.0,-100.0,-0.0141643,1.0,0.0
RU0204.XSGE,ru0204,XSGE,沪天胶0204,Natural Rubber 0204,2002-01-17,RU,L1,6960.0,6960.0,6950.0,6950.0,6930.0,6940.0,6940.0,160.0,,1670.0,-20.0,-20.0,-0.00287356,1.0,0.0
RU0204.XSGE,ru0204,XSGE,沪天胶0204,Natural Rubber 0204,2002-01-18,RU,L1,6940.0,6940.0,6920.0,6920.0,6910.0,6910.0,6910.0,160.0,,1710.0,-30.0,-30.0,-0.00432277,1.0,0.0
