secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
SS2002.XSGE,ss2002,XSGE,沪不锈钢2002,Stainless Steel 2002,2019-09-25,SS,L0,15585.0,15585.0,15575.0,15760.0,15280.0,15555.0,15575.0,93230.0,7252250000.0,10679.0,-10.0,-30.0,-0.00064164,1.0,0.0
SS2002.XSGE,ss2002,XSGE,沪不锈钢2002,Stainless Steel 2002,2019-09-26,SS,L0,15555.0,15575.0,15565.0,15935.0,15550.0,15715.0,15705.0,53364.0,4193560000.0,9684.0,150.0,160.0,0.009643200000000001,1.0,0.0
SS2002.XSGE,ss2002,XSGE,沪不锈钢2002,Stainless Steel 2002,2019-09-27,SS,L0,15715.0,15705.0,15715.0,15800.0,15580.0,15675.0,15725.0,14167.0,1110540000.0,7952.0,10.0,-40.0,0.00063633,1.0,0.0
SS2002.XSGE,ss2002,XSGE,沪不锈钢2002,Stainless Steel 2002,2019-09-30,SS,L0,15675.0,15725.0,15735.0,15790.0,15635.0,15695.0,15700.0,7757.0,608756000.0,7295.0,25.0,20.0,0.0015949000000000002,1.0,0.0
SS2002.XSGE,ss2002,XSGE,沪不锈钢2002,Stainless Steel 2002,2019-10-08,SS,L0,15695.0,15700.0,15630.0,15800.0,15545.0,15645.0,15675.0,3700.0,289487000.0,7307.0,-20.0,-50.0,-0.00127429,1.0,0.0
SS2002.XSGE,ss2002,XSGE,沪不锈钢2002,Stainless Steel 2002,2019-10-09,SS,L0,15645.0,15675.0,15630.0,15695.0,15630.0,15665.0,15675.0,2449.0,191831000.0,7250.0,30.0,20.0,0.00191755,1.0,0.0
SS2002.XSGE,ss2002,XSGE,沪不锈钢2002,Stainless Steel 2002,2019-10-10,SS,L0,15665.0,15675.0,15685.0,15895.0,15600.0,15690.0,15765.0,5783.0,453792000.0,7643.0,100.0,25.0,0.00638366,1.0,0.0
SS2002.XSGE,ss2002,XSGE,沪不锈钢2002,Stainless Steel 2002,2019-10-11,SS,L0,15690.0,15765.0,15800.0,15800.0,15705.0,15745.0,15745.0,3957.0,311533000.0,7327.0,55.0,55.0,0.00350542,1.0,0.0
SS2002.XSGE,ss2002,XSGE,沪不锈钢2002,Stainless Steel 2002,2019-10-14,SS,L0,15745.0,15745.0,15775.0,15830.0,15735.0,15775.0,15765.0,4921.0,388215000.0,7387.0,20.0,30.0,0.00127024,1.0,0.0
SS2002.XSGE,ss2002,XSGE,沪不锈钢2002,Stainless Steel 2002,2019-10-15,SS,L0,15775.0,15765.0,15735.0,15820.0,15165.0,15530.0,15440.0,11535.0,895882000.0,7385.0,-335.0,-245.0,-0.021236099999999997,1.0,0.0
