secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
V0909.XDCE,v0909,XDCE,连PVC0909,Polyvinyl Chloride (PVC) 909,2009-05-25,V,L0,6300.0,,6575.0,6630.0,6435.0,6495.0,6490.0,107764.0,3502140000.0,12278.0,190.0,195.0,0.0301587,1.0,0.0
V0909.XDCE,v0909,XDCE,连PVC0909,Polyvinyl Chloride (PVC) 909,2009-05-26,V,L0,6495.0,6490.0,6485.0,6540.0,6445.0,6480.0,6460.0,38290.0,1241380000.0,10562.0,-35.0,-15.0,-0.00538876,1.0,0.0
V0909.XDCE,v0909,XDCE,连PVC0909,Polyvinyl Chloride (PVC) 909,2009-05-27,V,L0,6480.0,6460.0,6500.0,6535.0,6460.0,6495.0,6485.0,34002.0,1104820000.0,10346.0,5.0,15.0,0.0007716,1.0,0.0
V0909.XDCE,v0909,XDCE,连PVC0909,Polyvinyl Chloride (PVC) 909,2009-06-01,V,L0,6495.0,6485.0,6555.0,6595.0,6520.0,6555.0,6570.0,26178.0,858462000.0,10352.0,75.0,60.0,0.0115,1.0,0.0
V0909.XDCE,v0909,XDCE,连PVC0909,Polyvinyl Chloride (PVC) 909,2009-06-02,V,L0,6555.0,6570.0,6590.0,6590.0,6545.0,6560.0,6555.0,13496.0,442974000.0,9388.0,0.0,5.0,0.0,1.0,0.0
V0909.XDCE,v0909,XDCE,连PVC0909,Polyvinyl Chloride (PVC) 909,2009-06-03,V,L0,6560.0,6555.0,6565.0,6595.0,6550.0,6565.0,6580.0,14680.0,482211000.0,9452.0,20.0,5.0,0.003,1.0,0.0
V0909.XDCE,v0909,XDCE,连PVC0909,Polyvinyl Chloride (PVC) 909,2009-06-04,V,L0,6565.0,6580.0,6545.0,6570.0,6530.0,6550.0,6555.0,8532.0,279464000.0,8780.0,-10.0,-15.0,-0.0015,1.0,0.0
V0909.XDCE,v0909,XDCE,连PVC0909,Polyvinyl Chloride (PVC) 909,2009-06-05,V,L0,6550.0,6555.0,6590.0,6695.0,6575.0,6640.0,6655.0,19864.0,659734000.0,10196.0,105.0,90.0,0.016,1.0,0.0
V0909.XDCE,v0909,XDCE,连PVC0909,Polyvinyl Chloride (PVC) 909,2009-06-08,V,L0,6640.0,6655.0,6650.0,6970.0,6620.0,6920.0,6970.0,107348.0,3715740000.0,34972.0,330.0,280.0,0.04969880000000001,1.0,0.0
V0909.XDCE,v0909,XDCE,连PVC0909,Polyvinyl Chloride (PVC) 909,2009-06-09,V,L0,6920.0,6970.0,7020.0,7160.0,6910.0,7030.0,7040.0,354866.0,12481900000.0,47952.0,120.0,110.0,0.0173,1.0,0.0
