secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
ZN0707.XSGE,zn0707,XSGE,沪锌0707,Zinc 707,2007-03-26,ZN,L0,28510.0,,28600.0,29600.0,28580.0,29200.0,29220.0,16786.0,,4640.0,710.0,690.0,0.0249035,1.0,0.0
ZN0707.XSGE,zn0707,XSGE,沪锌0707,Zinc 707,2007-03-27,ZN,L0,29200.0,29220.0,29550.0,29870.0,29500.0,29685.0,29725.0,16046.0,,6346.0,525.0,485.0,0.0179795,1.0,0.0
ZN0707.XSGE,zn0707,XSGE,沪锌0707,Zinc 707,2007-03-28,ZN,L0,29685.0,29725.0,29495.0,29700.0,29420.0,29535.0,29565.0,8506.0,,7048.0,-120.0,-150.0,-0.004,1.0,0.0
ZN0707.XSGE,zn0707,XSGE,沪锌0707,Zinc 707,2007-03-29,ZN,L0,29535.0,29565.0,29510.0,29560.0,29010.0,29280.0,29030.0,8742.0,,7988.0,-505.0,-255.0,-0.0170984,1.0,0.0
ZN0707.XSGE,zn0707,XSGE,沪锌0707,Zinc 707,2007-03-30,ZN,L0,29280.0,29030.0,29430.0,29500.0,29180.0,29365.0,29390.0,13758.0,,9178.0,110.0,85.0,0.00375683,1.0,0.0
ZN0707.XSGE,zn0707,XSGE,沪锌0707,Zinc 707,2007-04-02,ZN,L0,29365.0,29390.0,29390.0,29445.0,29250.0,29330.0,29290.0,5902.0,,9486.0,-75.0,-35.0,-0.00255406,1.0,0.0
ZN0707.XSGE,zn0707,XSGE,沪锌0707,Zinc 707,2007-04-03,ZN,L0,29330.0,29290.0,28935.0,28980.0,28660.0,28810.0,28780.0,11610.0,,10368.0,-550.0,-520.0,-0.018752099999999997,1.0,0.0
ZN0707.XSGE,zn0707,XSGE,沪锌0707,Zinc 707,2007-04-04,ZN,L0,28810.0,28780.0,29250.0,29260.0,28980.0,29085.0,28985.0,8848.0,,10798.0,175.0,275.0,0.00607428,1.0,0.0
ZN0707.XSGE,zn0707,XSGE,沪锌0707,Zinc 707,2007-04-05,ZN,L0,29085.0,28985.0,29700.0,30245.0,29540.0,29935.0,30245.0,18584.0,,13378.0,1160.0,850.0,0.0398831,1.0,0.0
ZN0707.XSGE,zn0707,XSGE,沪锌0707,Zinc 707,2007-04-06,ZN,L0,29935.0,30245.0,30245.0,31515.0,30105.0,30960.0,31385.0,61558.0,,17194.0,1450.0,1025.0,0.0484,1.0,0.0
