,ticker,tradeDate,real_return,market_value,pred
0,600048,2015-08-31,-0.04880952,90322569960.0,0.4996119
14,600094,2015-08-31,-0.16332982,19089674981.0,0.5016158
15,600095,2015-08-31,0.19385343,3056290056.0,0.50064653
41,600383,2015-08-31,0.13835878,47155911752.0,0.4994139
61,600657,2015-08-31,-0.07348243,9541870104.0,0.49625272
62,600658,2015-08-31,-0.08959835,5632745754.0,0.50055987
80,600895,2015-08-31,-0.08027079,32026900928.0,0.49981573
104,600208,2015-08-31,0.0,41097566600.0,0.49721652
128,600555,2015-08-31,0.0,19695885000.0,0.5010643
147,600615,2015-08-31,0.09386548,2543917365.0,0.5007151
152,600724,2015-08-31,-0.16489362,10868213072.0,0.49609146
156,600753,2015-08-31,-0.08572819999999999,2627840000.0,0.5009176
170,600890,2015-08-31,-0.00780234,4454008781.0,0.500943
219,600240,2015-08-31,-0.12786885,17375893920.0,0.4982933
223,600246,2015-08-31,-0.1,5840640000.0,0.49941394
228,600322,2015-08-31,-0.10020877,5296303000.0,0.4979822
230,600325,2015-08-31,-0.03811102,9861740392.0,0.49991968
245,600533,2015-08-31,0.0,5533500000.0,0.5008845
306,600158,2015-08-31,-0.03104925,15760977272.0,0.4991279
307,600159,2015-08-31,-0.11618257,4000615424.0,0.49970302
317,600215,2015-08-31,-0.02874251,3883024715.0,0.49885008
341,600376,2015-08-31,-0.13133208,23899853250.0,0.5003868
354,600565,2015-08-31,0.0,24819219960.0,0.50053006
357,600568,2015-08-31,0.0,12209168450.0,0.50028586
361,600663,2015-08-31,0.09374262,79096417400.0,0.49831957
363,600665,2015-08-31,-0.10150376,4597131700.0,0.49849012
367,600732,2015-08-31,0.0,3441613701.0,0.5005317
379,600823,2015-08-31,0.00100402,17529032280.0,0.4975573
441,600621,2015-08-31,-0.19121447,8112795552.0,0.4956206
453,600743,2015-08-31,-0.06902087,11324028030.0,0.4977875
455,600745,2015-08-31,0.0,11464359888.0,0.50028586
458,600748,2015-08-31,-0.09400179,12101252953.0,0.49934348
504,600007,2015-08-31,-0.12794398,15824408075.0,0.49739146
541,600675,2015-08-31,-0.039136300000000006,13834910154.0,0.49577233
549,600683,2015-08-31,0.15848527,5281744288.0,0.50076014
550,600684,2015-08-31,-0.10148233,6237375721.0,0.4974162
560,600708,2015-08-31,0.23568702,5348680744.0,0.49810758
581,601588,2015-08-31,-0.11967546,16599408600.0,0.49825144
600,600052,2015-08-31,-0.15572519,5710218605.0,0.5003064
610,600173,2015-08-31,-0.12655971,4068077475.0,0.4970815
