,ticker,tradeDate,real_return,market_value,pred
0,600030,2019-11-29,0.18169079999999999,259423008844.0,1.1104249
16,600109,2019-11-29,0.13138686,24860233446.0,1.1489465
57,601211,2019-11-29,0.10652304,148851812751.0,1.1149379
110,600621,2019-11-29,0.1546003,14067524718.0,0.9541661
136,601066,2019-11-29,0.357749,171202564628.0,0.5538877
139,601198,2019-11-29,0.2132964,29868714381.0,0.93707526
146,601688,2019-11-29,0.19681791,154030750500.0,1.2524035
219,600318,2019-11-29,0.06382979,3377937752.0,0.7251684
236,600830,2019-11-29,0.09542744,2285243181.0,1.2970257
242,600837,2019-11-29,0.12518195,158033358000.0,1.1093699
245,600958,2019-11-29,0.10699588,67978334376.0,1.0021834
251,601336,2019-11-29,0.1039982,138882214632.0,1.2116873
253,601990,2019-11-29,0.68318123,25301975478.0,1.2136929
308,600120,2019-11-29,0.08852868,12762918126.0,1.3372303
378,603300,2019-11-29,0.29666667,4080498600.0,1.154942
404,600155,2019-11-29,0.1387987,21431338544.0,0.7162757
449,600816,2019-11-29,0.11557789,21767168842.0,0.30469918
468,601555,2019-11-29,0.17116061,25590000000.0,1.2149776
526,600369,2019-11-29,0.19861432,24443322403.0,1.0944848
549,600783,2019-11-29,0.21263482,9661783714.0,1.1468835
579,601788,2019-11-29,0.16859946,51686928996.0,1.1281978
662,600999,2019-11-29,0.10983010000000001,110406265264.0,1.0828916
664,601375,2019-11-29,0.15515114,18029869462.0,1.218292
665,601377,2019-11-29,0.14378029,41452397823.0,1.3431036
749,600695,2019-11-29,0.71960784,3626773710.0,1.0859948
750,600696,2019-11-29,-0.02649508,4418340774.0,1.3542182
774,601162,2019-11-29,0.37313433,27764800000.0,0.924769
782,601901,2019-11-29,0.29596413,55072758366.0,1.0407156
864,601318,2019-11-29,0.02200431,1528593785870.0,1.2836648
865,601319,2019-11-29,0.15174507,291436098054.0,1.0859948
946,601108,2019-11-29,0.18867925,34239060000.0,1.13808
953,601601,2019-11-29,0.10481752,310373500000.0,1.2206594
1001,600061,2019-11-29,0.26694561,50514199915.0,1.0872451
1018,600093,2019-11-29,-0.02988186,16152019525.0,0.4656179
1029,600390,2019-11-29,0.12228261,33105762080.0,1.3199813
1044,600643,2019-11-29,0.11111111,14013410400.0,1.2235026
