,ticker,tradeDate,real_return,market_value,pred
358,600666,2014-07-31,1.54582763,2120969438.38,-0.37101606
261,600715,2014-07-31,1.23255814,1639311360.0,-0.34745616
655,600634,2014-07-31,1.10176391,4243145436.97,-0.3891537
91,600988,2014-07-31,0.65424739,3801916879.42,-0.35638276
528,600476,2014-07-31,0.6033275,1839419400.0,-0.25780672
53,600576,2014-07-31,0.58753202,2553870083.9,-0.34254378
257,600711,2014-07-31,0.45274527,6652900443.42,-0.41762835
425,600317,2014-07-31,0.43153527,15599889037.2,-0.4789828
131,600556,2014-07-31,0.43079585,2281907632.24,-0.3890956
252,600537,2014-07-31,0.36823735,5568085109.46,-0.3952086
812,600119,2014-07-31,0.36101695,3627320000.0,-0.48325294
853,600599,2014-07-31,0.34621711,2018560000.0,-0.2953328
937,603000,2014-07-31,0.34017595,18852032504.8,-0.7577387
654,600633,2014-07-31,0.33358896,15495270173.6,-0.5388804
403,600006,2014-07-31,0.33333333,6480000000.0,-0.2525899
377,600825,2014-07-31,0.32561134,8756160183.0,-0.349452
531,600490,2014-07-31,0.30875576,12837720000.0,-0.4560633
251,600536,2014-07-31,0.30736138,10346253399.4,-0.5338403
810,600117,2014-07-31,0.27761194,2483084494.2,-0.3809006
568,600775,2014-07-31,0.26943005,7054833443.88,-0.44222093
788,600995,2014-07-31,0.26771654,2430914112.0,-0.36564636
597,601999,2014-07-31,0.26672086,4153896838.0,-0.24361993
85,600982,2014-07-31,0.25693161,4040891300.0,-0.39762667
20,600152,2014-07-31,0.25288832,2286319818.0,-0.6028463
341,600444,2014-07-31,0.24914966,1234800000.0,-0.3135689
753,600399,2014-07-31,0.24657534,7212400000.0,-0.96809316
541,600579,2014-07-31,0.24328358,2654834136.7,-0.3047099
27,600250,2014-07-31,0.24155405,1531459363.2,-0.3294371
823,600187,2014-07-31,0.22764228,7161671201.76,-0.5449697
434,600480,2014-07-31,0.22625399999999998,3389268032.06,-0.39988214
621,600301,2014-07-31,0.22142857,1646036980.0,-0.297648
601,600129,2014-07-31,0.22039474,3893273280.0,-0.2871237
538,600558,2014-07-31,0.21688312,3071803203.7,-0.46845046
225,600247,2014-07-31,0.21487603,1221283008.0,-0.2945717
759,600495,2014-07-31,0.21476791,6477245578.56,-0.50867206
24,600157,2014-07-31,0.21342926,14741446480.2,-1.0033311
30,600310,2014-07-31,0.21234799,2949638250.0,-0.40652817
785,600990,2014-07-31,0.21142662,3995800629.2,-0.38307863
511,600088,2014-07-31,0.21101485,5355779520.0,-0.63522846
136,600582,2014-07-31,0.21092757,9674942400.0,-0.4190663
283,600979,2014-07-31,0.21020408,3517671515.4,-0.28949332
