x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
ETFT0半仓策略验证万3,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
华夏上证50ETF,8.83,-63.44,-61.30,318.22,19.91,18,18,18.34,0.55,245,1.17,3.88,75.58,0.48,51.17
华泰柏瑞沪深300ETF,4.69,-37.12,-30.87,108.80,8.12,18,16,16.41,0.36,1361,1.05,5.85,36.59,0.29,50.90
易方达创业板ETF,23.00,-56.44,-30.89,203.04,33.00,11,11,23.56,1.00,1366,1.51,24.13,107.27,0.98,52.59
南方中证500ETF,14.09,-51.38,-35.56,198.85,17.59,17,11,20.00,0.76,125,1.28,8.47,72.29,0.70,53.99
华安上证180ETF,9.05,-69.48,-67.77,353.38,16.37,18,16,18.89,0.55,54,1.21,1.50,69.07,0.48,51.06
易方达深证100ETF,13.96,-67.43,-66.40,354.11,21.99,19,13,21.64,0.71,1854,1.39,4.37,78.47,0.64,52.30
嘉实沪深300ETF,5.71,-37.69,-29.30,120.49,9.61,18,18,16.51,0.42,1358,1.06,5.45,46.05,0.35,50.25
华夏中小板ETF,14.59,-59.58,-55.46,189.12,17.85,11,12,22.21,0.72,1359,1.42,10.87,65.17,0.66,53.41
国泰上证180金融ETF,3.21,-39.59,-24.39,123.80,7.73,17,12,18.37,0.26,438,1.18,0.22,50.14,0.17,49.32
华夏沪深300ETF,2.57,-49.32,-40.18,122.80,6.83,18,12,16.86,0.24,449,1.08,3.71,41.68,0.15,51.07
华夏上证金融地产ETF,-1.24,-48.10,-32.84,99.71,3.01,13,16,17.67,0.02,292,1.13,-3.07,37.01,-0.07,48.89
华泰柏瑞红利ETF,1.36,-69.55,-67.26,142.10,1.40,14,18,19.59,0.17,42,1.25,-3.86,48.45,0.07,49.45
诺安上证新兴产业ETF,37.06,-51.52,-31.93,220.16,50.56,18,10,21.23,1.59,529,1.36,45.86,107.61,1.75,51.55
广发中证500ETF,4.14,-68.94,-43.81,199.24,8.98,18,13,21.45,0.30,101,1.37,-1.84,56.98,0.19,53.29
交银180治理ETF,18.39,-35.78,-28.96,176.59,22.93,15,13,17.32,1.06,506,1.11,14.77,67.47,1.06,52.55
工银上证央企50ETF,2.15,-45.00,-41.67,147.65,5.69,12,15,15.97,0.21,1195,1.02,1.13,25.10,0.13,48.68
华宝上证180价值ETF,12.27,-36.29,-23.25,112.96,15.79,16,13,17.22,0.76,989,1.10,6.24,54.84,0.71,50.28
国联安上证商品ETF,21.26,-37.02,-22.78,204.89,27.21,13,19,20.14,1.06,885,1.29,16.22,82.75,1.06,51.86
南方上证380ETF,10.12,-59.45,-41.11,149.21,17.31,12,10,20.27,0.58,163,1.30,6.66,64.62,0.50,53.45
易方达沪深300ETF,5.53,-44.37,-34.66,137.26,10.78,18,16,17.24,0.40,369,1.10,6.54,52.24,0.32,51.42
华夏上证医药卫生ETF,9.39,-44.33,-41.65,92.39,11.41,13,14,19.99,0.55,1237,1.28,6.28,45.80,0.47,52.29
易方达上证中盘ETF,13.47,-48.77,-44.19,180.19,13.81,14,23,18.67,0.77,1287,1.20,3.50,72.70,0.72,50.38
南方深成ETF,4.97,-44.24,-31.60,124.61,7.67,14,13,18.73,0.35,1232,1.20,2.52,40.56,0.27,51.01
工银瑞信深证红利ETF,21.69,-37.00,-33.10,184.20,26.81,14,15,19.56,1.10,593,1.25,20.14,68.39,1.11,53.57
华夏上证主要消费ETF,21.60,-36.43,-27.41,109.19,25.30,16,14,19.04,1.12,528,1.22,24.44,58.81,1.13,54.14
广发中小板300ETF,7.48,-66.89,-45.46,206.61,14.16,20,12,20.93,0.45,489,1.34,9.29,49.98,0.36,52.90
博时自然资源ETF,2.37,-47.00,-44.59,143.74,6.31,15,18,20.13,0.22,696,1.29,2.67,36.63,0.12,50.23
南方小康产业ETF,6.22,-49.92,-36.31,196.86,11.84,13,13,17.93,0.43,420,1.15,2.59,56.11,0.35,49.82
嘉实中证500ETF,3.70,-63.96,-47.04,149.00,6.86,13,11,20.71,0.28,137,1.33,-0.03,47.26,0.18,53.64
鹏华深证民营ETF,51.28,-40.21,-3.72,189.27,59.61,16,13,24.50,1.81,243,1.57,47.45,113.84,2.09,50.83
海富通上证周期ETF,60.84,-23.33,-10.20,242.74,73.17,12,19,20.77,2.39,201,1.33,65.73,149.95,2.93,50.37
易方达沪深300医药卫生ETF,24.44,-36.62,-19.46,103.97,29.58,15,11,19.95,1.20,349,1.28,29.85,59.74,1.23,54.42
博时超大盘ETF,31.12,-30.85,-24.54,236.99,45.45,16,18,16.99,1.68,1133,1.09,17.36,153.43,1.83,52.79
华安上证龙头ETF,41.92,-36.68,-36.33,271.34,54.90,16,11,19.14,1.93,258,1.23,43.80,111.98,2.19,54.71
南方开元沪深300ETF,14.07,-37.70,-31.21,150.36,19.34,20,14,17.40,0.84,643,1.11,17.91,59.13,0.81,53.09
股指期货高开T0验证万三几何收益,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
沪深300股指期货,0.95,-29.24,-16.46,24.27,0.64,8,9,9.86,0.15,127,0.63,-2.14,15.90,0.10,50.03
上证50股指期货,1.45,-28.55,-19.54,23.04,-1.83,9,7,10.25,0.19,10,0.66,-2.45,4.79,0.14,49.89
中证500股指期货,0.58,-35.29,-18.00,31.12,-2.68,9,10,11.41,0.11,29,0.73,-4.96,8.73,0.05,46.71
