x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S19分组结果-LR-全市场,16.59,-9.58,-6.73,50.66,17.42,16,12,7.21,2.17,272,0.46,13.95,42.55,2.30,55.49
S19分组结果-LR-中证500,13.49,-19.01,-12.72,74.40,12.92,13,14,9.36,1.40,120,0.60,9.85,33.18,1.44,53.57
S19分组结果-LR-沪深300,4.39,-19.17,-16.81,31.28,5.88,11,9,10.18,0.47,488,0.65,5.26,17.27,0.43,50.27
S19分组结果-LR-中证500-M2,18.89,-29.05,-18.91,61.71,21.44,17,8,9.91,1.80,88,0.63,18.40,48.87,1.91,55.28
S19分组结果-LR-沪深300-M2,7.83,-37.53,-24.89,54.31,8.65,10,10,11.60,0.71,88,0.74,8.19,34.53,0.68,51.49
S19分组结果-LR-中证500-M-2,15.29,-25.82,-18.65,53.80,15.42,13,9,9.49,1.55,118,0.61,13.36,44.50,1.61,52.55
S19分组结果-LR-沪深300-M-2,2.15,-31.47,-22.28,42.51,2.78,10,9,12.26,0.24,104,0.79,0.11,23.52,0.18,50.99
S19分组结果-RF-全市场,7.17,-4.14,-2.12,16.13,6.75,20,15,3.34,2.09,190,0.21,7.14,11.94,2.14,54.05
S19分组结果-RF-中证500,4.35,-11.53,-10.23,16.85,4.54,11,10,6.16,0.72,249,0.39,6.25,11.73,0.71,50.27
S19分组结果-RF-沪深300,1.70,-17.66,-12.78,19.59,2.16,11,9,7.57,0.26,123,0.48,1.34,9.51,0.22,50.75
S19分组结果-RF-中证500-M2,5.91,-11.94,-8.97,30.65,7.28,11,10,6.24,0.95,236,0.40,5.62,19.59,0.95,51.16
S19分组结果-RF-沪深300-M2,7.28,-12.69,-5.61,29.93,7.67,9,9,7.45,0.98,401,0.48,6.20,18.50,0.98,52.73
S19分组结果-RF-中证500-M-2,8.35,-8.61,-5.16,33.60,9.13,12,18,6.25,1.32,397,0.40,5.00,24.40,1.34,53.15
S19分组结果-RF-沪深300-M-2,-3.23,-26.82,-23.55,11.60,-1.69,9,9,7.38,-0.41,5,0.47,-1.23,6.55,-0.44,49.25
S19分组结果-LogiR-全市场,18.77,-7.11,-3.70,48.87,19.46,17,10,6.82,2.56,244,0.44,16.92,41.59,2.75,56.57
S19分组结果-LogiR-中证500,15.62,-10.45,-1.84,42.04,15.65,12,8,9.42,1.59,119,0.60,12.32,30.76,1.66,53.57
S19分组结果-LogiR-沪深300,7.36,-18.25,-11.96,37.96,10.29,9,11,9.78,0.78,498,0.63,9.60,25.93,0.75,52.67
S19分组结果-LogiR-中证500-M2,18.47,-23.49,-15.04,51.20,20.57,11,10,9.52,1.83,91,0.61,21.72,40.94,1.94,53.76
S19分组结果-LogiR-沪深300-M2,10.28,-27.98,-15.49,69.19,11.45,12,12,10.96,0.95,375,0.70,6.07,39.91,0.94,53.44
S19分组结果-LogiR-中证500-M-2,17.10,-14.67,-12.76,59.98,18.14,11,13,9.47,1.72,111,0.61,15.26,42.53,1.81,54.41
S19分组结果-LogiR-沪深300-M-2,7.54,-19.50,-17.61,69.56,9.94,14,9,11.60,0.68,178,0.74,2.79,41.94,0.65,52.13
S19分组结果-NB-全市场,19.27,-9.83,-3.42,42.72,19.72,16,10,7.65,2.34,238,0.49,17.52,35.56,2.52,55.43
S19分组结果-NB-中证500,12.77,-13.76,-4.47,40.27,12.00,11,12,10.25,1.22,233,0.66,9.64,25.22,1.25,52.37
S19分组结果-NB-沪深300,7.39,-18.11,-10.58,38.82,8.01,11,8,10.31,0.74,457,0.66,7.78,19.65,0.72,51.35
S19分组结果-NB-中证500-M2,15.91,-14.05,-7.59,41.10,15.65,11,15,9.37,1.62,112,0.60,17.84,31.43,1.70,53.22
S19分组结果-NB-沪深300-M2,9.63,-16.85,-15.83,45.19,9.91,10,11,9.92,0.98,155,0.64,6.79,29.53,0.97,50.89
S19分组结果-NB-中证500-M-2,14.84,-15.33,-9.13,50.67,15.70,10,9,9.42,1.52,233,0.60,11.54,38.86,1.57,54.35
S19分组结果-NB-沪深300-M-2,1.69,-31.97,-25.84,40.91,2.37,12,9,10.92,0.21,176,0.70,1.34,21.37,0.15,49.97
S19分组结果-XGB-全市场,15.75,-8.00,-2.44,41.83,16.10,16,10,6.27,2.36,199,0.40,14.01,32.66,2.51,57.11
S19分组结果-XGB-中证500,9.96,-9.53,-4.91,29.20,8.93,13,12,7.78,1.26,291,0.50,6.36,23.55,1.28,53.39
S19分组结果-XGB-沪深300,0.70,-19.80,-13.34,17.10,2.06,14,14,8.71,0.12,519,0.56,1.76,9.45,0.08,48.65
S19分组结果-XGB-中证500-M2,19.00,-13.30,-12.34,56.78,19.58,9,10,7.82,2.26,87,0.50,14.95,43.24,2.43,54.85
S19分组结果-XGB-沪深300-M2,10.24,-15.54,-5.69,42.71,10.10,9,13,8.74,1.16,197,0.56,8.65,22.45,1.17,53.63
S19分组结果-XGB-中证500-M-2,13.08,-17.03,-13.61,49.19,12.80,12,9,8.86,1.43,395,0.57,7.38,36.85,1.48,53.75
S19分组结果-XGB-沪深300-M-2,2.29,-28.18,-20.03,38.18,3.19,11,9,9.59,0.28,273,0.61,0.42,23.33,0.24,51.83
S19分组结果-SGD-全市场,6.63,-13.12,-7.70,22.27,7.30,9,11,5.91,1.12,290,0.38,7.24,15.37,1.12,53.09
S19分组结果-SGD-中证500,1.19,-16.90,-15.37,12.87,1.42,8,14,8.74,0.18,1270,0.56,2.49,7.26,0.14,49.13
S19分组结果-SGD-沪深300,-0.05,-37.01,-18.94,34.23,2.06,10,12,10.49,0.05,399,0.67,-1.60,22.53,-0.01,50.09
S19分组结果-SGD-中证500-M2,6.89,-14.66,-11.71,28.11,7.14,12,11,8.75,0.81,347,0.56,8.19,18.12,0.79,51.81
S19分组结果-SGD-沪深300-M2,3.69,-38.88,-35.19,43.60,4.36,13,13,11.03,0.38,1334,0.71,6.31,18.69,0.33,52.41
S19分组结果-SGD-中证500-M-2,1.76,-17.07,-13.36,21.19,1.26,9,12,9.01,0.24,219,0.58,-0.01,10.65,0.20,49.73
S19分组结果-SGD-沪深300-M-2,-4.34,-39.94,-24.55,22.87,-3.28,13,11,10.07,-0.39,76,0.64,-5.30,15.89,-0.43,47.39
S19分组结果-XGB_R-全市场,13.76,-9.53,-5.99,36.07,14.06,14,12,7.78,1.70,198,0.50,12.59,27.93,1.77,52.91
S19分组结果-XGB_R-中证500,8.71,-12.36,-9.11,32.43,6.46,12,9,9.34,0.94,457,0.60,4.08,18.36,0.93,51.59
S19分组结果-XGB_R-沪深300,4.76,-20.29,-19.65,42.37,5.09,10,8,11.64,0.46,432,0.74,5.47,14.94,0.41,52.37
S19分组结果-XGB_R-中证500-M2,10.26,-21.55,-17.78,45.31,10.31,11,10,10.86,0.95,245,0.70,11.37,25.70,0.94,51.49
S19分组结果-XGB_R-沪深300-M2,0.18,-40.79,-28.63,32.65,0.09,15,9,12.41,0.08,170,0.79,1.56,17.59,0.01,48.51
S19分组结果-XGB_R-中证500-M-2,8.75,-16.91,-15.83,40.96,7.40,12,10,10.44,0.86,186,0.67,6.87,19.40,0.84,51.53
S19分组结果-XGB_R-沪深300-M-2,-2.62,-40.80,-30.58,26.81,-2.23,9,9,11.47,-0.17,220,0.73,-3.34,14.90,-0.23,48.89
S19分组结果-gcf-全市场,18.53,-8.01,-0.79,48.76,19.06,14,10,6.73,2.56,172,0.43,16.73,38.28,2.76,57.95
S19分组结果-gcf-中证500,14.30,-13.05,-7.15,39.13,13.22,17,14,8.98,1.53,233,0.57,8.57,30.73,1.59,53.87
S19分组结果-gcf-沪深300,7.50,-17.20,-10.68,43.38,11.11,9,11,9.41,0.82,414,0.60,10.33,28.81,0.80,51.41
S19分组结果-gcf-中证500-M2,18.44,-20.73,-14.12,53.81,20.29,10,10,8.67,2.00,61,0.56,24.04,44.59,2.13,54.20
S19分组结果-gcf-沪深300-M2,10.87,-26.26,-15.51,58.65,10.87,10,10,10.13,1.07,163,0.65,9.44,34.60,1.07,52.79
S19分组结果-gcf-中证500-M-2,17.56,-15.43,-10.03,57.02,17.97,12,9,8.92,1.86,146,0.57,11.40,45.79,1.97,54.56
S19分组结果-gcf-沪深300-M-2,5.75,-22.21,-19.19,43.53,6.96,12,13,10.53,0.58,238,0.67,5.39,26.68,0.55,51.47
