x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S29回测结果-S29f01-全市场,14.13,-51.09,-42.15,396.18,22.31,13,10,29.96,0.59,1217,1.92,4.99,74.60,0.47,54.68
S29回测结果-S29f01-中证500,6.61,-61.31,-42.98,240.51,11.29,11,8,30.17,0.36,932,1.93,3.71,48.71,0.22,54.34
S29回测结果-S29f01-沪深300,6.60,-54.04,-38.83,208.28,9.34,10,11,26.58,0.37,1361,1.70,3.93,37.70,0.25,51.83
S29回测结果-S29f02-全市场,29.68,-52.14,-35.76,745.56,49.84,14,7,33.02,0.95,882,2.11,13.02,151.71,0.90,54.73
S29回测结果-S29f02-中证500,23.53,-57.62,-40.20,550.35,40.95,11,10,35.72,0.77,926,2.29,20.95,102.01,0.66,53.80
S29回测结果-S29f02-沪深300,22.77,-62.18,-46.06,503.63,33.71,16,10,33.12,0.79,714,2.12,13.54,94.93,0.69,51.58
S29回测结果-S29f03-全市场,23.43,-49.53,-42.42,522.91,36.60,15,9,29.49,0.86,1188,1.89,11.60,119.92,0.79,55.59
S29回测结果-S29f03-中证500,9.86,-56.41,-43.75,271.15,15.07,13,9,29.65,0.47,948,1.90,8.66,53.40,0.33,54.58
S29回测结果-S29f03-沪深300,8.07,-54.48,-38.24,235.13,10.99,12,10,26.06,0.43,1361,1.67,5.83,38.42,0.31,51.90
