x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S34增强效果-上证综指-增强前,6.22,-52.30,-45.16,149.98,9.08,11,9,21.42,0.39,422,1.37,5.32,43.88,0.29,53.59
S34增强效果-上证综指-增强前,14.34,-40.19,-34.01,174.93,18.20,10,7,22.30,0.71,1332,1.43,12.03,57.37,0.64,54.63
S34增强效果-上证综指-增强后-增强前,11.18,-17.07,-9.19,47.37,12.67,10,7,10.63,1.05,285,0.68,13.74,24.15,1.05,57.10
S34增强效果-上证50-增强前,9.11,-44.70,-38.51,132.32,12.39,19,9,23.40,0.49,1330,1.50,9.36,43.43,0.39,50.89
S34增强效果-上证50-增强前,11.34,-42.77,-34.42,141.57,15.02,13,9,22.97,0.58,1116,1.47,12.26,47.88,0.49,50.99
S34增强效果-上证50-增强后-增强前,4.04,-5.75,-3.97,12.84,4.59,10,7,4.94,0.83,357,0.32,5.14,8.47,0.82,52.58
S34增强效果-中证500-增强前,8.59,-65.20,-50.23,197.62,12.66,9,7,26.15,0.45,113,1.67,7.85,43.70,0.33,54.84
S34增强效果-中证500-增强前,14.95,-58.02,-41.93,241.57,20.86,10,7,27.63,0.64,104,1.77,14.09,63.50,0.54,55.12
S34增强效果-中证500-增强后-增强前,10.13,-27.74,-18.14,77.67,12.48,11,7,14.32,0.75,506,0.92,9.95,32.01,0.71,55.97
S34增强效果-沪深300-增强前,9.44,-46.70,-42.53,147.77,12.82,12,9,22.90,0.51,1360,1.47,9.55,43.96,0.41,52.54
S34增强效果-沪深300-增强前,15.43,-41.87,-36.67,157.02,19.08,12,9,23.22,0.74,1121,1.49,15.38,51.82,0.66,53.34
S34增强效果-沪深300-增强后-增强前,10.02,-11.56,-9.53,34.58,10.53,11,8,7.95,1.24,284,0.51,10.15,19.31,1.26,55.55
