x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
因子01-全市场,13.10,-7.67,1.60,30.72,14.34,13,9,4.09,3.03,73,0.26,14.04,25.51,3.20,58.75
因子01-中证500,11.90,-16.83,-11.96,36.11,13.78,15,13,6.19,1.85,123,0.40,16.41,29.05,1.92,54.84
因子01-沪深300,6.90,-10.64,-5.07,20.69,7.47,10,12,6.62,1.04,235,0.42,7.24,14.75,1.04,52.86
因子02-全市场,8.12,-7.81,-4.92,24.64,9.10,13,9,3.87,2.04,89,0.25,9.53,18.77,2.10,55.24
因子02-中证500,2.55,-16.89,-11.84,15.52,3.56,9,9,6.07,0.45,348,0.39,4.78,12.74,0.42,50.82
因子02-沪深300,2.82,-21.22,-12.29,27.30,4.09,9,8,6.57,0.46,484,0.42,3.20,18.79,0.43,51.95
因子03-全市场,14.02,-6.22,-3.87,36.97,15.48,13,16,4.13,3.20,297,0.26,15.98,28.04,3.39,58.53
因子03-中证500,8.37,-16.16,-10.75,29.61,9.47,11,9,6.13,1.34,102,0.39,10.67,22.40,1.36,53.48
因子03-沪深300,5.82,-8.68,-6.24,27.93,7.48,12,9,6.49,0.90,344,0.42,5.74,19.19,0.90,53.82
因子04-全市场,13.91,-6.20,-4.21,37.26,15.37,13,16,4.14,3.17,298,0.27,16.00,28.48,3.36,58.64
因子04-中证500,8.68,-16.26,-10.73,29.91,9.92,11,9,6.11,1.39,100,0.39,11.07,22.72,1.42,53.99
因子04-沪深300,6.09,-8.57,-5.49,26.99,7.77,15,9,6.53,0.94,336,0.42,6.17,19.31,0.93,54.39
因子05-全市场,14.92,-11.85,-0.73,35.99,16.56,15,9,4.80,2.93,147,0.31,17.59,27.23,3.11,60.40
因子05-中证500,11.42,-14.68,-12.53,40.79,13.45,16,10,6.81,1.62,125,0.44,16.12,28.01,1.68,55.52
因子05-沪深300,5.99,-10.28,-3.83,20.32,7.18,8,11,6.67,0.91,184,0.43,6.97,13.89,0.90,52.29
文献1综合因子-全市场,12.74,-10.48,0.28,35.93,14.63,13,13,4.17,2.90,130,0.27,13.23,28.47,3.05,57.05
文献1综合因子-中证500,12.27,-11.59,-4.89,46.45,14.74,12,8,6.42,1.84,306,0.41,14.68,34.23,1.91,54.62
文献1综合因子-沪深300,8.89,-10.18,-5.43,34.19,8.83,13,11,6.54,1.33,353,0.42,8.32,19.98,1.36,52.97
因子07-全市场,13.35,-11.84,-2.86,40.43,14.92,13,9,4.59,2.76,121,0.29,14.91,27.92,2.91,58.75
因子07-中证500,10.62,-13.86,-7.53,38.17,11.90,9,9,6.58,1.57,269,0.42,11.11,26.07,1.61,53.94
因子07-沪深300,7.34,-8.59,-3.82,36.84,8.63,10,10,6.57,1.11,175,0.42,5.67,27.20,1.12,51.90
因子08-全市场,9.77,-7.52,-6.70,29.30,10.45,10,11,5.39,1.76,466,0.35,10.91,20.06,1.81,52.63
因子08-中证500,4.97,-12.66,-12.54,27.16,5.63,8,10,6.97,0.73,428,0.45,4.22,17.17,0.71,49.97
因子08-沪深300,6.64,-12.78,-9.41,35.08,8.26,9,11,7.09,0.94,203,0.45,6.71,22.67,0.94,51.90
因子09-全市场,17.46,-8.18,-1.62,43.22,18.58,13,12,5.32,3.05,207,0.34,17.69,34.68,3.28,55.69
因子09-中证500,7.30,-19.13,-14.34,43.98,8.34,14,10,7.13,1.02,248,0.46,7.12,28.05,1.02,50.65
因子09-沪深300,9.85,-12.44,-10.15,40.44,11.40,18,11,7.13,1.35,152,0.46,11.11,23.25,1.38,51.61
因子10-全市场,19.72,-9.64,1.95,41.96,21.16,15,7,5.56,3.27,96,0.36,21.90,32.47,3.55,57.79
因子10-中证500,11.36,-8.00,-4.96,46.95,13.30,9,9,7.34,1.50,162,0.47,11.41,28.35,1.55,51.10
因子10-沪深300,10.55,-8.30,-2.69,35.37,11.77,10,8,7.58,1.36,325,0.49,11.44,19.67,1.39,51.61
因子11-全市场,18.32,-4.41,6.32,43.09,20.12,11,8,4.46,3.79,53,0.29,18.37,35.25,4.10,59.21
因子11-中证500,6.13,-12.51,-12.00,28.64,8.02,11,9,6.13,1.00,198,0.39,8.26,18.05,1.00,51.56
因子11-沪深300,8.83,-9.57,-7.76,37.33,10.14,11,11,6.81,1.28,358,0.44,9.97,18.67,1.30,51.67
因子12-全市场,21.00,-4.17,6.37,51.50,23.63,14,7,5.24,3.67,54,0.34,21.24,39.20,4.01,58.53
因子12-中证500,11.48,-7.58,-6.23,36.83,14.53,15,9,6.86,1.62,253,0.44,14.94,24.68,1.67,53.65
因子12-沪深300,12.36,-7.77,-3.17,34.92,14.16,9,10,7.53,1.59,303,0.48,12.10,26.67,1.64,53.99
文献2综合因子-全市场,23.21,-8.21,6.45,59.46,26.08,13,8,5.18,4.06,73,0.33,23.88,47.76,4.48,61.93
文献2综合因子-中证500,14.87,-10.65,-3.83,49.68,17.97,15,11,6.88,2.05,115,0.44,17.78,33.17,2.16,54.50
文献2综合因子-沪深300,14.25,-8.08,-0.51,42.77,16.59,10,11,7.22,1.88,126,0.46,14.36,34.81,1.98,53.54
