sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
连豆一2105,3.53,-56.14,-31.33,75.39,4.15,14,9,17.30,0.29,911,1.11,-0.78,36.98,0.20,51.37,2021-04-19
连豆一2105-择时,-3.00,-76.48,-38.56,89.97,-1.20,9,9,17.30,-0.09,787,1.11,-2.98,23.23,-0.17,48.68,做多
沪白银2106,-4.91,-68.70,-43.37,68.95,-4.30,11,8,24.32,-0.09,72,1.56,-8.37,19.42,-0.20,49.25,2021-04-19
沪白银2106-择时,-4.99,-62.65,-33.35,61.71,-2.29,9,9,24.32,-0.09,105,1.56,-5.93,22.03,-0.21,47.84,做多
沪铝2106,-1.42,-69.92,-44.32,68.24,-1.39,9,10,15.08,-0.02,477,0.97,-4.31,18.54,-0.09,49.99,2021-04-19
沪铝2106-择时,6.27,-30.34,-24.96,51.42,7.19,10,10,15.07,0.48,982,0.96,5.06,28.14,0.42,50.80,做多
郑苹果110,-9.91,-60.58,-46.68,59.28,-0.18,6,10,25.76,-0.28,148,1.65,3.01,40.25,-0.38,46.71,2021-04-19
郑苹果110-择时,23.16,-29.01,-8.88,55.07,20.19,10,8,25.72,0.94,263,1.65,17.80,35.60,0.90,53.80,做空
沪黄金2106,1.67,-48.30,-31.91,62.61,4.74,9,9,17.20,0.18,403,1.10,1.78,25.57,0.10,51.64,2021-04-19
沪黄金2106-择时,2.26,-25.54,-22.96,48.35,4.04,10,11,17.20,0.22,1054,1.10,2.41,21.13,0.13,49.87,做多
连豆二2106,5.50,-35.17,-32.38,60.07,6.00,9,11,18.00,0.39,683,1.15,3.56,30.25,0.31,51.10,2021-04-19
连豆二2106-择时,-1.46,-52.75,-27.66,42.12,-1.03,11,8,18.01,0.01,522,1.15,-3.52,17.77,-0.08,50.48,做多
连胶合板2105,2.73,-74.13,-68.49,506.14,42.72,9,7,43.97,0.31,901,2.82,24.77,124.27,0.06,52.49,2021-04-19
连胶合板2105-择时,64.04,-45.20,-31.09,1469.65,106.45,7,8,43.82,1.34,738,2.81,22.96,301.39,1.46,51.71,做空
