sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
上证综指,4.30,-71.98,-71.12,243.93,9.88,11,9,24.05,0.30,1331,1.54,-1.85,63.23,0.18,52.97,2021-04-19
上证综指-择时,19.38,-32.32,-24.68,202.09,24.04,10,12,24.02,0.86,504,1.54,14.88,66.32,0.81,53.28,做空
上证A股,4.23,-71.96,-71.10,243.73,9.81,11,9,24.06,0.29,1331,1.54,-1.83,63.38,0.18,52.93,2021-04-19
上证A股-择时,18.96,-32.34,-24.69,202.51,23.64,10,12,24.03,0.84,504,1.54,14.45,66.27,0.79,53.04,做空
上证B股,9.25,-78.58,-77.21,429.65,20.93,15,9,30.12,0.44,1822,1.93,-3.22,112.02,0.31,52.46,2021-04-19
上证B股-择时,32.89,-33.02,-30.23,457.78,44.19,15,10,30.06,1.10,929,1.92,20.00,133.48,1.09,53.58,做多
上证工业,5.08,-75.86,-74.09,301.59,11.69,14,8,24.84,0.32,1333,1.59,-0.99,64.07,0.20,52.92,2021-04-19
上证工业-择时,21.84,-31.59,-27.10,176.42,26.27,14,12,24.80,0.92,372,1.59,15.39,85.64,0.88,53.25,做空
上证商业,4.50,-74.81,-63.08,229.46,11.91,17,10,27.86,0.30,1740,1.78,-4.65,86.90,0.16,52.92,2021-04-19
上证商业-择时,28.39,-45.08,-37.64,198.83,33.37,17,9,27.80,1.04,953,1.78,25.65,82.98,1.02,53.95,做空
上证地产,5.97,-77.31,-75.06,453.82,18.95,12,10,32.90,0.34,1859,2.11,-2.05,93.30,0.18,50.31,2021-04-19
上证地产-择时,6.05,-74.69,-43.80,172.35,10.49,12,10,32.90,0.34,1007,2.11,5.00,50.60,0.18,50.33,做多
上证公用,3.76,-72.78,-65.72,296.49,10.90,11,10,26.17,0.27,1314,1.68,-4.98,65.39,0.14,51.69,2021-04-19
上证公用-择时,15.32,-41.57,-33.88,191.68,19.90,9,11,26.15,0.68,811,1.67,10.22,68.42,0.59,52.54,做空
上证综合,3.28,-68.69,-68.69,192.99,8.22,11,10,25.35,0.25,1525,1.62,-2.76,64.58,0.13,49.78,2021-04-19
上证综合-择时,12.29,-38.92,-28.19,196.85,15.72,11,13,25.34,0.58,797,1.62,10.24,46.61,0.49,51.27,做空
