sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
上证综指,4.30,-71.98,-71.12,243.93,9.88,11,9,24.05,0.30,1331,1.54,-1.85,63.23,0.18,52.97
上证综指-择时,14.73,-28.43,-23.00,147.49,17.95,10,12,19.70,0.80,973,1.26,11.70,52.88,0.75,53.14
上证A股,4.23,-71.96,-71.10,243.73,9.81,11,9,24.06,0.29,1331,1.54,-1.83,63.38,0.18,52.93
上证A股-择时,14.42,-31.42,-27.62,144.32,17.69,10,12,19.39,0.79,973,1.24,11.53,51.24,0.74,52.73
上证B股,9.25,-78.58,-77.21,429.65,20.93,15,9,30.12,0.44,1822,1.93,-3.22,112.02,0.31,52.46
上证B股-择时,26.31,-30.45,-29.48,218.87,33.03,15,10,25.27,1.05,929,1.62,18.77,98.76,1.04,53.58
上证工业,5.08,-75.86,-74.09,301.59,11.69,14,8,24.84,0.32,1333,1.59,-0.99,64.07,0.20,52.92
上证工业-择时,16.83,-26.59,-23.55,150.31,20.15,14,12,20.45,0.86,464,1.31,10.84,64.57,0.82,53.15
上证商业,4.50,-74.81,-63.08,229.46,11.91,17,10,27.86,0.30,1740,1.78,-4.65,86.90,0.16,52.92
上证商业-择时,22.32,-43.53,-36.43,185.03,26.52,17,9,24.15,0.96,892,1.55,20.74,71.64,0.92,54.00
上证地产,5.97,-77.31,-75.06,453.82,18.95,12,10,32.90,0.34,1859,2.11,-2.05,93.30,0.18,50.31
上证地产-择时,4.95,-57.71,-42.40,96.11,7.50,12,10,24.18,0.32,1009,1.55,5.53,40.07,0.20,50.45
上证公用,3.76,-72.78,-65.72,296.49,10.90,11,10,26.17,0.27,1314,1.68,-4.98,65.39,0.14,51.69
