sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
连豆一2105,3.53,-56.14,-31.33,75.39,4.15,14,9,17.30,0.29,911,1.11,-0.78,36.98,0.20,51.37
连豆一2105-择时,-2.30,-57.21,-33.13,44.97,-1.90,11,9,11.65,-0.14,819,0.75,-2.69,10.00,-0.20,49.37
沪白银2106,-4.91,-68.70,-43.37,68.95,-4.30,11,8,24.32,-0.09,72,1.56,-8.37,19.42,-0.20,49.25
沪白银2106-择时,-2.40,-35.89,-24.53,24.42,-0.92,8,12,13.33,-0.12,70,0.85,-0.49,11.66,-0.18,47.42
沪铝2106,-1.42,-69.92,-44.32,68.24,-1.39,9,10,15.08,-0.02,477,0.97,-4.31,18.54,-0.09,49.99
沪铝2106-择时,4.29,-28.16,-19.16,35.14,4.62,10,10,10.16,0.46,1027,0.65,3.06,17.56,0.42,50.71
郑苹果110,-9.91,-60.58,-46.68,59.28,-0.18,6,10,25.76,-0.28,148,1.65,3.01,40.25,-0.38,46.71
郑苹果110-择时,16.73,-17.88,3.03,44.02,21.28,10,8,15.91,1.05,223,1.02,22.77,33.48,1.05,51.39
沪黄金2106,1.67,-48.30,-31.91,62.61,4.74,9,9,17.20,0.18,403,1.10,1.78,25.57,0.10,51.64
沪黄金2106-择时,3.16,-18.08,-16.53,49.80,3.19,8,12,10.32,0.35,601,0.66,0.26,13.96,0.31,49.94
连豆二2106,5.50,-35.17,-32.38,60.07,6.00,9,11,18.00,0.39,683,1.15,3.56,30.25,0.31,51.10
连豆二2106-择时,-1.90,-42.69,-19.67,26.38,-1.56,11,8,10.16,-0.14,873,0.65,-1.74,9.85,-0.19,50.69
连胶合板2105,2.73,-74.13,-68.49,506.14,42.72,9,7,43.97,0.31,901,2.82,24.77,124.27,0.06,52.49
连胶合板2105-择时,42.97,-21.49,-12.67,562.41,41.60,7,8,28.68,1.38,598,1.84,11.63,103.87,1.50,50.83
沪石油沥青2106,-13.56,-76.12,-55.07,45.82,-11.95,7,9,28.23,-0.37,1,1.81,-10.72,19.45,-0.48,50.26
沪石油沥青2106-择时,5.01,-33.22,-29.15,54.55,8.41,8,7,17.75,0.36,1006,1.14,8.25,32.45,0.28,50.09
连玉米2109,2.93,-33.27,-31.23,41.00,2.80,11,8,11.09,0.32,2659,0.71,2.63,16.96,0.26,50.63
连玉米2109-择时,2.01,-13.05,-9.61,16.28,2.18,10,10,7.22,0.31,934,0.46,1.67,8.36,0.28,49.66
郑棉花109,-3.39,-68.37,-39.88,116.95,-0.84,8,9,17.18,-0.12,1563,1.10,-7.64,34.08,-0.20,49.58
