sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
上证综指,4.34,-71.98,-71.12,243.93,9.87,11,9,24.06,0.30,1331,1.54,-1.89,63.38,0.18,52.98,2021-04-12
上证综指-择时,3.05,-22.15,-14.50,26.53,3.44,3,5,9.80,0.36,1660,0.63,2.58,14.45,0.31,50.35,平仓
上证A股,4.27,-71.96,-71.10,243.73,9.80,11,9,24.07,0.29,1331,1.54,-1.84,63.39,0.18,52.94,2021-04-12
上证A股-择时,2.96,-22.17,-15.04,26.58,3.31,3,5,9.83,0.35,1615,0.63,2.49,13.20,0.30,50.41,平仓
上证B股,9.26,-78.58,-77.21,429.65,20.94,15,9,30.13,0.44,1822,1.93,-3.24,112.09,0.31,52.43,2021-04-12
上证B股-择时,6.94,-28.36,-27.98,67.23,8.64,4,6,12.56,0.60,946,0.80,6.41,24.55,0.55,50.41,平仓
上证工业,5.10,-75.86,-74.09,301.59,11.67,14,8,24.84,0.33,1333,1.59,-1.02,64.08,0.21,52.93,2021-04-12
上证工业-择时,4.70,-28.54,-28.54,31.72,5.37,3,4,9.68,0.52,1796,0.62,5.07,16.03,0.49,54.08,平仓
上证商业,4.58,-74.81,-63.08,229.46,11.91,17,10,27.87,0.30,1740,1.78,-4.72,86.94,0.16,52.93,2021-04-12
上证商业-择时,7.30,-13.81,-11.74,51.32,7.90,3,6,10.44,0.73,511,0.67,6.84,19.83,0.70,53.36,平仓
上证地产,5.88,-77.31,-75.06,453.82,18.97,12,10,32.91,0.34,1859,2.11,-2.08,93.35,0.18,50.30,2021-04-12
上证地产-择时,3.13,-26.80,-16.20,27.21,3.18,3,5,10.14,0.35,1948,0.65,2.56,15.50,0.31,49.33,平仓
上证公用,3.78,-72.78,-65.72,296.49,10.91,11,10,26.18,0.27,1314,1.68,-4.99,65.43,0.14,51.68,2021-04-12
上证公用-择时,4.03,-45.83,-43.09,34.44,5.08,2,5,9.75,0.45,1953,0.62,5.44,16.65,0.41,51.74,平仓
上证综合,3.34,-68.69,-68.69,192.99,8.21,11,10,25.36,0.26,1525,1.62,-2.82,64.64,0.13,49.79,2021-04-12
上证综合-择时,1.65,-31.55,-20.62,36.00,2.09,4,6,10.48,0.21,2666,0.67,1.63,11.11,0.16,49.58,平仓
上证380,2.48,-63.80,-51.28,207.41,7.66,10,8,25.48,0.22,874,1.63,1.70,39.68,0.10,53.69,2021-04-12
上证380-择时,7.37,-13.70,-13.27,33.16,8.33,3,4,9.00,0.84,370,0.58,5.09,21.99,0.82,55.46,平仓
上证180,5.94,-72.28,-70.98,309.33,13.38,13,10,25.40,0.35,1522,1.63,-0.72,69.05,0.23,51.65,2021-04-12
上证180-择时,4.27,-19.48,-12.36,39.66,5.03,3,6,10.32,0.46,1463,0.66,3.67,16.72,0.41,51.44,平仓
上证基金,10.01,-58.72,-52.93,294.53,17.33,13,10,20.62,0.57,1694,1.32,3.55,67.41,0.49,50.22,2021-04-12
上证基金-择时,0.36,-30.50,-20.96,19.42,0.60,3,6,8.27,0.09,926,0.53,0.94,9.41,0.04,49.28,平仓
上证国债,3.46,-10.42,-9.80,14.79,3.61,34,8,1.39,2.46,420,0.09,3.49,6.95,2.49,68.45,2021-04-12
上证国债-择时,0.46,-2.34,-1.33,3.20,0.48,3,5,0.68,0.68,272,0.04,0.31,1.77,0.68,54.45,平仓
上证企债,5.10,-12.32,-9.65,26.01,5.66,202,13,1.88,2.65,611,0.12,5.52,13.01,2.70,72.88,2021-04-12
上证企债-择时,1.02,-1.59,-1.38,7.42,0.99,3,5,1.04,0.98,871,0.07,0.36,4.71,0.98,55.73,平仓
上证红利,6.62,-74.34,-72.28,338.66,17.92,12,11,26.91,0.37,290,1.72,0.48,87.55,0.25,52.27,2021-04-12
上证红利-择时,3.37,-17.16,-11.63,37.85,3.96,3,5,9.84,0.39,1708,0.63,1.58,14.17,0.34,51.59,平仓
上证50,7.51,-72.41,-71.54,316.73,17.76,19,9,26.42,0.41,622,1.69,2.49,78.18,0.28,50.95,2021-04-12
上证50-择时,2.93,-35.97,-29.15,35.52,3.31,2,4,10.79,0.32,2404,0.69,2.49,15.71,0.27,50.00,平仓
上证中型企业,4.21,-71.02,-64.08,206.67,9.42,17,10,29.44,0.29,962,1.88,5.56,51.61,0.14,55.89,2021-04-12
上证中型企业-择时,3.55,-15.25,-12.38,31.71,3.33,3,4,10.81,0.38,1241,0.69,3.30,11.58,0.33,52.93,平仓
上证流通,3.50,-53.06,-45.89,172.08,7.31,9,8,22.40,0.27,883,1.43,3.36,35.77,0.16,52.62,2021-04-12
上证流通-择时,5.83,-11.29,-10.65,34.91,6.65,3,5,8.79,0.69,347,0.56,6.22,18.34,0.66,52.22,平仓
上证100,11.96,-73.32,-68.00,246.92,22.89,17,11,28.53,0.54,1708,1.83,6.46,107.37,0.42,54.87,2021-04-12
上证100-择时,5.52,-24.56,-15.84,41.26,6.24,2,6,10.49,0.56,1708,0.67,3.38,19.39,0.53,54.39,平仓
上证150,8.94,-72.22,-63.14,326.39,22.76,17,10,30.67,0.43,983,1.96,5.01,110.76,0.29,56.66,2021-04-12
上证150-择时,6.51,-21.69,-16.99,41.47,6.90,2,4,11.07,0.62,1359,0.71,5.11,22.25,0.59,52.98,平仓
沪深300,7.32,-72.30,-70.85,314.32,17.11,12,10,25.80,0.40,1034,1.65,1.18,80.97,0.28,52.62,2021-04-12
沪深300-择时,5.48,-19.97,-12.64,43.42,6.14,3,5,9.81,0.59,951,0.63,3.27,21.64,0.56,52.70,平仓
中证1000,12.21,-72.51,-65.18,288.29,26.09,17,10,31.20,0.53,929,2.00,11.53,111.99,0.39,56.38,2021-04-12
中证1000-择时,5.00,-20.31,-18.43,43.14,5.57,3,4,11.76,0.47,1176,0.75,3.98,15.89,0.43,53.56,平仓
中证流通,12.07,-71.48,-69.13,278.36,21.12,17,10,27.53,0.55,1752,1.76,4.19,100.20,0.44,55.01,2021-04-12
中证流通-择时,5.94,-26.81,-19.12,36.73,5.94,3,4,11.23,0.57,1612,0.72,6.00,18.16,0.53,53.03,平仓
中证100,9.61,-71.72,-70.94,324.66,18.47,13,10,25.71,0.49,513,1.65,2.51,77.77,0.37,51.96,2021-04-12
中证100-择时,2.77,-24.81,-18.97,32.95,3.12,3,4,10.08,0.32,1511,0.65,1.18,15.97,0.27,51.32,平仓
中证200,10.96,-73.77,-70.47,304.97,24.54,17,10,29.15,0.50,1763,1.87,5.50,108.42,0.38,54.35,2021-04-12
中证200-择时,5.01,-22.90,-11.35,36.12,5.38,3,4,11.06,0.50,1897,0.71,2.81,20.33,0.45,51.30,平仓
中证500,12.16,-72.42,-65.56,251.29,25.14,17,10,30.31,0.53,1679,1.94,8.32,112.57,0.40,56.02,2021-04-12
中证500-择时,8.51,-27.44,-24.98,50.16,8.99,3,4,12.28,0.73,1666,0.79,6.96,25.03,0.69,54.82,平仓
中证800,10.87,-71.76,-69.85,292.94,22.74,11,10,26.92,0.52,1847,1.72,6.62,96.24,0.40,53.86,2021-04-12
中证800-择时,4.98,-25.54,-14.78,34.12,5.47,3,5,10.35,0.52,1874,0.66,3.49,20.41,0.48,52.26,平仓
中证700,11.55,-73.16,-68.27,273.41,24.77,17,10,29.50,0.52,1740,1.89,6.26,109.56,0.39,55.21,2021-04-12
中证700-择时,8.34,-13.90,-7.48,41.77,8.78,3,4,11.57,0.75,756,0.74,5.12,22.71,0.72,54.78,平仓
中证红利,10.42,-72.13,-68.73,359.18,22.47,12,10,27.04,0.50,1850,1.73,5.08,96.25,0.39,53.44,2021-04-12
中证红利-择时,5.69,-26.11,-14.71,55.20,6.72,2,5,9.78,0.61,2099,0.63,4.89,27.81,0.58,51.88,平仓
深证成指,6.72,-70.98,-70.31,349.16,15.30,13,10,27.36,0.38,1350,1.75,-0.25,73.42,0.25,51.71,2021-04-12
深证成指-择时,4.85,-21.41,-11.60,45.27,5.62,3,5,10.26,0.51,1672,0.66,5.10,18.64,0.47,50.07,平仓
深证深成指R,7.08,-70.68,-70.01,353.65,15.77,13,10,27.36,0.39,1851,1.75,-0.17,73.97,0.26,51.66,2021-04-12
深证深成指R-择时,4.44,-21.36,-11.60,45.29,4.91,3,5,10.10,0.48,1672,0.65,3.73,16.72,0.44,49.93,平仓
深证100R,12.70,-71.28,-69.90,331.76,23.45,14,10,27.67,0.57,1847,1.77,6.03,94.35,0.46,52.91,2021-04-12
深证100R-择时,4.28,-16.59,-14.52,31.16,4.59,3,4,10.72,0.44,1486,0.69,3.68,15.58,0.40,50.72,平仓
深证中小板指,14.17,-67.37,-61.09,187.97,21.46,17,10,29.35,0.60,1057,1.88,10.65,91.23,0.48,54.65,2021-04-12
深证中小板指-择时,2.63,-31.08,-28.99,37.37,3.12,3,6,10.89,0.29,2524,0.70,2.51,14.57,0.24,51.69,平仓
