sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
连豆一2105,3.22,-56.14,-31.33,75.39,4.11,14,9,17.29,0.27,911,1.11,-0.79,36.86,0.19,51.31,2021-04-12
连豆一2105-择时,-2.97,-48.71,-23.97,17.04,-2.77,3,5,7.70,-0.35,12,0.49,-2.88,7.75,-0.39,47.45,平仓
沪白银2106,-5.11,-68.70,-43.37,68.95,-4.38,11,8,24.32,-0.09,72,1.56,-8.40,19.08,-0.21,49.22,2021-04-12
沪白银2106-择时,2.21,-20.95,-20.59,24.09,4.08,3,5,10.77,0.26,840,0.69,5.09,16.64,0.21,45.86,平仓
沪铝2105,-1.46,-69.92,-44.32,68.24,-1.47,9,10,15.08,-0.02,477,0.97,-4.32,18.38,-0.10,49.99,2021-04-12
沪铝2105-择时,-0.11,-17.14,-11.40,21.73,0.31,3,4,6.12,0.01,1215,0.39,-0.41,7.64,-0.02,48.32,平仓
郑苹果110,-10.39,-60.58,-46.68,59.28,0.21,6,10,25.74,-0.30,148,1.65,3.79,40.28,-0.40,46.75,2021-04-12
郑苹果110-择时,-8.67,-36.63,-30.39,10.46,-10.39,3,4,14.84,-0.54,106,0.95,-10.93,3.35,-0.58,42.68,做空
沪黄金2106,1.65,-48.30,-31.91,62.61,4.75,9,9,17.21,0.18,403,1.10,1.81,25.60,0.10,51.64,2021-04-12
沪黄金2106-择时,3.14,-10.82,-6.76,15.69,2.63,3,6,5.27,0.61,1256,0.34,2.27,9.45,0.60,52.64,平仓
连豆二2105,5.25,-35.17,-32.38,60.07,5.97,9,11,18.00,0.37,683,1.15,3.54,30.04,0.29,51.07,2021-04-12
连豆二2105-择时,0.38,-22.82,-17.32,27.91,0.78,3,5,7.83,0.09,1585,0.50,0.17,9.48,0.05,49.15,平仓
连胶合板2104,11.91,-69.50,-68.49,506.14,42.82,9,7,40.53,0.49,901,2.59,24.75,124.27,0.29,52.54,2021-04-12
连胶合板2104-择时,1.85,-35.79,-28.32,33.79,1.87,3,4,13.03,0.21,177,0.83,0.92,16.22,0.14,50.21,平仓
国际铜2106,77.05,-7.49,NaN,NaN,NaN,8,3,20.88,2.87,23,1.34,NaN,NaN,3.69,55.06,2021-04-12
国际铜2106-择时,-17.44,-8.16,NaN,NaN,NaN,3,4,8.89,-2.13,1,0.57,NaN,NaN,-1.96,44.44,平仓
沪石油沥青2106,-14.42,-76.12,-55.07,45.82,-12.01,7,9,28.19,-0.41,1,1.80,-10.79,19.45,-0.51,50.17,2021-04-12
沪石油沥青2106-择时,2.35,-20.12,-14.27,32.33,4.63,3,7,13.13,0.24,739,0.84,3.57,15.82,0.18,48.12,平仓
连玉米2109,2.79,-33.27,-31.23,41.00,2.76,11,8,11.09,0.30,2659,0.71,2.62,16.74,0.25,50.60,2021-04-12
连玉米2109-择时,-0.67,-28.42,-14.74,25.89,-0.61,3,5,6.19,-0.08,261,0.40,-1.47,6.21,-0.11,48.28,平仓
郑棉花109,-3.47,-68.37,-39.88,116.95,-0.88,8,9,17.17,-0.12,1563,1.10,-7.65,34.11,-0.20,49.57,2021-04-12
郑棉花109-择时,-0.19,-32.41,-14.89,21.83,-0.17,4,4,7.44,0.01,334,0.48,-0.55,6.80,-0.03,48.22,平仓
郑红枣109,2.34,-24.23,-21.04,18.09,-8.99,6,7,19.32,0.22,53,1.24,-9.66,-1.46,0.12,49.67,2021-04-12
郑红枣109-择时,8.75,-8.75,-7.25,14.71,5.10,2,2,9.37,0.94,11,0.60,3.82,14.40,0.93,55.81,平仓
连玉米淀粉2105,2.23,-32.09,-25.96,39.21,1.27,7,7,14.59,0.22,1408,0.93,0.31,18.20,0.15,50.27,2021-04-12
连玉米淀粉2105-择时,1.12,-8.90,-6.40,11.80,1.24,3,4,5.69,0.22,192,0.36,0.14,9.13,0.20,53.88,平仓
沪铜2106,12.36,-60.61,-48.08,197.02,16.28,8,7,22.16,0.64,2438,1.42,4.78,73.73,0.56,52.65,2021-04-12
沪铜2106-择时,0.26,-21.50,-15.87,27.07,0.74,3,6,6.50,0.07,1945,0.42,0.00,7.91,0.04,50.10,做多
郑棉纱109,-5.22,-38.11,-28.62,13.62,-9.66,8,7,17.13,-0.23,93,1.10,-10.34,1.66,-0.30,50.61,2021-04-12
郑棉纱109-择时,1.59,-13.34,-9.86,14.25,1.25,3,3,9.11,0.22,363,0.58,1.55,9.08,0.17,48.24,平仓
连苯乙烯2105,-10.32,-46.11,-42.57,61.54,-8.74,7,11,33.89,-0.15,NaN,2.17,-15.90,29.76,-0.30,51.38,2021-04-12
连苯乙烯2105-择时,7.88,-16.21,-8.64,34.46,21.18,2,3,15.88,0.56,180,1.02,24.09,24.09,0.50,47.30,平仓
连乙二醇2109,-9.31,-46.08,-36.82,49.80,-13.79,6,9,26.97,-0.23,NaN,1.73,-17.32,4.51,-0.35,50.00,2021-04-12
连乙二醇2109-择时,-3.93,-20.49,-16.91,7.75,-7.66,2,5,10.32,-0.34,3,0.66,-10.66,3.14,-0.38,47.54,做空
连纤维板2105,9.55,-76.30,-62.58,245.49,33.11,12,8,35.04,0.43,338,2.24,11.80,125.46,0.27,49.19,2021-04-12
连纤维板2105-择时,5.16,-36.40,-17.86,66.52,5.88,2,5,16.55,0.39,1017,1.06,-0.09,48.22,0.31,48.41,平仓
郑玻璃109,11.08,-39.13,-29.01,87.28,10.58,10,10,20.12,0.62,913,1.29,9.53,36.08,0.55,52.09,2021-04-12
郑玻璃109-择时,-3.25,-39.62,-19.90,16.34,-4.04,4,4,8.91,-0.33,133,0.57,-6.20,9.53,-0.36,49.56,平仓
沪燃油2109,-6.38,-91.02,-66.55,131.85,-2.20,10,9,27.58,-0.10,387,1.77,-6.21,44.49,-0.23,51.77,2021-04-12
沪燃油2109-择时,-1.67,-46.25,-26.94,22.69,-0.30,3,5,10.31,-0.11,454,0.66,-0.47,12.51,-0.16,47.53,平仓
沪热轧卷板2110,18.59,-50.15,-41.21,157.85,22.39,12,9,23.82,0.84,627,1.52,16.86,71.41,0.78,52.33,2021-04-12
沪热轧卷板2110-择时,2.04,-25.92,-21.25,23.90,1.65,4,4,10.41,0.25,127,0.67,2.04,10.95,0.20,54.29,平仓
连铁矿石2109,20.45,-62.11,-49.83,177.86,32.01,9,8,32.76,0.73,751,2.10,33.08,106.17,0.62,51.74,2021-04-12
连铁矿石2109-择时,0.29,-24.02,-17.68,19.17,0.85,3,4,11.66,0.08,471,0.75,-0.86,11.97,0.02,51.39,做多
中证2104,7.93,-51.03,-38.21,67.20,9.92,8,6,32.42,0.40,1234,2.08,9.26,39.31,0.24,52.86,2021-04-12
中证2104-择时,3.97,-22.21,-22.21,36.00,7.90,3,5,11.72,0.39,285,0.75,3.91,30.21,0.34,47.43,平仓
沪深2104,5.52,-45.89,-33.97,115.08,8.17,9,9,24.69,0.34,1019,1.58,4.67,33.93,0.22,50.38,2021-04-12
沪深2104-择时,-0.43,-39.60,-21.43,35.72,0.93,3,3,10.15,0.01,2125,0.65,-0.99,20.02,-0.04,50.40,平仓
上证2104,4.62,-44.52,-30.87,45.41,9.89,9,7,25.14,0.31,690,1.61,11.84,33.44,0.18,51.93,2021-04-12
上证2104-择时,6.14,-14.00,-11.69,34.60,8.26,3,3,10.36,0.63,372,0.66,2.73,30.80,0.59,49.44,平仓
连焦炭2105,3.27,-81.91,-46.14,264.10,15.16,16,9,27.53,0.25,1769,1.76,-4.96,111.21,0.12,49.77,2021-04-12
连焦炭2105-择时,3.03,-31.12,-25.75,24.28,3.33,3,7,11.48,0.32,154,0.73,5.78,14.51,0.26,51.53,平仓
连鸡蛋2105,-9.29,-66.07,-54.13,29.76,-9.18,10,9,20.92,-0.36,69,1.34,-8.02,14.22,-0.44,49.29,2021-04-12
连鸡蛋2105-择时,-5.53,-40.76,-26.12,12.46,-4.29,3,7,10.97,-0.46,463,0.70,-4.70,6.28,-0.50,48.87,平仓
连焦煤2105,8.91,-60.38,-43.32,189.13,18.44,7,7,27.93,0.45,878,1.79,9.93,80.77,0.32,50.61,2021-04-12
连焦煤2105-择时,0.84,-34.41,-27.94,20.04,0.57,2,5,9.77,0.13,614,0.63,0.17,14.17,0.09,47.25,平仓
郑粳稻105,-9.24,-43.11,-32.55,18.00,-7.72,6,8,22.18,-0.33,60,1.42,-6.91,6.79,-0.42,45.52,2021-04-12
郑粳稻105-择时,-16.05,-48.71,-32.75,-4.32,-18.59,2,5,11.08,-1.52,7,0.71,-18.05,-13.55,-1.45,43.94,平仓
连聚乙烯2105,0.37,-63.67,-55.50,102.65,0.64,9,13,21.91,0.13,54,1.40,1.10,22.24,0.02,50.70,2021-04-12
连聚乙烯2105-择时,-2.87,-46.35,-16.94,17.02,-2.87,3,4,7.91,-0.33,6,0.51,-3.78,3.84,-0.36,48.10,平仓
连生猪2109,-3.00,-9.62,NaN,NaN,NaN,3,6,25.60,0.00,21,1.64,NaN,NaN,-0.12,45.76,2021-04-12
连生猪2109-择时,-15.35,-4.02,NaN,NaN,NaN,1,2,6.18,-2.71,1,0.40,NaN,NaN,-2.48,28.57,平仓
郑晚籼稻105,-5.30,-34.69,-27.86,17.06,-14.88,5,9,22.61,-0.13,97,1.45,-18.15,-0.78,-0.23,46.80,2020-11-04
郑晚籼稻105-择时,-12.38,-29.56,-22.70,3.62,-11.87,2,3,9.80,-1.30,1,0.63,-10.18,1.03,-1.26,30.97,平仓
低硫燃料油2107,13.50,-23.93,NaN,NaN,NaN,7,5,32.24,0.56,136,2.06,NaN,NaN,0.42,53.23,2021-04-12
低硫燃料油2107-择时,-8.63,-7.98,NaN,NaN,NaN,1,1,7.20,-1.22,1,0.46,NaN,NaN,-1.20,50.00,平仓
连豆粕2109,6.82,-45.60,-27.65,102.62,9.31,9,8,20.43,0.42,1030,1.31,6.92,31.77,0.33,51.02,2021-04-12
连豆粕2109-择时,-0.51,-30.39,-20.98,26.50,0.14,4,5,8.74,-0.02,279,0.56,0.69,7.90,-0.06,47.03,平仓
郑甲醇105,-5.68,-60.26,-42.32,58.18,-4.06,8,11,22.53,-0.15,1137,1.44,-6.73,28.10,-0.25,49.14,2021-04-12
郑甲醇105-择时,1.35,-22.16,-19.42,27.61,2.03,4,4,9.67,0.19,655,0.62,1.35,16.45,0.14,47.55,平仓
沪镍2106,0.31,-43.98,-38.28,53.28,4.76,8,6,25.01,0.14,1056,1.60,3.30,25.96,0.01,52.76,2021-04-12
沪镍2106-择时,0.82,-19.24,-18.06,16.26,1.10,3,4,8.66,0.14,317,0.55,1.87,11.87,0.09,54.45,做空
20号胶2106,-4.10,-30.21,-18.67,19.44,-3.55,6,8,29.16,0.00,47,1.87,-4.78,11.82,-0.14,50.53,2021-04-12
20号胶2106-择时,-14.25,-27.87,-25.83,-4.81,-16.39,2,4,12.22,-1.20,20,0.78,-16.93,-7.52,-1.17,41.25,平仓
郑菜油109,1.01,-64.86,-52.33,81.89,-0.19,11,10,18.28,0.15,35,1.17,-2.34,22.18,0.06,50.18,2021-04-12
郑菜油109-择时,1.15,-17.15,-9.44,16.79,0.27,3,8,6.78,0.20,2161,0.43,-0.94,8.27,0.17,49.52,做多
连棕油2109,-4.16,-81.00,-61.73,98.59,-4.46,13,9,22.26,-0.08,29,1.43,-10.06,27.22,-0.19,50.49,2021-04-12
连棕油2109-择时,0.90,-15.78,-15.05,17.26,0.52,3,4,7.21,0.16,1902,0.46,0.97,6.13,0.12,50.00,平仓
沪铅2105,-2.36,-46.32,-23.81,82.80,0.00,11,10,17.52,-0.05,1374,1.12,-4.14,22.48,-0.13,49.26,2021-04-12
沪铅2105-择时,-0.52,-19.88,-14.17,11.13,-0.42,2,4,6.66,-0.05,344,0.43,-0.40,6.61,-0.08,49.37,平仓
郑短纤105,36.96,-19.77,NaN,NaN,NaN,6,5,29.24,1.23,56,1.87,NaN,NaN,1.26,52.07,2021-04-12
郑短纤105-择时,8.90,-2.38,NaN,NaN,NaN,1,1,6.93,1.27,6,0.44,NaN,NaN,1.28,50.00,平仓
连液化石油气2106,44.61,-18.75,14.57,46.80,25.56,6,5,33.05,1.29,23,2.12,21.10,44.23,1.35,53.31,2021-04-12
连液化石油气2106-择时,-18.97,-24.41,-19.46,-16.45,-18.41,2,4,15.84,-1.25,23,1.01,-18.67,-16.45,-1.20,44.83,平仓
郑花生110,-3.74,-6.94,NaN,NaN,NaN,4,4,17.33,-0.14,10,1.11,NaN,NaN,-0.22,44.19,2021-04-12
郑花生110-择时,0.00,0.00,NaN,NaN,NaN,1,1,0.00,NaN,1,0.00,NaN,NaN,NaN,NaN,平仓
郑普麦107,-10.04,-76.61,-36.80,25.28,-7.54,7,9,16.81,-0.55,NaN,1.08,-6.81,7.70,-0.60,48.26,2021-03-03
郑普麦107-择时,-4.39,-52.03,-27.19,9.28,-4.30,3,5,7.81,-0.54,603,0.50,-3.66,2.95,-0.56,48.50,平仓
连聚丙烯2105,7.95,-36.65,-29.85,121.08,9.40,7,7,21.01,0.47,516,1.35,2.12,39.97,0.38,49.85,2021-04-12
连聚丙烯2105-择时,-1.01,-24.95,-16.99,17.66,-0.56,2,5,8.89,-0.07,26,0.57,-0.23,10.73,-0.11,47.06,平仓
沪螺钢2110,3.91,-79.05,-41.19,113.91,4.82,11,10,21.50,0.29,2768,1.38,-1.75,45.49,0.18,50.82,2021-04-12
沪螺钢2110-择时,-2.18,-31.99,-17.16,18.80,-2.42,3,5,9.01,-0.20,5,0.58,-3.41,5.08,-0.24,49.06,平仓
郑籼稻105,-2.19,-44.51,-23.41,56.47,-1.39,7,8,13.91,-0.09,30,0.89,-5.35,35.73,-0.16,47.29,2020-12-14
郑籼稻105-择时,-2.44,-31.59,-29.04,13.47,-1.85,4,4,7.08,-0.31,1183,0.45,-0.59,8.44,-0.34,48.31,平仓
