sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
连豆一2109,3.45,-56.14,-31.33,75.39,4.23,14,9,17.30,0.28,911,1.11,-0.75,37.26,0.20,51.31,2021-05-06
连豆一2109-高阶择时,-1.23,-61.21,-39.23,48.42,-0.44,11,13,17.25,0.01,782,1.10,-1.38,20.50,-0.07,49.46,做多
沪白银2106,-5.02,-68.70,-43.37,68.95,-4.10,11,8,24.29,-0.09,72,1.56,-8.29,19.82,-0.21,49.25,2021-05-06
沪白银2106-高阶择时,-6.24,-60.52,-45.31,44.06,-3.69,8,11,23.05,-0.16,202,1.48,-4.87,13.00,-0.27,49.52,做空
沪铝2106,-1.14,-69.92,-44.32,68.24,-1.25,9,10,15.08,-0.00,477,0.97,-4.28,18.86,-0.08,50.03,2021-05-06
沪铝2106-高阶择时,4.90,-41.11,-25.75,45.29,5.50,10,8,15.04,0.39,1110,0.96,2.80,27.14,0.33,50.52,做多
郑苹果110,-10.45,-60.74,-51.28,59.28,-1.01,6,10,25.77,-0.30,148,1.65,2.48,40.19,-0.41,46.63,2021-05-06
郑苹果110-高阶择时,27.22,-33.13,-11.87,117.09,49.84,6,7,22.74,1.17,170,1.46,46.15,101.80,1.20,51.73,做多
沪黄金2106,1.62,-48.30,-31.91,62.61,4.71,9,9,17.18,0.18,403,1.10,1.75,25.57,0.09,51.63,2021-05-06
沪黄金2106-高阶择时,3.78,-47.87,-28.82,116.28,4.46,8,11,16.54,0.31,571,1.06,-2.13,24.67,0.23,49.87,做空
连豆二2106,5.42,-35.17,-32.38,60.07,6.09,9,11,18.01,0.38,683,1.15,3.62,30.90,0.30,51.10,2021-05-06
连豆二2106-高阶择时,-6.51,-76.81,-38.54,67.33,-3.99,9,11,17.61,-0.29,989,1.13,-7.11,22.04,-0.37,49.54,做空
连胶合板2105,6.97,-74.13,-68.49,506.14,42.29,9,7,44.08,0.40,901,2.82,24.07,124.27,0.16,52.86,2021-05-06
连胶合板2105-高阶择时,10.47,-52.56,-47.30,126.57,23.40,7,5,42.05,0.46,788,2.69,22.78,79.51,0.25,50.84,平仓
沪石油沥青2106,-13.45,-76.12,-55.07,45.82,-11.75,7,9,28.20,-0.37,1,1.81,-10.52,19.63,-0.48,50.31,2021-05-06
沪石油沥青2106-高阶择时,-3.91,-70.78,-47.86,98.08,2.42,9,9,27.91,-0.00,90,1.79,-1.32,50.72,-0.14,49.17,做多
连玉米2109,3.00,-33.27,-31.23,41.00,2.88,11,8,11.09,0.32,2659,0.71,2.67,17.37,0.27,50.66,2021-05-06
连玉米2109-高阶择时,-1.15,-34.51,-22.12,31.70,-1.05,10,12,10.89,-0.05,639,0.70,-1.21,8.10,-0.11,49.13,做多
郑棉花109,-3.32,-68.37,-39.88,116.95,-0.75,8,9,17.18,-0.11,1563,1.10,-7.61,34.08,-0.19,49.58,2021-05-06
郑棉花109-高阶择时,-2.29,-58.40,-42.61,101.55,-0.92,8,11,16.88,-0.05,48,1.08,-2.32,15.11,-0.14,49.47,做空
郑红枣109,-1.17,-24.76,-21.04,18.09,-9.05,6,7,19.27,0.03,53,1.23,-9.62,-1.83,-0.06,49.25,2021-05-06
郑红枣109-高阶择时,-3.91,-17.13,-11.86,1.50,-4.13,7,6,13.79,-0.22,28,0.88,-3.20,-0.03,-0.28,48.20,做空
连玉米淀粉2107,1.98,-32.09,-25.96,39.21,1.61,7,7,14.56,0.21,1408,0.93,0.48,19.50,0.14,50.27,2021-05-06
连玉米淀粉2107-高阶择时,4.66,-17.54,-13.30,26.34,5.62,7,8,14.11,0.39,410,0.90,6.21,15.17,0.33,51.73,做空
沪铜2106,12.74,-60.61,-48.08,197.02,16.42,8,7,22.16,0.65,2438,1.42,4.98,73.44,0.58,52.70,2021-05-06
沪铜2106-高阶择时,-2.80,-74.38,-37.63,166.76,0.15,9,10,22.06,-0.02,923,1.41,-6.61,30.57,-0.13,48.32,做空
郑棉纱109,-4.15,-38.11,-28.62,14.26,-9.20,8,7,17.09,-0.16,93,1.09,-10.18,2.11,-0.24,50.66,2021-05-06
郑棉纱109-高阶择时,0.62,-36.12,-29.36,32.95,-0.01,6,11,15.94,0.12,78,1.02,-1.04,25.97,0.04,49.10,做空
连苯乙烯2106,-7.02,-46.11,-42.57,69.58,-2.61,7,11,33.63,-0.05,NaN,2.15,-14.21,48.06,-0.21,51.60,2021-05-06
连苯乙烯2106-高阶择时,28.46,-25.44,10.97,89.07,51.13,7,7,26.87,1.07,35,1.72,50.95,71.08,1.06,51.69,做空
连乙二醇2109,-9.77,-46.08,-36.82,49.80,-12.01,6,9,26.82,-0.25,NaN,1.72,-16.80,16.39,-0.36,50.26,2021-05-06
连乙二醇2109-高阶择时,-13.91,-43.25,-38.75,11.22,-10.47,9,8,25.21,-0.47,28,1.61,-11.18,0.02,-0.55,46.76,做空
连纤维板2105,9.19,-77.43,-62.58,245.49,32.37,12,8,34.97,0.43,338,2.24,10.40,124.60,0.26,49.02,2021-05-06
连纤维板2105-高阶择时,34.28,-55.41,-39.85,422.85,68.77,10,8,34.14,1.03,553,2.19,17.45,281.46,1.00,51.71,做多
郑玻璃109,12.98,-39.13,-29.01,104.00,11.28,10,10,20.12,0.71,913,1.29,9.67,37.14,0.64,52.36,2021-05-06
郑玻璃109-高阶择时,-1.91,-40.49,-25.85,39.08,-3.21,10,9,19.41,-0.00,27,1.24,-4.38,10.63,-0.10,50.52,做空
沪燃油2109,-5.84,-91.02,-66.55,131.85,-2.09,10,9,27.59,-0.08,387,1.77,-6.00,44.40,-0.21,51.87,2021-05-06
沪燃油2109-高阶择时,-11.37,-90.90,-71.33,118.38,-3.19,10,12,27.15,-0.31,905,1.74,-7.44,39.17,-0.42,48.33,做多
沪热轧卷板2110,19.42,-50.15,-41.21,157.85,23.06,12,9,23.80,0.87,627,1.52,17.36,74.21,0.82,52.45,2021-05-06
沪热轧卷板2110-高阶择时,6.60,-56.73,-39.87,199.96,15.37,10,7,23.12,0.39,141,1.48,0.95,79.03,0.29,50.35,做多
连铁矿石2109,21.98,-62.11,-49.83,177.86,33.07,9,8,32.77,0.77,751,2.10,34.15,109.35,0.67,51.81,2021-05-06
连铁矿石2109-高阶择时,12.11,-37.25,-25.09,108.53,16.78,8,11,32.38,0.52,323,2.07,12.28,51.69,0.37,50.03,做空
中证2106,8.19,-51.03,-38.21,67.20,10.18,8,6,32.27,0.41,1234,2.07,9.50,39.26,0.25,52.98,2021-05-06
中证2106-高阶择时,4.31,-23.53,-17.18,41.72,5.08,6,7,23.04,0.30,495,1.47,3.15,20.84,0.19,49.48,做空
沪深2105,5.52,-45.89,-33.97,115.08,8.37,9,9,24.64,0.34,1019,1.58,4.72,36.95,0.22,50.40,2021-05-06
沪深2105-高阶择时,-0.01,-53.55,-40.43,87.52,3.00,7,12,23.76,0.12,488,1.52,-0.80,30.26,-0.00,48.62,做空
上证2105,4.45,-44.52,-30.87,45.41,10.16,9,7,25.06,0.30,690,1.60,12.14,33.60,0.18,51.91,2021-05-06
上证2105-高阶择时,-10.70,-58.50,-35.55,20.68,-9.21,7,9,19.04,-0.50,33,1.22,-8.21,3.54,-0.56,47.15,做空
连焦炭2109,3.75,-81.91,-46.14,264.10,15.40,16,9,27.52,0.27,1769,1.76,-4.57,110.47,0.14,49.85,2021-05-06
连焦炭2109-高阶择时,22.84,-37.19,-21.46,179.90,31.00,11,7,27.12,0.89,227,1.74,20.09,91.71,0.84,50.63,做空
连鸡蛋2109,-8.20,-66.07,-54.13,29.76,-9.31,10,9,20.92,-0.30,69,1.34,-8.36,14.19,-0.39,49.46,2021-05-06
连鸡蛋2109-高阶择时,5.46,-45.33,-40.76,53.86,4.94,10,9,20.34,0.36,809,1.30,6.33,28.62,0.27,50.61,做多
连焦煤2109,10.08,-60.38,-43.32,189.13,18.71,7,7,27.93,0.48,878,1.79,10.18,79.91,0.36,50.71,2021-05-06
连焦煤2109-高阶择时,-4.15,-51.09,-35.43,64.47,-4.01,7,10,27.50,-0.02,950,1.76,-10.05,27.33,-0.15,49.77,做空
郑粳稻109,-9.95,-43.74,-32.55,18.00,-7.95,6,8,22.19,-0.36,60,1.42,-7.05,5.53,-0.45,45.36,2021-05-06
郑粳稻109-高阶择时,8.49,-21.08,-8.45,24.64,11.05,6,7,20.19,0.50,331,1.29,12.20,17.85,0.42,50.42,做多
连聚乙烯2109,-0.15,-63.67,-55.50,102.65,0.79,9,13,21.89,0.10,54,1.40,1.20,22.63,-0.01,50.65,2021-05-06
连聚乙烯2109-高阶择时,-3.80,-75.40,-44.72,75.35,-3.74,11,9,21.68,-0.07,135,1.39,-8.01,18.85,-0.18,48.28,做空
郑晚籼稻105,-5.30,-34.69,-27.86,17.06,-14.88,5,9,22.61,-0.13,97,1.45,-18.15,-0.78,-0.23,46.80,2020-11-04
郑晚籼稻105-高阶择时,-10.19,-38.68,-34.14,23.25,-10.88,8,8,21.93,-0.38,35,1.40,-10.63,3.53,-0.46,47.21,做多
连豆粕2109,6.87,-45.60,-27.65,102.62,9.37,9,8,20.42,0.43,1030,1.31,7.07,31.80,0.34,51.05,2021-05-06
连豆粕2109-高阶择时,5.29,-41.07,-26.91,118.88,6.95,10,11,20.20,0.36,1934,1.29,2.97,34.35,0.26,50.57,做空
郑甲醇109,-5.60,-60.26,-42.32,58.18,-3.88,8,11,22.56,-0.14,1137,1.44,-6.70,27.98,-0.25,49.15,2021-05-06
郑甲醇109-高阶择时,3.59,-51.77,-41.18,63.39,7.85,9,9,22.20,0.27,894,1.42,6.84,32.98,0.16,50.50,做多
沪镍2106,0.98,-43.98,-38.28,53.28,4.94,8,6,25.00,0.16,1056,1.60,3.46,25.94,0.04,52.69,2021-05-06
沪镍2106-高阶择时,23.33,-26.53,-26.53,111.27,30.44,8,6,23.36,1.01,241,1.50,28.65,70.87,1.00,52.86,做多
