sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
上证综指,4.30,-71.98,-71.12,243.93,9.88,11,9,24.05,0.30,1331,1.54,-1.85,63.23,0.18,52.97,2021-04-19
上证综指-高阶择时,11.83,-48.13,-40.77,127.37,14.96,11,11,23.05,0.60,987,1.48,11.60,47.07,0.51,51.00,做空
上证A股,4.23,-71.96,-71.10,243.73,9.81,11,9,24.06,0.29,1331,1.54,-1.83,63.38,0.18,52.93,2021-04-19
上证A股-高阶择时,11.82,-46.61,-40.86,126.88,15.84,11,11,23.12,0.60,987,1.48,11.99,50.46,0.51,50.88,做空
上证B股,9.25,-78.58,-77.21,429.65,20.93,15,9,30.12,0.44,1822,1.93,-3.22,112.02,0.31,52.46,2021-04-19
上证B股-高阶择时,9.07,-51.99,-47.52,113.76,12.47,13,11,28.70,0.45,842,1.84,10.44,39.53,0.32,50.75,做空
上证工业,5.08,-75.86,-74.09,301.59,11.69,14,8,24.84,0.32,1333,1.59,-0.99,64.07,0.20,52.92,2021-04-19
上证工业-高阶择时,12.76,-59.51,-42.77,117.18,15.68,14,12,24.21,0.62,1123,1.55,13.86,47.10,0.53,51.26,做多
上证商业,4.50,-74.81,-63.08,229.46,11.91,17,10,27.86,0.30,1740,1.78,-4.65,86.90,0.16,52.92,2021-04-19
上证商业-高阶择时,11.85,-53.65,-45.96,99.76,15.58,17,15,26.32,0.56,735,1.68,16.20,50.22,0.45,51.16,做空
上证地产,5.97,-77.31,-75.06,453.82,18.95,12,10,32.90,0.34,1859,2.11,-2.05,93.30,0.18,50.31,2021-04-19
上证地产-高阶择时,5.26,-82.45,-72.26,193.19,12.33,12,11,30.98,0.32,1963,1.98,6.32,57.84,0.17,50.01,做空
上证公用,3.76,-72.78,-65.72,296.49,10.90,11,10,26.17,0.27,1314,1.68,-4.98,65.39,0.14,51.69,2021-04-19
上证公用-高阶择时,10.82,-60.69,-52.27,190.99,13.96,9,10,24.86,0.54,1128,1.59,10.82,39.95,0.44,51.53,做空
上证综合,3.28,-68.69,-68.69,192.99,8.22,11,10,25.35,0.25,1525,1.62,-2.76,64.58,0.13,49.78,2021-04-19
上证综合-高阶择时,2.95,-62.55,-41.75,64.67,5.30,10,10,24.36,0.24,1957,1.56,3.14,34.57,0.12,49.65,做空
