sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
多空-弹簧策略-上证综指,16.70,-14.24,-11.78,62.94,18.85,12,15,7.56,2.08,360,0.48,12.01,49.51,2.21,54.15
多空-弹簧策略-沪深300,4.55,-13.82,-8.08,23.64,4.40,13,8,4.70,0.97,581,0.30,4.12,13.75,0.97,53.49
多空-弹簧策略-中证500,6.24,-17.30,-14.40,26.34,6.30,14,11,5.34,1.16,420,0.34,5.78,20.46,1.17,53.83
多空-弹簧策略-A股市场,23.83,-20.10,-15.48,119.91,28.18,13,10,8.31,2.62,202,0.53,19.35,80.75,2.87,57.31
多空-动量上涨加减速-上证综指,15.40,-17.31,-11.78,85.26,16.04,11,10,11.47,1.31,192,0.73,9.17,54.60,1.34,52.70
多空-动量上涨加减速-沪深300,8.68,-27.39,-24.54,85.69,9.11,14,11,15.98,0.60,611,1.02,4.68,40.19,0.54,51.87
多空-动量上涨加减速-中证500,7.83,-25.31,-14.73,99.24,9.68,11,9,12.94,0.65,1581,0.83,5.56,28.36,0.61,51.42
多空-动量上涨加减速-A股市场,11.65,-15.04,-11.50,61.37,12.07,15,12,9.24,1.24,231,0.59,7.90,32.75,1.26,53.50
多空-动量下跌加减速-上证综指,7.09,-27.08,-16.55,78.89,8.35,13,12,12.20,0.62,401,0.78,6.41,19.17,0.58,52.32
多空-动量下跌加减速-沪深300,2.41,-43.37,-29.49,54.88,3.63,11,12,16.00,0.23,814,1.02,3.11,25.79,0.15,50.37
多空-动量下跌加减速-中证500,6.31,-33.07,-24.77,42.48,8.03,13,10,14.10,0.50,494,0.90,7.17,28.85,0.45,51.77
多空-动量下跌加减速-A股市场,9.55,-27.66,-12.91,72.25,10.62,14,12,9.62,1.00,545,0.62,5.89,24.60,0.99,54.46
