x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
沪深300,11.62,-46.70,-40.20,142.23,14.27,12,8,24.53,0.57,1278,1.57,10.94,52.13,0.47,52.55
沪深300组合,9.54,-13.31,-0.41,29.11,9.97,12,9,8.23,1.15,221,0.53,8.29,20.21,1.16,54.21
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
中证500,9.37,-65.20,-45.28,186.55,12.24,12,7,28.20,0.46,112,1.81,3.69,52.76,0.33,54.78
中证500组合,7.15,-19.97,-5.15,33.13,7.62,8,7,9.65,0.76,329,0.62,6.41,17.89,0.74,54.21
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
上证50,10.94,-44.70,-38.02,131.04,14.54,19,10,24.92,0.54,1248,1.60,13.17,51.47,0.44,51.00
上证50组合,7.61,-10.89,-3.84,24.78,8.03,8,7,7.59,1.01,285,0.49,7.57,16.51,1.00,51.17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
上证综指,6.84,-52.30,-41.88,146.28,9.92,11,9,23.10,0.40,286,1.48,4.98,52.60,0.30,53.86
上证综指组合,10.48,-19.71,-6.22,39.62,11.10,12,9,9.92,1.05,205,0.64,8.81,29.11,1.06,56.73
