x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
cadchf,4.47,-4.74,-4.03,19.69,4.94,5,15,4.29,1.04,262,0.27,4.40,11.36,1.04,30.56
cadjpy,3.23,-8.84,-5.80,25.72,3.58,7,23,4.68,0.70,978,0.30,2.96,10.01,0.69,29.95
chfjpy,1.25,-9.93,-6.71,9.70,1.36,6,18,4.00,0.33,674,0.26,1.01,6.16,0.31,26.22
eurcad,2.42,-9.16,-8.62,18.32,2.87,5,19,4.01,0.62,682,0.26,2.40,7.74,0.60,27.67
eurchf,1.70,-3.59,-3.22,9.54,1.82,5,21,2.50,0.69,894,0.16,0.99,6.17,0.68,25.68
eurgbp,2.61,-5.00,-3.84,11.29,2.73,4,23,3.16,0.83,298,0.20,2.51,6.34,0.83,24.81
eurjpy,3.10,-6.17,-2.75,15.90,3.03,5,31,4.00,0.78,1013,0.26,2.08,8.20,0.78,27.61
eurusd,1.77,-10.42,-7.68,13.07,1.66,6,21,3.84,0.48,799,0.25,1.53,6.34,0.46,27.07
gbpcad,3.31,-6.17,-3.93,21.58,3.63,6,23,3.92,0.85,645,0.25,2.50,8.65,0.84,28.13
gbpchf,3.58,-10.21,-6.25,18.88,3.89,5,24,4.03,0.89,520,0.26,3.53,10.19,0.89,26.42
gbpjpy,4.24,-6.40,-6.02,19.50,4.74,7,25,4.53,0.94,504,0.29,3.69,12.32,0.94,26.28
usdcad,2.25,-10.35,-6.61,24.09,1.81,6,33,4.26,0.54,1660,0.27,1.09,6.38,0.53,28.23
usdchf,1.60,-8.55,-5.48,12.17,2.09,6,26,3.77,0.44,724,0.24,1.62,6.87,0.42,29.33
audchf,1.80,-8.07,-4.66,12.67,1.91,6,20,3.27,0.56,961,0.21,1.62,6.16,0.55,30.48
audjpy,3.77,-8.38,-6.31,28.47,3.58,6,15,5.43,0.71,1107,0.35,2.84,8.67,0.69,29.69
euraud,2.24,-4.08,-3.45,12.34,2.31,7,21,2.71,0.83,753,0.17,1.20,7.07,0.82,31.51
eurnzd,2.89,-5.84,-4.17,14.27,3.01,8,15,3.33,0.87,403,0.21,2.14,8.60,0.87,32.56
组合,2.79,-1.41,0.13,7.25,2.87,13,13,1.21,2.28,224,0.08,2.52,5.06,2.30,48.88
