x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
,总计交易日,交易次数,盈利次数,亏损次数,平均盈利率%,平均亏损率%,成功率%,累计收益率%,最大回撤率%,年化收益率%,累计收益（无手续费）%,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
连豆一0303合约,3205,3205,840,2365,0.401434890970395,-0.0976221979467707,26.2090483619345,185.341891575923,6.37866704870186,14.4572458327553,293.101827317162,8.32,-6.38,-4.81,33.37,8.39,5,27,4.73,1.71,448,0.30,7.74,16.66,1.76,26.22
沪白银1209合约,1448,1448,457,991,0.357345149007263,-0.103744890435201,31.560773480663,81.4323433011357,4.45274924261583,14.0594515367983,109.687207004137,10.63,-4.45,-2.13,24.17,9.35,6,18,5.57,1.84,273,0.36,8.84,21.03,1.91,31.58
沪铝0201合约,3463,3463,867,2596,0.368701808960184,-0.0834780678401294,25.0360958706324,175.869534889451,5.18422078864744,12.6963279590998,289.985960110772,7.42,-5.18,-3.07,41.82,7.71,6,30,4.57,1.59,317,0.29,5.44,13.95,1.62,25.04
沪黄金0806合约,2500,2500,733,1767,0.238606853991306,-0.0746442692105669,29.32,52.9486948812007,2.8382064833057,5.29486948812007,96.3793123904913,4.19,-2.84,-1.42,16.61,4.35,5,19,3.15,1.32,490,0.20,2.91,11.64,1.33,29.29
连豆二0503合约,2680,2680,628,2052,0.533146492907486,-0.180384933961737,23.4328358208955,-32.3223350847264,54.1470066003233,-3.01514319820209,-11.5192031480665,-3.47,-54.15,-32.15,31.56,-1.84,6,29,8.23,-0.39,NaN,0.53,-0.68,12.26,-0.42,23.44
沪石油沥青1402合约,1101,1101,241,860,0.690013990058775,-0.166689012744459,21.88919164396,24.0925036005443,7.15747058983232,5.47059573127709,38.5320261527049,4.93,-7.16,-5.09,15.86,6.38,4,28,7.80,0.66,184,0.50,7.02,12.45,0.63,21.91
连玉米0501合约,3299,3299,844,2455,0.284785163197416,-0.0814741438798558,25.5835101545923,48.536089823584,6.86780421470478,3.67809107483965,106.576885816368,2.98,-6.87,-6.81,12.34,2.90,5,21,3.39,0.88,583,0.22,2.39,8.56,0.88,25.59
郑棉花001合约,3024,3024,721,2303,0.408046015164584,-0.0921023377478874,23.8425925925926,124.132718247342,5.73464255653133,10.2622948286493,203.245868064172,6.73,-5.73,-5.26,30.74,7.12,6,22,4.73,1.40,346,0.30,5.62,17.54,1.42,23.85
连玉米淀粉1503合约,811,811,220,591,0.29872072665361,-0.106920985718321,27.1270036991369,2.35783039723421,5.62937328568527,0.72682811258761,11.0042653772324,0.58,-5.63,-4.98,6.37,0.82,3,19,3.45,0.19,464,0.22,-0.19,4.94,0.17,27.04
沪铜0201合约,3463,3463,993,2470,0.486735402549152,-0.123209772870069,28.6745596303783,483.965920346005,5.46979117106331,34.9383425025993,725.468722138451,13.25,-5.47,-3.62,47.81,13.12,5,23,5.95,2.12,485,0.38,9.01,31.53,2.23,28.68
郑玻璃001合约,1045,1045,275,770,0.625606361663937,-0.176429503660128,26.3157894736842,41.9393567140382,7.96260561284706,10.0333389268034,57.5685830838506,8.35,-7.96,-2.69,24.88,6.26,5,32,7.41,1.12,235,0.47,3.67,18.84,1.13,26.25
沪燃油0501合约,2587,2587,638,1949,0.75050590950353,-0.240774414640145,24.6617703904136,-1.65964207147664,53.8012216638096,-0.160382882825342,27.374879194163,-0.15,-53.80,-45.60,26.19,0.51,5,23,14.52,0.06,283,0.93,4.90,16.67,-0.01,24.67
沪热轧卷板1407合约,998,998,279,719,0.708716447469371,-0.180534085537018,27.9559118236473,94.6120154183104,6.73898299842653,23.7004046639054,115.021425375296,17.71,-6.74,-1.19,37.26,16.41,4,17,8.08,2.06,217,0.52,18.15,27.37,2.19,27.98
连铁矿石1403合约,1100,1100,294,806,0.988746939885004,-0.253714663049425,26.7272727272727,130.798973549004,9.15491492160236,29.7270394429555,157.613522682686,20.46,-9.15,-3.82,48.57,20.21,5,14,10.66,1.80,160,0.68,20.74,32.46,1.92,26.75
连焦炭1109合约,1706,1706,425,1281,0.743540714721504,-0.171572573367798,24.9120750293083,154.85815381467,10.0726070108785,22.6931643925366,202.235851662255,14.29,-10.07,-0.46,32.31,14.77,4,44,8.77,1.57,168,0.56,14.22,24.67,1.63,24.87
连鸡蛋1403合约,1178,1178,293,885,0.565677517045199,-0.161906808423147,24.8726655348048,23.8729019539847,15.5106401453904,5.06640533828199,39.3557195257392,4.56,-15.51,-10.03,28.72,6.68,5,17,6.62,0.71,842,0.42,4.07,24.20,0.69,24.89
连焦煤1307合约,1235,1235,316,919,0.827912107863946,-0.212989513203343,25.587044534413,88.8120111981862,7.981049202607,17.9781399186612,113.616945154363,13.32,-7.98,0.97,37.10,14.46,6,21,9.62,1.35,140,0.62,13.38,26.01,1.38,25.53
