x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
a,7.47,-6.38,-4.81,33.37,7.66,5,27,4.50,1.62,764,0.29,7.02,15.96,1.66,26.23
ag,4.13,-4.45,-2.13,24.17,4.22,6,18,3.56,1.15,273,0.23,0.00,14.99,1.16,31.50
al,7.20,-5.18,-5.18,41.85,7.40,6,30,4.51,1.57,317,0.29,5.29,13.58,1.60,25.00
au,2.95,-2.84,-2.02,16.61,3.27,5,19,2.64,1.11,490,0.17,1.50,10.21,1.12,29.33
b,-2.61,-54.26,-32.42,26.92,-2.38,6,29,7.13,-0.34,1,0.46,-0.59,9.47,-0.37,23.47
bu,1.53,-7.16,-6.59,15.86,1.75,4,28,4.35,0.37,184,0.28,0.00,7.82,0.35,21.89
c,2.71,-6.87,-6.81,12.34,3.01,5,21,3.26,0.84,583,0.21,2.51,8.61,0.83,25.54
cf,5.63,-5.73,-5.26,30.74,6.14,6,22,4.35,1.28,417,0.28,4.40,15.94,1.29,23.80
cs,0.20,-5.63,-4.98,6.46,0.14,3,19,1.66,0.13,464,0.11,0.00,0.89,0.12,27.32
cu,12.80,-5.47,-3.62,47.28,12.83,5,23,5.86,2.09,485,0.37,8.55,31.13,2.19,28.64
fg,2.50,-7.96,-4.20,25.79,2.49,5,15,4.04,0.63,495,0.26,0.00,9.73,0.62,26.28
fu,-0.17,-53.80,-34.20,26.19,0.74,5,23,12.35,0.05,522,0.79,4.12,15.14,-0.01,24.61
hc,4.62,-6.74,-1.86,38.14,5.30,4,17,4.30,1.07,293,0.28,0.00,23.30,1.07,27.81
i,5.87,-9.15,-5.71,50.16,6.16,5,14,5.94,0.99,160,0.38,0.00,24.06,0.99,26.78
j,6.56,-10.07,-0.46,32.31,7.08,4,44,6.08,1.07,168,0.39,3.46,21.83,1.08,24.84
jd,1.51,-15.61,-10.65,28.72,1.46,5,17,3.81,0.41,843,0.24,0.00,11.05,0.40,24.98
jm,4.38,-7.98,-2.56,37.10,4.74,6,21,5.67,0.78,140,0.36,0.00,18.37,0.77,25.56
l,5.10,-13.43,-7.76,24.35,5.49,5,20,5.25,0.97,1010,0.34,3.57,16.82,0.97,24.39
m,5.92,-14.40,-7.81,28.02,6.01,7,34,4.74,1.24,1336,0.30,5.53,14.82,1.25,26.16
ma,9.26,-4.64,-1.00,150.61,13.22,5,15,26.37,0.42,95,1.69,0.00,19.46,0.35,27.51
ni,1.18,-7.89,-2.89,13.59,1.28,4,15,3.05,0.40,364,0.19,0.00,6.38,0.39,26.75
oi,2.15,-3.14,-2.80,13.36,2.21,5,22,2.83,0.77,225,0.18,0.00,7.96,0.76,26.23
p,8.07,-7.75,-2.14,33.89,8.31,8,39,5.12,1.54,214,0.33,6.16,19.17,1.58,28.15
pb,3.46,-4.40,-0.16,15.72,3.49,4,22,3.56,0.97,136,0.23,1.12,10.91,0.97,22.97
pp,2.09,-5.66,-1.43,17.67,2.47,10,17,3.39,0.63,163,0.22,0.00,9.86,0.62,26.76
rb,8.73,-4.94,-0.11,29.57,9.26,4,25,5.14,1.65,158,0.33,8.36,22.55,1.70,25.51
rm,2.78,-6.56,-3.00,14.96,2.84,5,16,3.40,0.82,251,0.22,0.00,9.54,0.82,29.27
ro,1.26,-3.47,-2.54,12.40,1.40,5,16,1.77,0.72,163,0.11,0.00,7.59,0.71,28.20
ru,13.97,-10.96,-10.24,43.17,13.81,7,22,8.96,1.50,399,0.57,12.67,32.07,1.56,25.37
sf,2.92,-5.87,-4.91,22.44,2.54,4,23,4.41,0.67,138,0.28,0.00,12.72,0.66,30.31
sm,1.94,-7.93,-5.55,22.57,1.36,5,17,3.72,0.54,550,0.24,0.00,6.00,0.52,27.77
sn,1.49,-3.87,-0.38,11.72,1.43,7,14,1.93,0.78,205,0.12,0.00,6.62,0.77,32.02
sr,5.41,-6.97,-3.93,25.07,6.14,5,22,3.92,1.37,804,0.25,4.54,17.43,1.38,28.02
ta,6.98,-6.15,-5.01,42.35,7.90,5,21,5.12,1.34,406,0.33,5.83,21.46,1.36,25.22
v,2.87,-8.54,-5.70,24.80,3.19,4,19,4.34,0.67,519,0.28,0.41,10.17,0.66,25.62
wh,0.09,-11.29,-7.17,13.62,0.46,5,23,2.61,0.05,259,0.17,0.00,3.81,0.03,25.20
ws,1.48,-8.00,-6.06,14.76,1.67,5,21,2.28,0.66,521,0.15,0.00,8.62,0.65,27.41
wt,-0.67,-10.96,-10.46,5.12,-0.69,4,26,2.24,-0.29,1,0.14,0.00,0.78,-0.30,21.02
y,8.17,-4.33,-1.57,42.85,8.84,6,21,4.72,1.69,169,0.30,7.04,15.76,1.73,26.78
zc,1.26,-4.06,-3.66,10.57,0.91,7,18,2.22,0.58,175,0.14,0.00,4.89,0.57,30.33
zn,6.91,-4.95,-0.49,34.19,7.40,5,29,5.07,1.35,168,0.32,5.63,18.06,1.36,25.84
组合,4.25,-0.94,0.61,10.37,4.29,13,11,1.29,3.24,90,0.08,3.94,7.45,3.30,52.13
