,tradeDate,rep
0,2010-11-26,"2010-11-26,600600,b,36.38,建仓"
0,2010-11-26,"2010-11-26,600109,b,16.55,建仓"
0,2010-11-29,"2010-11-29,600741,b,11.93,建仓"
0,2010-11-30,"2010-11-30,600027,b,3.86,建仓"
0,2010-12-01,"2010-12-01,600150,b,60.82,建仓"
0,2010-12-02,"2010-12-02,600745,b,8.02,建仓"
0,2010-12-06,"2010-12-06,601288,b,2.66,建仓"
0,2010-12-06,"2010-12-06,600011,b,6.32,建仓"
0,2010-12-08,"2010-12-08,601628,b,22.89,建仓"
0,2010-12-08,"2010-12-08,601318,b,59.21,建仓"
0,2010-12-08,"2010-12-08,600028,b,8.19,建仓"
0,2010-12-08,"2010-12-08,600999,b,21.09,建仓"
0,2010-12-09,"2010-12-09,600489,b,39.67,建仓"
0,2010-12-09,"2010-12-09,601899,b,8.31,建仓"
0,2010-12-10,"2010-12-10,600183,b,11.72,建仓"
0,2010-12-15,"2010-12-15,600390,b,21.35,建仓"
0,2010-12-15,"2010-12-15,601600,b,10.39,建仓"
0,2010-12-15,"2010-12-15,601088,b,25.19,建仓"
0,2010-12-15,"2010-12-15,600018,b,4.03,建仓"
0,2010-12-15,"2010-12-15,601328,b,5.63,建仓"
0,2010-12-16,"2010-12-16,300059,b,58.91,建仓"
0,2010-12-16,"2010-12-16,600029,b,9.31,建仓"
1,2010-12-16,"2010-12-16,600109,s,16.03,平仓,-3.1420%"
0,2010-12-16,"2010-12-16,601111,b,12.82,建仓"
0,2010-12-17,"2010-12-17,600016,b,5.08,建仓"
0,2010-12-17,"2010-12-17,002120,b,11.1,建仓"
0,2010-12-17,"2010-12-17,002032,b,24.59,建仓"
1,2010-12-17,"2010-12-17,600600,s,35.95,平仓,-1.1820%"
1,2010-12-17,"2010-12-17,600741,s,11.83,平仓,-0.8382%"
0,2010-12-20,"2010-12-20,002129,b,27.47,建仓"
1,2010-12-20,"2010-12-20,600027,s,3.5,平仓,-9.3264%"
1,2010-12-21,"2010-12-21,600150,s,64.09,平仓,5.3765%"
0,2010-12-22,"2010-12-22,002384,b,77.94,建仓"
1,2010-12-22,"2010-12-22,600745,s,8.98,平仓,11.9701%"
0,2010-12-23,"2010-12-23,601166,b,24.6,建仓"
1,2010-12-24,"2010-12-24,601288,s,2.63,平仓,-1.1278%"
1,2010-12-24,"2010-12-24,600011,s,5.85,平仓,-7.4367%"
0,2010-12-24,"2010-12-24,000656,b,9.5,建仓"
1,2010-12-28,"2010-12-28,601318,s,55.11,平仓,-6.9245%"
1,2010-12-28,"2010-12-28,601628,s,21.6,平仓,-5.6356%"
1,2010-12-28,"2010-12-28,600999,s,19.24,平仓,-8.7719%"
1,2010-12-28,"2010-12-28,600028,s,8.02,平仓,-2.0757%"
