x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
H000001,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
成交量择时,9.34,-19.38,-17.78,67.91,10.88,10,7,13.41,0.73,896,0.86,7.89,36.60,0.70,40.69
牛熊增强,9.52,-19.88,-14.69,64.09,10.53,6,3,11.58,0.84,894,0.74,6.63,39.01,0.82,61.22
RSRS牛熊增强,17.65,-15.82,-11.51,110.91,21.68,10,4,13.34,1.29,499,0.85,11.26,74.98,1.32,59.77
H000300,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
成交量择时,7.40,-23.48,-19.49,58.22,9.38,10,8,13.38,0.60,558,0.86,8.42,27.84,0.55,36.97
牛熊增强,12.18,-27.83,-20.93,80.13,12.93,8,3,12.27,1.00,914,0.79,9.18,37.33,0.99,60.59
RSRS牛熊增强,14.66,-24.10,-15.06,100.67,17.73,10,4,13.32,1.09,471,0.85,9.50,69.83,1.10,56.90
H000905,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
成交量择时,9.67,-33.24,-32.42,74.65,10.10,7,9,15.83,0.66,1150,1.01,7.45,31.24,0.61,40.00
牛熊增强,10.91,-29.02,-28.18,56.14,11.40,7,3,13.04,0.86,906,0.83,12.63,24.37,0.84,62.06
RSRS牛熊增强,14.54,-30.19,-30.19,83.58,13.78,8,3,13.83,1.05,890,0.89,10.33,30.05,1.05,59.46
H399006,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
成交量择时,13.32,-33.17,-22.24,83.84,15.81,6,9,19.54,0.74,915,1.25,5.06,50.97,0.68,40.07
牛熊增强,13.56,-30.82,-22.19,85.43,17.63,6,5,17.08,0.83,912,1.09,6.43,54.24,0.79,55.30
RSRS牛熊增强,20.66,-26.72,-18.89,121.94,22.81,6,6,19.24,1.07,791,1.23,9.69,81.37,1.07,54.37
