x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S52P2:dongfang-v1,25.78,-9.08,10.35,62.62,26.83,14,14,6.89,3.37,82,0.44,24.82,40.92,3.74,58.32
S52P2:dongfang-v2,33.24,-12.31,8.78,91.81,36.56,21,10,7.27,3.99,130,0.47,29.48,60.99,4.57,62.40
S52P2:equal,17.65,-7.63,-0.20,38.35,19.13,16,9,6.09,2.70,104,0.39,18.92,29.28,2.90,56.18
S52P2:guojun,26.60,-9.54,11.42,66.37,27.86,12,14,7.16,3.33,78,0.46,25.39,42.80,3.71,58.17
S52P2:icir,24.84,-8.50,7.23,65.07,26.43,13,14,6.70,3.35,93,0.43,24.23,42.39,3.70,58.22
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
策略曲线,16.72,-67.11,-53.64,238.24,19.38,14,10,34.26,0.62,529,2.19,11.25,70.34,0.49,56.07
000906,5.92,-71.76,-69.85,160.42,6.64,11,10,27.37,0.35,1847,1.75,3.71,45.12,0.22,53.34
000905,7.89,-72.42,-65.56,197.63,9.58,17,10,30.82,0.40,1679,1.97,3.59,52.00,0.26,55.55
对冲000906,11.13,-59.77,-37.94,88.36,14.84,15,13,16.19,0.73,224,1.04,15.22,45.74,0.69,55.70
对冲000905,8.82,-39.10,-26.00,65.72,11.32,16,10,10.37,0.87,240,0.66,10.64,34.71,0.85,52.97
