date,signal_I1,KWN_1M_I1,NTN_1M_I1,signal_I2,NTN_1M_I2,NTN_2M_I2,signal_I3,NTN_1M_I3,NTN_3M_I3,signal_I4,NTN_1M_I4,NTN_6M_I4,signal_I5,NTN_1M_I5,NTN_12M_I5,signal_I6,NTN_6M_I6,NTN_12M_I6
2007-08-17,-1,0,-32.705,-1,0,-32.704,-1,0,-32.56,-1,0,-32.385,-1,0,-32.07,-1,0,-32.07
2007-08-20,-1,29.4076764123072,-32.72,-1,0.345791356494382,-32.645,-1,0.345208770352332,-32.59,-1,0.343143237666886,-32.395,-1,0.339806607944241,-32.08,-1,0.33315945323413,-32.08
2007-08-21,-1,32.582750082489,-32.895,-1,1.02812579911832,-32.64,-1,1.02784747074239,-32.654,-1,1.02157904940368,-32.453,-1,1.01338535561181,-32.22,-1,0.98818223823076,-32.22
2007-08-22,-1,32.8298198226532,-32.87,-1,2.00647789191525,-32.755,-1,2.00497390645472,-32.715,-1,1.99211420541371,-32.495,-1,1.97384105008939,-32.16,-1,1.9306374920645,-32.16
2007-08-23,0,-0,0,-1,3.23687610850094,-32.77,-1,3.23303246820824,-32.71,-1,3.21288803617474,-32.515,-1,3.18154720986835,-32.17,-1,3.11719806389898,-32.17
2007-08-24,0,-0,0,-1,4.67225045250773,-32.803,-1,4.66553744249463,-32.74,-1,4.63544990585434,-32.515,-1,4.5903377346886,-32.2,-1,4.49597649944154,-32.2
2007-08-27,0,-0,0,-1,6.24435850442741,-32.795,-1,6.23550525730999,-32.75,-1,6.19675870766316,-32.565,-1,6.13348304155091,-32.195,-1,6.02473354531619,-32.195
2007-08-28,0,-0,0,-1,7.91309605751933,-32.83,-1,7.90040754798613,-32.76,-1,7.85122569404928,-32.555,-1,7.76995489010182,-32.205,-1,7.63261075356698,-32.205
2007-08-29,-1,32.9096697557756,-32.92,-1,9.61817384331537,-32.83,-1,9.6036166468549,-32.79,-1,9.54377205014998,-32.585,-1,9.44205817902997,-32.205,-1,9.29380705966646,-32.205
2007-08-30,0,-0,0,-1,11.3413209837017,-32.835,-1,11.325975026378,-32.81,-1,11.256315065154,-32.618,-1,11.1355856708616,-32.26,-1,10.9661603795273,-32.26
2007-08-31,0,-0,0,-1,12.9895280704269,-32.815,-1,12.9703518905903,-32.75,-1,12.8910775429199,-32.555,-1,12.7488659551937,-32.155,-1,12.5656832695274,-32.155
2007-09-03,0,-0,0,-1,14.6146590990821,-32.85,-1,14.5913328947297,-32.78,-1,14.5009583803342,-32.565,-1,14.3413329745009,-32.21,-1,14.14211489543,-32.21
2007-09-04,0,-0,0,-1,16.1577329892572,-32.85,-1,16.1290227118997,-32.763,-1,16.0293713296111,-32.563,-1,15.8540579350048,-32.218,-1,15.6433905348965,-32.218
2007-09-05,0,-0,0,-1,17.6259369949828,-32.845,-1,17.5992711731987,-32.84,-1,17.4899167357696,-32.63,-1,17.2980951921161,-32.267,-1,17.1018504682357,-32.267
2007-09-06,0,-0,0,NaN,NaN,NaN,-1,18.9488852372363,-32.79,-1,18.8310326871544,-32.585,-1,18.625607211436,-32.24,-1,18.4100940904666,-32.24
2007-09-07,0,-0,0,NaN,NaN,NaN,-1,20.2608772658652,-32.83,-1,20.1347903677846,-32.625,-1,19.9170535136392,-32.29,-1,19.6769662355598,-32.29
2007-09-10,0,-0,0,NaN,NaN,NaN,-1,21.4076585904181,-32.865,-1,21.2742056820285,-32.658,-1,21.0446256106429,-32.31,-1,20.8495559722456,-32.31
2007-09-11,0,-0,0,NaN,NaN,NaN,-1,22.4814211042807,-32.87,-1,22.3412658342697,-32.665,-1,22.1018131177776,-32.33,-1,21.9165065682212,-32.33
2007-09-12,-1,33.0108078337085,-33.025,NaN,NaN,NaN,-1,23.4729004060335,-32.89,-1,23.3256197483824,-32.675,-1,23.075162355794,-32.32,-1,22.8961254013101,-32.32
2007-09-13,-1,33.005926705307,-33.02,NaN,NaN,NaN,-1,24.3655929295848,-32.865,-1,24.217129293943,-32.705,-1,23.9557769021153,-32.34,-1,23.8075761123501,-32.34
2007-09-14,0,-0,0,NaN,NaN,NaN,-1,25.1819944172154,-32.87,-1,25.0290647479329,-32.675,-1,24.7596843178475,-32.33,-1,24.5969464199623,-32.33
2007-09-17,0,-0,0,NaN,NaN,NaN,-1,25.9449007518521,-32.9,-1,25.7878032164012,-32.705,-1,25.5119035750882,-32.37,-1,25.3604530115409,-32.37
2007-09-18,0,-0,0,NaN,NaN,NaN,-1,26.6092632352724,-32.91,-1,26.4475858991426,-32.705,-1,26.1651043898232,-32.36,-1,26.0322563444744,-32.36
2007-09-19,0,-0,0,NaN,NaN,NaN,-1,27.2245874388894,-32.9,-1,27.0601377749957,-32.71,-1,26.7715402162474,-32.365,-1,26.6457213599098,-32.365
2007-09-20,-1,32.9949475409992,-33.01,NaN,NaN,NaN,-1,27.7535008861425,-32.85,-1,27.5871692481604,-32.665,-1,27.2971911290029,-32.36,-1,27.1628492857996,-32.36
2007-09-21,1,-32.8232708679071,32.805,NaN,NaN,NaN,-1,28.0698598654761,-32.65,-1,27.9021823718794,-32.46,-1,27.610462685308,-32.135,-1,27.482932913491,-32.135
2007-09-24,0,-0,0,NaN,NaN,NaN,-1,28.5075274767523,-32.64,-1,28.337233363767,-32.445,-1,28.0423463892282,-32.12,-1,27.914486470085,-32.12
2007-09-25,0,-0,0,NaN,NaN,NaN,-1,28.9361746913147,-32.645,-1,28.7642968445787,-32.46,-1,28.4667017901102,-32.14,-1,28.330977069761,-32.14
2007-09-26,0,-0,0,NaN,NaN,NaN,-1,29.2889817084131,-32.655,-1,29.1153958732734,-32.465,-1,28.8152316929861,-32.14,-1,28.7003992867205,-32.14
2007-09-27,1,-32.6252674259767,32.61,NaN,NaN,NaN,-1,29.4168258883959,-32.43,-1,29.2441458361692,-32.255,-1,28.9419321011025,-31.915,-1,28.8374159345035,-31.915
2007-09-28,0,-0,0,NaN,NaN,NaN,-1,29.5151319979366,-32.215,-1,29.340830916075,-32.015,-1,29.0391366803828,-31.7,-1,28.911329166796,-31.7
2007-10-01,0,-0,0,NaN,NaN,NaN,-1,29.7066850652548,-32.19,-1,29.5279127251548,-31.965,-1,29.2227327793725,-31.62,-1,29.1241107579678,-31.62
2007-10-02,0,-0,0,NaN,NaN,NaN,-1,30.0878353260198,-32.3,-1,29.9047728346347,-32.085,-1,29.592465125817,-31.72,-1,29.4682981009127,-31.72
2007-10-03,0,-0,0,NaN,NaN,NaN,-1,30.3246589580762,-32.34,-1,30.1369289769467,-32.11,-1,29.8198024317178,-31.75,-1,29.7049841884389,-31.75
2007-10-04,0,-0,0,NaN,NaN,NaN,-1,30.5419992547308,-32.37,-1,30.3544217711139,-32.185,-1,30.0290387380508,-31.785,-1,29.9653382395124,-31.785
2007-10-05,0,-0,0,NaN,NaN,NaN,-1,30.5945804105622,-32.21,-1,30.4074364870553,-32.02,-1,30.076478992618,-31.625,-1,29.9821749441491,-31.625
2007-10-08,0,-0,0,NaN,NaN,NaN,-1,30.7818062780095,-32.29,-1,30.590851293037,-32.065,-1,30.2529508388691,-31.665,-1,30.1788652100077,-31.665
2007-10-09,0,-0,0,NaN,NaN,NaN,-1,31.0080623559137,-32.34,-1,30.8118620880219,-32.1,-1,30.4675761760986,-31.705,-1,30.3526033406842,-31.705
2007-10-10,1,-32.5090452129803,32.495,NaN,NaN,NaN,-1,31.0973962037593,-32.308,-1,30.900087961597,-32.098,-1,30.5517645998059,-31.708,-1,30.478481862547,-31.708
2007-10-11,0,-0,0,NaN,NaN,NaN,-1,31.1618809758666,-32.28,-1,30.9651163727629,-32.085,-1,30.6094259530667,-31.655,-1,30.5776615343254,-31.655
2007-10-12,0,-0,0,NaN,NaN,NaN,-1,31.3540330900704,-32.36,-1,31.1550133014345,-32.145,-1,30.7941383442853,-31.745,-1,30.7391838888863,-31.745
2007-10-15,0,-0,0,NaN,NaN,NaN,-1,31.4785839088383,-32.39,-1,31.2778536854063,-32.175,-1,30.913862734201,-31.785,-1,30.8633889541708,-31.785
2007-10-16,-1,32.6199347263264,-32.63,NaN,NaN,NaN,-1,31.6340661485912,-32.47,-1,31.4325459843639,-32.265,-1,31.0633655250831,-31.855,-1,31.0348323349823,-31.855
2007-10-17,0,-0,0,NaN,NaN,NaN,-1,31.6360391690413,-32.4,-1,31.4336661542147,-32.185,-1,31.0613478425205,-31.775,-1,31.0340357326765,-31.775
2007-10-18,0,-0,0,NaN,NaN,NaN,-1,31.6265858710337,-32.29,-1,31.4244247565405,-32.085,-1,31.0524137597604,-31.707,-1,31.0087382259119,-31.707
2007-10-19,0,-0,0,NaN,NaN,NaN,-1,31.7196111986421,-32.34,-1,31.5160485063474,-32.125,-1,31.1400582910657,-31.715,-1,31.1088961989195,-31.715
2007-10-22,0,-0,0,NaN,NaN,NaN,-1,31.7512028623233,-32.3,-1,31.547660166599,-32.095,-1,31.1686541537457,-31.685,-1,31.1352343550746,-31.685
2007-10-23,0,-0,0,NaN,NaN,NaN,-1,31.8238812578328,-32.3,-1,31.6200736663153,-32.095,-1,31.2378164151174,-31.685,-1,31.1853008998265,-31.685
2007-10-24,0,-0,0,NaN,NaN,NaN,-1,31.8300135220061,-32.28,-1,31.6282812709735,-32.095,-1,31.2428106144805,-31.675,-1,31.2295891395716,-31.675
2007-10-25,0,-0,0,NaN,NaN,NaN,-1,31.7803479318941,-32.17,-1,31.5788226833224,-31.965,-1,31.1948822603515,-31.585,-1,31.1463174332107,-31.585
2007-10-26,-1,32.2853301838892,-32.305,NaN,NaN,NaN,-1,31.752609464248,-32.12,-1,31.5511325785687,-31.915,-1,31.1644413592353,-31.495,-1,31.1326638905645,-31.495
2007-10-29,0,-0,0,NaN,NaN,NaN,-1,31.7887094227241,-32.11,-1,31.5868821356813,-31.905,-1,31.1969518780916,-31.485,-1,31.1546119219458,-31.485
2007-10-30,-1,32.3178807464018,-32.33,NaN,NaN,NaN,-1,31.8376047854342,-32.14,-1,31.6363443689613,-31.945,-1,31.2433194238163,-31.525,-1,31.222522100052,-31.525
2007-10-31,-1,32.3118355640712,-32.331,NaN,NaN,NaN,-1,31.8561716495701,-32.05,-1,31.654561620441,-31.845,-1,31.2618548138979,-31.455,-1,31.1533751654399,-31.455
2007-11-01,1,-32.2942181176701,32.263,NaN,NaN,NaN,-1,31.8220856224398,-32.16,-1,31.6224810895124,-31.975,-1,31.2279205735447,-31.555,-1,31.3040204116075,-31.555
2007-11-02,0,-0,0,NaN,NaN,NaN,-1,31.8749689536822,-32.15,-1,31.6747096262176,-31.945,-1,31.279360606654,-31.545,-1,31.2976848867672,-31.545
2007-11-05,0,-0,0,NaN,NaN,NaN,-1,31.883575802009,-32.04,-1,31.6829039359694,-31.835,-1,31.2862283692625,-31.425,-1,31.2094463775933,-31.425
2007-11-06,-1,32.267789134423,-32.279,NaN,NaN,NaN,-1,31.8885186864236,-32.02,-1,31.6865120391614,-31.805,-1,31.2896176306153,-31.405,-1,31.1985830159276,-31.405
2007-11-07,0,-0,0,NaN,NaN,NaN,-1,31.8519685189046,-32.03,-1,31.6413032403505,-31.735,-1,31.2543871585392,-31.435,-1,31.1560060539026,-31.435
2007-11-08,0,-0,0,NaN,NaN,NaN,-1,31.831797118452,-31.96,-1,31.6228445159,-31.765,-1,31.2331104168515,-31.345,-1,31.1977643831763,-31.345
2007-11-09,0,-0,0,NaN,NaN,NaN,-1,31.7440813754553,-31.87,-1,31.5341892599375,-31.645,-1,31.1453567348877,-31.253,-1,31.0934165209452,-31.253
2007-11-12,1,-32.1867362154754,32.17,NaN,NaN,NaN,-1,31.8242723699681,-31.92,-1,31.6134697400434,-31.705,-1,31.2227860604127,-31.305,-1,31.1639961016673,-31.305
2007-11-13,0,-0,0,NaN,NaN,NaN,0,-0,0,0,-0,0,1,-31.2393325905086,31.233,-1,31.1409823264653,-31.233
2007-11-14,1,-32.130454995251,32.118,NaN,NaN,NaN,-1,31.784994335118,-31.925,-1,31.571282772716,-31.675,-1,31.1758952855392,-31.275,-1,31.1508332713266,-31.275
