date,signal_I1,NTN1M_I1,CNH1M_I1,signal_I2,CNH1M_I2,CNH2M_I2,signal_I3,CNH1M_I3,CNH3M_I3,signal_I4,CNH1M_I4,CNH6M_I4,signal_I5,CNH1M_I5,CNH12M_I5,signal_I6,CNH6M_I6,CNH12M_I6,signal_I7,NTN1M_I7,IRN1M_I7,signal_I8,IRN1M_I8,IRN2M_I8,signal_I9,IRN1M_I9,IRN3M_I9,signal_I10,IRN1M_I10,IRN6M_I10,signal_I11,IRN1M_I11,IRN12M_I11,signal_I12,IRN6M_I12,IRN12M_I12
2007-08-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,0,-41.6,-1,0,-41.75,-1,0,-41.91,-1,0,-41.97,-1,0,-42.29,-1,0,-42.29
2007-08-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,38.048627048707,-41.6,-1,39.3910577819224,-41.69,-1,39.5422347846834,-41.85,-1,39.8256916648604,-42.15,-1,40.0902514196922,-42.43,-1,40.1476509908946,-42.43
2007-08-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,40.8045938664872,-41.08,-1,41.1399592876909,-41.29,-1,41.138436173322,-41.28,-1,41.3615007337808,-41.5,-1,41.6403486615218,-41.78,-1,41.6397719642324,-41.78
2007-08-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,41.1430767145724,-41.21,0,-0,0,-1,41.4459091709127,-41.48,0,-0,0,-1,41.9458183813931,-41.98,-1,41.9458905765842,-41.98
2007-08-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-08-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-0,0,0,-0,0,0,-0,0,-1,41.5159504312627,-41.55,-1,41.9255196546765,-41.96,0,-0,0
2007-08-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,41.3583402450947,-41.42,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-08-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-0,0,1,-41.3644843086568,41.38,0,-0,0,1,-41.6204917760669,41.63,1,-41.9684958028818,41.98,0,-0,0
2007-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-41.306585471649,41.33,-1,41.3968927442716,-41.43,0,-0,0,-1,41.694375626087,-41.73,-1,42.0440180852461,-42.08,0,-0,0
2007-08-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-41.1213775564504,41.15,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-41.0231317994191,41.05,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-40.8997350685399,40.92,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-40.6500232586345,40.67,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-40.5224215906256,40.55,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-40.099354248127,40.1,-1,40.3421035529988,-40.38,-1,40.4639772183009,-40.5,0,-0,0,0,-0,0,0,-0,0
2007-09-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-39.7595640334166,39.77,1,-39.8551211164332,39.87,1,-39.946818854897,39.96,0,-0,0,0,-0,0,0,-0,0
2007-09-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,39.7525657642226,-39.81,0,-0,0,0,-0,0,1,-40.0446849216144,40.06,1,-40.3944910403522,40.41,0,-0,0
2007-09-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
2007-09-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,39.7278856162864,-39.79,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0
