date,signal_I1,KWN1M_I1,NTN1M_I1,signal_I2,NTN1M_I2,NTN2M_I2,signal_I3,NTN1M_I3,NTN3M_I3,signal_I4,NTN1M_I4,NTN6M_I4,signal_I5,NTN1M_I5,NTN12M_I5,signal_I6,NTN6M_I6,NTN12M_I6
2007-08-20,-1,0,-32.72,-1,0,-32.645,-1,0,-32.59,-1,0,-32.395,-1,0,-32.08,-1,0,-32.08
2007-08-21,-1,29.5855150773581,-32.895,-1,0.349406890324917,-32.64,-1,0.349556758476405,-32.654,-1,0.347405080015764,-32.453,-1,0.344910845780295,-32.22,-1,0.335800148306536,-32.22
2007-08-22,-1,32.5522635164757,-32.87,-1,1.03096464027716,-32.755,-1,1.03026962737451,-32.715,-1,1.02353599015228,-32.495,-1,1.01404762775179,-32.16,-1,0.991023671228948,-32.16
2007-08-23,-1,32.8378385859038,-32.87,-1,2.01043462106822,-32.77,-1,2.0079094148503,-32.71,-1,1.99536587546218,-32.515,-1,1.97552354827111,-32.17,-1,1.93412742594256,-32.17
2007-08-24,-1,32.8941448933306,-32.905,-1,3.24655522921276,-32.803,-1,3.24160375645111,-32.74,-1,3.22053278403433,-32.515,-1,3.1888412388835,-32.2,-1,3.12051557399224,-32.2
2007-08-27,0,-0,0,-1,4.67680726104633,-32.795,-1,4.6699173985026,-32.75,-1,4.64091224516064,-32.565,-1,4.59284430482502,-32.195,-1,4.50744965979357,-32.195
2007-08-28,0,-0,0,-1,6.25571033591389,-32.83,-1,6.24528297188172,-32.76,-1,6.2064076979401,-32.555,-1,6.14140772595831,-32.205,-1,6.02717687411904,-32.205
2007-08-29,-1,32.9096678882442,-32.92,-1,7.92003178104792,-32.83,-1,7.90775251252488,-32.79,-1,7.85847299812094,-32.585,-1,7.77374435692907,-32.205,-1,7.64449352447802,-32.205
2007-08-30,0,-0,0,-1,9.640888478856,-32.835,-1,9.62771947166708,-32.81,-1,9.5685770839507,-32.618,-1,9.46497670195464,-32.26,-1,9.31211884973561,-32.26
2007-08-31,0,-0,0,-1,11.3249709072157,-32.815,-1,11.308020576166,-32.75,-1,11.2390099004605,-32.555,-1,11.1138353403147,-32.155,-1,10.9437999767846,-32.155
2007-09-03,0,-0,0,-1,13.0065406885665,-32.85,-1,12.9854529240344,-32.78,-1,12.9050422317519,-32.565,-1,12.7619106634957,-32.21,-1,12.5728794327802,-32.21
2007-09-04,0,-0,0,-1,14.6247388902725,-32.85,-1,14.5982793751782,-32.763,-1,14.5081160916056,-32.563,-1,14.3485209173454,-32.218,-1,14.1449193410137,-32.218
2007-09-05,0,-0,0,-1,16.178898780189,-32.845,-1,16.154234295942,-32.84,-1,16.0538540143108,-32.63,-1,15.8769117023837,-32.267,-1,15.6831925317697,-32.267
2007-09-06,0,-0,0,NaN,NaN,NaN,-1,17.5980559562466,-32.79,-1,17.4885952743873,-32.585,-1,17.2970721093593,-32.24,-1,17.0827313363465,-32.24
2007-09-07,0,-0,0,NaN,NaN,NaN,-1,19.0037388846378,-32.83,-1,18.8854634207236,-32.625,-1,18.680641132461,-32.29,-1,18.4406344382655,-32.29
2007-09-10,0,-0,0,NaN,NaN,NaN,-1,20.2482036988368,-32.865,-1,20.121959019968,-32.658,-1,19.9042911493609,-32.31,-1,19.7050054622454,-32.31
2007-09-11,0,-0,0,NaN,NaN,NaN,-1,21.415828143065,-32.87,-1,21.2822979129741,-32.665,-1,21.0537783220288,-32.33,-1,20.8627037224513,-32.33
2007-09-12,-1,33.0108079146003,-33.025,NaN,NaN,NaN,-1,22.4969728224864,-32.89,-1,22.3557696549073,-32.675,-1,22.1153339703156,-32.32,-1,21.929533581769,-32.32
2007-09-13,-1,33.0059267868394,-33.02,NaN,NaN,NaN,-1,23.4748995064257,-32.865,-1,23.3319459030631,-32.705,-1,23.0797544505824,-32.34,-1,22.9233204250043,-32.34
2007-09-14,0,-0,0,NaN,NaN,NaN,-1,24.3709730205539,-32.87,-1,24.2230565388404,-32.675,-1,23.9620150987146,-32.33,-1,23.7913763278314,-32.33
2007-09-17,0,-0,0,NaN,NaN,NaN,-1,25.2074500011055,-32.9,-1,25.0549078755214,-32.705,-1,24.7865834055751,-32.37,-1,24.6268439925885,-32.37
