date,signal_I1,HSI_I1,HSCEI_I1,signal_I2,NKY_I2,TPX_I2,signal_I3,TAMSCI_I3,TWSE_I3
2005-01-04,1,-0,4697.75,-1,0,-1153.38,-1,0,-6060.46
2005-01-05,1,-4564.97756643094,4564.98,-1,1062.16517179129,-1143.36,-1,5987.31464052057,-5988.37
2005-01-06,0,-0,0,-1,1142.64013038662,-1147.97,-1,5982.02328983311,-5982.12
2005-01-07,0,-0,0,-1,1145.16064090844,-1145.76,0,-0,0
2005-01-10,1,-4547.9299486179,4547.93,-1,1145.7200484397,-1145.76,1,-5942.75567666441,5942.85
2005-01-11,0,-0,0,-1,1157.24218595024,-1157.3,-1,5975.56355386198,-5975.66
2005-01-12,0,-0,0,1,-1147.93440090734,1147.89,-1,5878.98343275173,-5879.08
2005-01-13,0,-0,0,-1,1139.92904180246,-1140.04,-1,5853.84166572747,-5853.94
2005-01-14,0,-0,0,1,-1145.84202914924,1145.69,-1,5889.42306838782,-5889.52
2005-01-17,0,-0,0,1,-1150.32784180807,1150.3,1,-5945.1776316755,5945.27
2005-01-18,0,-0,0,-1,1145.12482669614,-1145.21,-1,5933.47303472719,-5933.57
2005-01-19,0,-0,0,-1,1144.2349540809,-1144.3,-1,5895.25312095968,-5895.35
2005-01-20,0,-0,0,-1,1133.2859416584,-1133.37,0,-0,0
2005-01-21,0,-0,0,-1,1131.93581238403,-1132.18,1,-5848.81444738084,5848.91
2005-01-24,0,-0,0,-1,1139.03730586637,-1139.18,-1,5771.38250752378,-5771.48
2005-01-25,0,-0,0,-1,1138.01210818252,-1138.03,1,-5782.65440056116,5782.75
2005-01-26,1,-4679.51994880398,4679.52,1,-1145.10349944013,1144.89,1,-5835.27630369996,5835.37
2005-01-27,0,-0,0,-1,1141.91392077943,-1141.94,1,-5842.66585879993,5842.76
2005-01-28,0,-0,0,-1,1140.64076270707,-1140.7,-1,5879.8315444872,-5879.93
2005-01-31,0,-0,0,1,-1146.22399483643,1146.14,1,-5994.13701258797,5994.23
2005-02-01,0,-0,0,-1,1146.45057047844,-1146.49,1,-5981.4461690834,5981.54
2005-02-02,1,-4717.66994774566,4717.67,-1,1151.75396011557,-1151.97,1,-6018.59804463844,6018.69
2005-02-03,0,-0,0,1,-1149.54003772958,1149.51,0,-0,0
2005-02-04,0,-0,0,1,-1145.58469039562,1145.51,0,-0,0
2005-02-07,0,-0,0,1,-1154.76437627389,1154.42,0,-0,0
2005-02-08,0,-0,0,-1,1155.31411273261,-1155.42,0,-0,0
2005-02-09,0,-0,0,-1,1155.65403489935,-1155.8,0,-0,0
2005-02-10,0,-0,0,1,-1160.89830023641,1160.7,0,-0,0
2005-02-11,0,-0,0,1,-1160.7129669117,1160.7,0,-0,0
2005-02-14,0,-0,0,0,-0,0,1,-6112.30734978367,6112.4
2005-02-15,0,-0,0,1,-1168.30970944367,1168.19,1,-6122.29599344537,6122.39
2005-02-16,0,-0,0,-1,1164.8668594493,-1164.94,-1,6143.39025462594,-6143.49
2005-02-17,0,-0,0,1,-1161.99730915222,1161.93,-1,6072.06121891281,-6072.16
2005-02-18,0,-0,0,1,-1166.77536770818,1166.57,-1,6115.33307808195,-6115.43
2005-02-21,0,-0,0,-1,1166.68355761253,-1166.74,-1,6142.68229205455,-6142.78
2005-02-22,0,-0,0,-1,1162.41555403599,-1162.49,0,-0,0
2005-02-23,0,-0,0,-1,1152.92954340995,-1152.95,-1,6121.42150493262,-6121.52
2005-02-24,0,-0,0,-1,1157.44117053003,-1157.54,-1,6128.24232112983,-6128.34
2005-02-25,1,-5024.91994585694,5024.92,1,-1167.51452493504,1167.33,1,-6207.73576160197,6207.83
2005-02-28,1,-5152.37991710983,5152.38,-1,1177.30521014814,-1177.41,0,-0,0
2005-03-01,0,-0,0,1,-1179.98906674968,1179.9,-1,6259.59177039694,-6259.69
2005-03-02,-1,4984.90001379671,-4984.9,-1,1185.5591921404,-1185.71,-1,6225.15263152726,-6225.25
2005-03-03,0,-0,0,1,-1189.54057411429,1189.52,-1,6202.27986368088,-6202.38
2005-03-04,0,-0,0,-1,1192.0535614326,-1192.11,-1,6193.52114607294,-6193.62
2005-03-07,0,-0,0,-1,1199.67384256778,-1199.83,-1,6220.4221998153,-6220.52
2005-03-08,1,-5082.46994948169,5082.47,1,-1195.4158807488,1195.39,1,-6173.24399543607,6173.34
2005-03-09,0,-0,0,1,-1200.80263602336,1200.63,-1,6213.18040086093,-6213.28
2005-03-10,0,-0,0,-1,1195.12746384642,-1195.43,-1,6192.43069185869,-6192.53
2005-03-11,-1,5004.24000841228,-5004.24,1,-1200.0660858137,1200,1,-6204.13356759366,6204.23
2005-03-14,0,-0,0,-1,1195.27494931307,-1195.45,-1,6155.41017023316,-6155.51
2005-03-15,-1,4920.24999915448,-4920.25,-1,1192.77067850507,-1192.8,1,-6063.38359068423,6063.48
2005-03-16,0,-0,0,-1,1198.2360700154,-1198.25,1,-6072.26386497697,6072.36
2005-03-17,0,-0,0,-1,1192.03286608541,-1192.28,-1,6032.36965157431,-6032.47
2005-03-18,0,-0,0,-1,1203.21842385285,-1203.26,-1,6043.84856218495,-6043.95
2005-03-21,0,-0,0,0,-0,0,0,-0,0
