date,signal_I1,I50_I1,I300_I1,signal_I2,I300_I2,I500_I2,signal_I3,I50_I3,I500_I3
2004-01-02,1,-0,1204.61,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-05,1,-1240.35867381165,1240.47,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-06,-1,1251.13947325741,-1251.14,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-07,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-08,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-09,1,-1266.40835105267,1266.41,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-12,-1,1294.67992375905,-1294.68,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-13,1,-1293.17763524945,1293.18,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-14,1,-1277.95790931281,1277.96,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-15,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-16,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-29,1,-1311.94824892341,1311.95,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-30,1,-1281.32809278159,1281.33,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-02,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-03,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-04,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-05,1,-1353.84841853593,1353.85,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-06,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-09,1,-1368.83834625436,1368.84,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-10,1,-1363.05799616725,1363.06,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-11,1,-1354.74844065275,1354.75,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-12,1,-1345.65796408181,1345.66,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-13,-1,1342.33934183846,-1342.34,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-16,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-17,1,-1380.36825828954,1380.37,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-18,1,-1391.35851144096,1391.36,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-19,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-20,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-23,1,-1359.23821654964,1359.24,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-24,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-25,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-26,-1,1335.85928230088,-1335.86,NaN,NaN,NaN,NaN,NaN,NaN
2004-02-27,1,-1351.60840562661,1351.61,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-01,1,-1366.90810250541,1366.91,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-02,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-03,1,-1341.2184656949,1341.22,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-04,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-05,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-08,-1,1317.29937791216,-1317.3,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-09,-1,1314.16954501578,-1314.17,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-10,-1,1344.98934298912,-1344.99,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-11,1,-1357.83819979511,1357.84,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-12,-1,1358.50912043789,-1358.51,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-15,-1,1389.67952550058,-1389.68,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-16,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-17,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-18,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-19,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-22,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-23,1,-1389.51827518388,1389.52,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-24,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-25,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-26,1,-1386.47849368364,1386.48,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-29,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-30,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-03-31,1,-1384.94847638448,1384.95,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-01,-1,1396.62933982623,-1396.63,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-02,1,-1405.91848491564,1405.92,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-05,1,-1401.96814362168,1401.97,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-06,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-07,1,-1408.76825877616,1408.77,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-08,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-09,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-12,1,-1364.67837614057,1364.68,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-13,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-14,-1,1332.07991775513,-1332.08,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-15,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-16,-1,1331.07939173154,-1331.08,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-19,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-20,-1,1301.08949786539,-1301.09,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-21,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-22,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-23,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-26,-1,1276.94926381034,-1276.95,NaN,NaN,NaN,NaN,NaN,NaN
