日期,收盘,开盘,高,低,交易量,涨跌幅
2020年9月7日,"2,980.00","2,942.00","2,983.00","2,941.00",0.33K,2.05%
2020年9月4日,"2,920.00","2,938.00","2,984.00","2,908.00",1.70K,-0.82%
2020年9月3日,"2,944.00","3,039.00","3,045.00","2,943.00",2.51K,-2.81%
2020年9月2日,"3,029.00","2,962.00","3,030.00","2,962.00",0.97K,2.75%
2020年9月1日,"2,948.00","2,957.00","2,978.00","2,925.00",0.40K,0.10%
2020年8月31日,"2,945.00","2,993.00","2,999.00","2,942.00",0.58K,-1.24%
2020年8月28日,"2,982.00","2,973.00","2,991.00","2,969.00",0.63K,-0.33%
2020年8月27日,"2,992.00","3,018.00","3,021.00","2,986.00",0.61K,-0.86%
2020年8月26日,"3,018.00","2,997.00","3,019.00","2,984.00",0.58K,0.63%
2020年8月25日,"2,999.00","3,019.00","3,034.00","2,992.00",0.26K,-0.46%
2020年8月24日,"3,013.00","2,988.00","3,017.00","2,988.00",0.52K,2.03%
2020年8月21日,"2,953.00","2,974.00","2,985.00","2,935.00",0.33K,-0.91%
2020年8月20日,"2,980.00","2,965.00","2,982.00","2,960.00",0.35K,-0.27%
2020年8月19日,"2,988.00","2,966.00","2,999.00","2,958.00",0.41K,0.88%
2020年8月18日,"2,962.00","2,972.00","3,000.00","2,961.00",0.29K,-0.77%
2020年8月17日,"2,985.00","2,969.00","2,990.00","2,965.00",0.68K,0.61%
2020年8月14日,"2,967.00","2,993.00","2,996.00","2,955.00",0.72K,-1.56%
2020年8月13日,"3,014.00","3,024.00","3,028.00","3,009.00",0.32K,-0.72%
2020年8月12日,"3,036.00","2,991.00","3,042.00","2,991.00",0.31K,2.22%
2020年8月11日,"2,970.00","2,980.00","3,015.00","2,969.00",0.54K,0.34%
2020年8月10日,"2,960.00","2,944.00","2,960.00","2,932.00",0.31K,0.82%
2020年8月7日,"2,936.00","2,935.00","2,952.00","2,920.00",1.40K,-0.17%
2020年8月6日,"2,941.00","2,954.00","2,967.00","2,925.00",1.15K,-0.24%
2020年8月5日,"2,948.00","2,976.00","2,987.00","2,948.00",0.43K,-0.41%
2020年8月4日,"2,960.00","2,976.00","2,977.00","2,943.00",0.49K,0.00%
2020年8月3日,"2,960.00","2,912.00","2,971.00","2,896.00",0.49K,2.00%
2020年7月31日,"2,902.00","2,945.00","2,961.00","2,892.00",1.04K,-1.19%
2020年7月30日,"2,937.00","3,002.00","3,002.00","2,918.00",0.86K,-2.65%
2020年7月29日,"3,017.00","3,004.00","3,018.00","2,998.00",1.23K,0.77%
2020年7月28日,"2,994.00","2,997.00","3,011.00","2,984.00",0.38K,-0.27%
2020年7月27日,"3,002.00","2,990.00","3,002.00","2,983.00",0.28K,0.43%
2020年7月24日,"2,989.00","3,013.00","3,019.00","2,989.00",0.73K,-1.22%
2020年7月23日,"3,026.00","3,074.00","3,080.00","3,024.00",0.33K,-1.34%
2020年7月22日,"3,067.00","3,071.00","3,076.00","3,050.00",0.54K,0.03%
2020年7月21日,"3,066.00","3,118.00","3,124.00","3,066.00",2.01K,-0.58%
2020年7月20日,"3,084.00","3,069.00","3,098.00","3,043.00",0.39K,0.06%
2020年7月17日,"3,082.00","3,066.00","3,083.00","3,057.00",0.61K,0.52%
2020年7月16日,"3,066.00","3,059.00","3,073.00","3,042.00",0.61K,-0.10%
2020年7月15日,"3,069.00","3,052.00","3,093.00","3,045.00",0.77K,0.79%
2020年7月14日,"3,045.00","3,014.00","3,045.00","2,992.00",0.75K,1.47%
2020年7月13日,"3,001.00","3,058.00","3,058.00","3,001.00",0.63K,-1.02%
2020年7月10日,"3,032.00","2,983.00","3,032.00","2,983.00",0.33K,0.70%
2020年7月9日,"3,011.00","3,038.00","3,038.00","2,990.00",0.38K,-0.63%
2020年7月8日,"3,030.00","3,002.00","3,040.00","3,000.00",0.26K,-0.13%
2020年7月7日,"3,034.00","3,030.00","3,037.00","3,011.00",0.43K,-0.52%
2020年7月6日,"3,050.00","3,057.00","3,061.00","3,041.00",0.57K,1.16%
2020年7月3日,"3,015.00","3,040.00","3,040.00","2,997.00",0.81K,-0.33%
2020年7月2日,"3,025.00","3,002.00","3,044.00","2,998.00",1.21K,1.71%
2020年7月1日,"2,974.00","2,984.00","2,994.00","2,942.00",1.14K,-0.40%
2020年6月30日,"2,986.00","2,972.00","2,989.00","2,954.00",0.33K,0.10%
2020年6月29日,"2,983.00","2,950.00","2,986.00","2,945.00",0.60K,1.12%
2020年6月26日,"2,950.00","3,006.00","3,017.00","2,946.00",1.22K,-2.06%
2020年6月25日,"3,012.00","2,944.00","3,012.00","2,922.00",0.97K,1.86%
2020年6月24日,"2,957.00","3,014.00","3,029.00","2,940.00",4.46K,-2.05%
2020年6月23日,"3,019.00","3,020.00","3,044.00","3,017.00",0.35K,0.30%
2020年6月22日,"3,010.00","2,995.00","3,036.00","2,992.00",0.87K,0.20%
2020年6月19日,"3,004.00","3,060.00","3,060.00","3,004.00",0.70K,-0.40%
2020年6月18日,"3,016.00","3,034.00","3,048.00","3,004.00",8.43K,-0.56%
2020年6月17日,"3,033.00","3,010.00","3,047.00","3,010.00",6.97K,1.20%
2020年6月16日,"2,997.00","2,989.00","3,029.00","2,966.00",20.39K,1.42%
2020年6月15日,"2,955.00","2,856.00","2,955.00","2,855.00",5.01K,0.58%
2020年6月12日,"2,938.00","2,905.00","2,971.00","2,904.00",2.21K,1.91%
2020年6月11日,"2,883.00","2,979.00","2,992.00","2,882.00",1.19K,-5.48%
2020年6月10日,"3,050.00","3,050.00","3,067.00","3,033.00",3.34K,0.10%
2020年6月9日,"3,047.00","3,084.00","3,085.00","3,040.00",2.84K,-1.74%
2020年6月8日,"3,101.00","3,050.00","3,101.00","3,050.00",1.62K,1.01%
2020年6月5日,"3,070.00","3,036.00","3,087.00","3,023.00",1.74K,2.47%
2020年6月4日,"2,996.00","3,014.00","3,034.00","2,993.00",1.35K,-1.32%
2020年6月3日,"3,036.00","2,992.00","3,038.00","2,977.00",2.34K,2.08%
2020年6月2日,"2,974.00","2,946.00","2,974.00","2,937.00",1.38K,1.02%
2020年6月1日,"2,944.00","2,937.00","2,948.00","2,909.00",0.40K,0.99%
