tradeDate,HKopenPrice,HKclosePrice,USopenPrice,USclosePrice,USDHKD
2020-06-18,452.4,458,59.09,59.21,7.75014
2020-06-19,458,460.4,59.53,58.95,7.7502
2020-06-22,460,474.2,61.46,62.15,7.7502
2020-06-23,480,497.4,64.4,64,7.7498
2020-06-24,502,490.8,63.18,62.97,7.7499
2020-06-26,486.4,485,62.505,62.2,7.75
2020-06-29,481,486,62.56,62.87,7.7506
2020-06-30,488.2,498.6,64.025,64,7.7501
2020-07-02,503,518.5,67.125,66.69,7.7501
2020-07-06,524,520,67.19,67.99,7.75
2020-07-07,519,516,66.645,66.5,7.7499
2020-07-08,515.5,543,69.92,70.89,7.74987
2020-07-09,545,563,72.88,71.28,7.74979
2020-07-10,549,546.5,71.05,70.4,7.7501
2020-07-13,540.5,541,70.31,68.14,7.75051
2020-07-14,529,525,67.6,67.54,7.75066
2020-07-15,538.5,543,70.02,69.81,7.75036
2020-07-16,539,513,66.61,67.08,7.7524
2020-07-17,519,521,67.53,67.56,7.75296
2020-07-20,521,522.5,67.505,69,7.7534
2020-07-21,548.5,564,72.715,71.49,7.7508
2020-07-22,553,539,70.25,69.84,7.751
2020-07-23,546,557,71.225,70.44,7.75144
2020-07-24,542,528,67.88,68.82,7.7518
2020-07-27,530,520,67.69,68.33,7.7516
2020-07-28,535,543.5,69.731,69.12,7.75073
2020-07-29,536.5,541.5,69.95,70.42,7.7502
2020-07-30,547,535,68.9,69.06,7.74983
2020-07-31,540,534,69.12,68.49,7.7499
2020-08-03,536,539,69.51,69.6,7.7501
2020-08-04,546,550,70.36,71.19,7.74983
2020-08-05,557.5,561,72.41,72.45,7.75017
2020-08-06,560.5,555.5,71.6,72.57,7.7499
2020-08-07,559,527.5,67.93,67.22,7.7498
2020-08-10,510,502,64.694,64.89,7.7503
2020-08-11,511,513.5,66.65,65.95,7.7498
2020-08-12,512,520.5,67.985,68,7.7504
2020-08-13,528,510,66.13,65.32,7.75
2020-08-14,502.5,506.5,65.44,64.87,7.7504
2020-08-17,508.5,504.5,65.77,66.09,7.7503
2020-08-18,515,512,66.1,66.07,7.74945
2020-08-19,516,506,65.68,64.9,7.7503
2020-08-20,508,508,64.92,66.26,7.74982
2020-08-21,516.5,518,66.627,69.55,7.7499
2020-08-24,537.5,548,70.96,69.96,7.7499
2020-08-25,548,544.5,70.43,71.17,7.75001
2020-08-26,553.5,551.5,71.49,71.21,7.74984
2020-08-27,554,558,72.41,71.11,7.7502
2020-08-28,554,540.5,70,70.32,7.7501
2020-08-31,554.5,530.5,68.64,68.34,7.7504
2020-09-01,537.5,539,69.73,70.51,7.7498
2020-09-02,555,545,70.68,70.13,7.74983
2020-09-03,546,534,68.37,67.22,7.7502
2020-09-04,517,518,66.9,67.05,7.75014
2020-09-08,517,508.5,64.52,64.74,7.75016
2020-09-09,502,504,65.49,66.33,7.7501
2020-09-10,514,506,65.9,64.98,7.7503
2020-09-11,509,516,66.38,66.19,7.7502
2020-09-14,521.5,529.5,68.15,68.46,7.75024
2020-09-15,535.5,529.5,69.05,68.98,7.7505
2020-09-16,538,534.5,68.91,68.32,7.75002
2020-09-17,535,527,67.7,66.66,7.7499
2020-09-18,520,525,66.81,67.02,7.7501
2020-09-21,522,516.5,65.34,66.57,7.7498
2020-09-22,513,511.5,66.5,66.38,7.75
2020-09-23,512,514,66.52,65.5,7.75
2020-09-24,510,505,65.1,65.62,7.7503
2020-09-28,505,506,65.83,65.64,7.7498
2020-09-29,515,505.5,65.6,65.55,7.7499
2020-09-30,512.5,511.5,66.3,67.65,7.75
2020-10-05,530,525,67.59,68.39,7.74982
2020-10-06,527.5,527.5,68.31,68.81,7.7501
2020-10-07,530,535,69.125,69.32,7.74979
2020-10-08,538,535,68.97,69.56,7.74978
2020-10-09,537.5,539.5,70.05,70.94,7.7504
2020-10-12,545,557,71.73,73.08,7.7504
2020-10-14,568,573.5,73.97,71.95,7.7511
2020-10-16,559,557,72.285,72.72,7.7502
