tradeDate,HKopenPrice,HKclosePrice,USopenPrice,USclosePrice,USDHKD
2020-04-06,82.5,87.15,142.24,144.26,7.75302
2020-04-07,87.95,86.95,145,136.04,7.7532
2020-04-08,84,81.75,138,140.4,7.75191
2020-04-09,82.6,84.5,140.94,150.4,7.7533
2020-04-14,87.05,88.55,150.38,158.35,7.75158
2020-04-15,89.5,92.25,157,156.16,7.7516
2020-04-16,92.25,92.7,157.25,156.88,7.75041
2020-04-17,93.8,94.2,160,157.43,7.7514
2020-04-20,94.2,94.15,157.42,161.03,7.75038
2020-04-21,94.15,94.45,159.51,158.53,7.7499
2020-04-22,94.15,96.2,160.16,160.68,7.7499
2020-04-23,97.15,95.7,161.08,161,7.7506
2020-04-24,95.95,94.7,162.12,160.2,7.7508
2020-04-27,93.5,97,162,165,7.7498
2020-04-28,97,98.05,165,163.12,7.7506
2020-04-29,99.3,96.9,162.3,161.62,7.74981
2020-05-04,89,83.7,140.21,137.5,7.75142
2020-05-05,83.8,84.1,138.27,143.5,7.75467
2020-05-06,84.8,87.3,143.72,144.38,7.7517
2020-05-07,87,85.6,145.45,153.42,7.75059
2020-05-08,88.5,91.5,155.99,156.81,7.75052
2020-05-11,92.5,93,156.8,163.26,7.75074
2020-05-12,95,96.6,160.62,158.38,7.75052
2020-05-13,94.2,94.7,159.46,160.27,7.75046
2020-05-14,94.7,96,160.14,163.24,7.75016
2020-05-15,96,97.4,160.01,166.26,7.75151
2020-05-18,97.5,99.8,168,166.25,7.7514
2020-05-19,100,98.6,166.44,168.82,7.7507
2020-05-20,98.9,100.4,170.78,165.8,7.7502
2020-05-21,100.4,97,159.74,164.6,7.7502
2020-05-22,96.4,95.4,162.4,159.12,7.753
2020-05-26,95.95,97.8,161,163.9,7.75232
2020-05-27,98.45,96.9,163.02,160.915,7.752
2020-05-28,97.05,94.9,162,162.36,7.75337
2020-05-29,96.4,97,162.7,165.54,7.7528
2020-06-01,99.8,100,164.62,168.04,7.75249
2020-06-02,100,101,168,168.33,7.75081
2020-06-03,102,101.5,169.04,169.04,7.7501
2020-06-04,101.5,99.7,167.83,171.51,7.75018
2020-06-05,102.5,104.3,174,172.03,7.74985
2020-06-08,104.3,101.9,170.84,172.88,7.7498
2020-06-09,104.5,103.5,172.66,172.63,7.75005
2020-06-10,104,104,173,171.87,7.7499
2020-06-11,103.7,101.1,167.02,163.22,7.75
2020-06-12,98.8,99,163.49,163.92,7.7503
2020-06-15,98.5,95,160.59,171.49,7.7498
2020-06-16,100.5,105.1,172.73,173.23,7.74998
2020-06-17,105.1,106.2,174.32,174.43,7.7501
2020-06-18,106.2,106,174.1,177.4,7.75014
2020-06-19,106.2,111.3,180,182.67,7.7502
2020-06-22,113,109,182.1,183.48,7.7502
2020-06-23,109,112,185,187.45,7.7498
2020-06-24,112,112,187,186.15,7.7499
2020-06-26,115,121.5,200,195.41,7.75
2020-06-29,119,116.3,192.46,189.2,7.7506
2020-06-30,114.5,113.5,185.93,188.4,7.7501
2020-07-02,113.5,119.5,193.1,195.86,7.7501
2020-07-06,118.6,119,196.63,196.72,7.75
2020-07-07,118,119.4,195.33,196.59,7.7499
2020-07-08,119.8,121.4,199.12,204.1,7.74987
2020-07-09,123,122.5,204.32,199.81,7.74979
2020-07-10,121.7,119.3,199.9,196.03,7.7501
2020-07-13,116.9,121.6,205.51,213.01,7.75051
2020-07-14,133.7,137,220.02,236.95,7.75066
2020-07-15,148,147.4,243.04,239.31,7.75036
2020-07-16,147.4,136.9,221.62,231.59,7.7524
2020-07-17,137,141.2,236.29,248.67,7.75296
2020-07-20,147,149.2,248.73,253.95,7.7534
2020-07-21,154,151.6,254,248.19,7.7508
2020-07-22,150,147.9,246.47,235.9,7.751
2020-07-23,144,143.6,240.48,233.05,7.75144
2020-07-24,139.4,134.5,226.06,224.44,7.7518
2020-07-27,136.2,133.4,224,224,7.7516
2020-07-28,138.6,132.7,223.5,214.75,7.75073
2020-07-29,132.2,129.1,214.81,208.5,7.7502
2020-07-30,125.7,125,208.62,207.34,7.74983
2020-07-31,124.6,127.5,207.02,209,7.7499
2020-08-03,127,130,212.53,221.67,7.7501
2020-08-04,133.2,135.6,223.18,222.65,7.74983
2020-08-05,136,133.9,223.19,227.01,7.75017
2020-08-06,134.1,136.8,225.28,224.06,7.7499
2020-08-07,136.8,133.6,218.44,220.5,7.7498
2020-08-10,133.5,132.5,215.17,209.39,7.7503
2020-08-11,126.8,127.7,209.78,209.45,7.7498
2020-08-12,126.9,124,210.49,213.23,7.7504
2020-08-13,127,127.7,210.52,215.38,7.75
2020-08-14,127.8,127.6,213.16,210.72,7.7504
2020-08-17,127.5,128,212.34,223.49,7.7503
2020-08-18,132.5,134.2,223.06,231.96,7.74945
2020-08-19,135.5,139.5,232,234.83,7.7503
2020-08-20,139.6,139,230.08,235.33,7.74982
2020-08-21,139.5,142.8,235.8,240.52,7.7499
2020-08-24,142.8,143.7,240.89,237.39,7.7499
2020-08-25,142.8,140.8,240.87,250.84,7.75001
2020-08-26,148.2,152,251.58,249.26,7.74984
2020-08-27,151.9,147.5,254.6,244.55,7.7502
2020-08-28,147.2,148,244.34,242.96,7.7501
2020-08-31,146.6,145.6,238.92,241.57,7.7504
2020-09-01,145.1,143.2,239.92,236.3,7.7498
2020-09-02,141.9,138.5,231.93,234.94,7.74983
2020-09-03,138.5,139,234.36,232.75,7.7502
2020-09-04,138.2,142,237.57,240.17,7.75014
2020-09-08,146.8,142.3,236.37,237.16,7.75016
2020-09-09,140,138,234.61,240.23,7.7501
