tradeDate,HKopenPrice,HKclosePrice,USopenPrice,USclosePrice,USDHKD
2020-09-28,613.5,610,81.58,82.72,7.7498
2020-09-29,630,644,83.31,82.59,7.7499
2020-09-30,638,641,82.35,83.17,7.75
2020-10-05,660,650,84.55,84.61,7.74982
2020-10-06,654,663,84.9,85.08,7.7501
2020-10-07,663,663.5,86.24,90.53,7.74979
2020-10-08,699,708.5,91.34,91.8,7.74978
2020-10-09,714.5,705,92,93,7.7504
2020-10-12,705.5,726,94.11,91.97,7.7504
2020-10-14,730,706.5,92.62,91,7.7511
2020-10-15,700.5,697,89.67,88.33,7.7499
2020-10-16,689,689,88.94,90.44,7.7502
2020-10-19,691.5,690,90.5,87.47,7.74975
2020-10-20,688,680.5,88.05,87.54,7.7498
2020-10-21,674,675,87,85.09,7.75
2020-10-22,670,660,85,86.69,7.7526
2020-10-23,662,666,86.79,87.2,7.74998
