tradeDate,HKopenPrice,HKclosePrice,USopenPrice,USclosePrice,USDHKD
2020-06-18,218.8,217.8,223.74,223.54,7.75014
2020-06-19,217,219,226.38,220.64,7.7502
2020-06-22,216.2,213,220.92,221.41,7.7502
2020-06-23,216,220,225.12,228.75,7.7498
2020-06-24,222.8,221.4,228.3,226.22,7.7499
2020-06-26,217,214.6,222.21,215.71,7.75
2020-06-29,211,209.4,215.03,215.02,7.7506
2020-06-30,210.6,209.6,215.74,215.7,7.7501
2020-07-02,211.8,214.4,221.85,223.6,7.7501
2020-07-06,224,225.4,233.31,240,7.75
2020-07-07,233.2,232.4,241.01,236.51,7.7499
2020-07-08,231,237.8,244.86,257.68,7.74987
2020-07-09,254.8,261.6,265.55,261.58,7.74979
2020-07-10,257,255.4,260.21,261.01,7.7501
2020-07-13,254,254.4,261.45,251.67,7.75051
2020-07-14,244.4,240.4,246.57,248.58,7.75066
2020-07-15,244,243.4,251.48,249.21,7.75036
2020-07-16,242.8,233.2,241.77,242.5,7.7524
2020-07-17,235.4,238.8,246.55,247.14,7.75296
2020-07-20,238,239.6,256.45,254.81,7.7534
2020-07-21,251.8,257,261.21,257.9,7.7508
2020-07-22,251.4,248,255.76,251.7,7.751
2020-07-23,245,246.6,252.1,251.88,7.75144
2020-07-24,244.2,239,244.96,249,7.7518
2020-07-27,240.8,239,247.11,250.86,7.7516
2020-07-28,244,244.6,251.15,249.05,7.75073
2020-07-29,242.2,243,250.34,252.45,7.7502
2020-07-30,246,244.8,251.7,252.74,7.74983
2020-07-31,249,246,254.2,251.09,7.7499
2020-08-03,244.8,245.6,254.02,257.94,7.7501
2020-08-04,250.8,253.8,260.08,262.2,7.74983
2020-08-05,255.8,255.8,263.74,264.91,7.75017
2020-08-06,257,257,263.42,265.68,7.7499
2020-08-07,256,249.2,257.41,252.1,7.7498
2020-08-10,244.8,242.4,249.34,248.13,7.7503
2020-08-11,242,244,251.29,248.42,7.7498
2020-08-12,242.2,243.4,249.25,255.19,7.7504
2020-08-13,247.8,248.2,256.39,253.72,7.75
2020-08-14,246.2,246.8,255.49,253.97,7.7504
2020-08-17,242.6,242.8,253,256.96,7.7503
2020-08-18,249.4,252,258.71,259.2,7.74945
2020-08-19,252,255.4,260.89,260.59,7.7503
2020-08-20,254,255,256.89,257.97,7.74982
2020-08-21,251.8,252.8,259.03,265.8,7.7499
2020-08-24,261,264.4,273.24,276.02,7.7499
2020-08-25,270,269.2,278.06,277.84,7.75001
2020-08-26,279.8,280.4,289.26,291.96,7.74984
2020-08-27,282.6,280.6,290.17,284.78,7.7502
2020-08-28,277,277,285.09,289,7.7501
2020-08-31,282.8,282.8,288.62,287.03,7.7504
2020-09-01,279,282.8,289.2,298,7.7498
2020-09-02,290,291.2,299,296.07,7.74983
2020-09-03,287.8,284.2,289,282.5,7.7502
2020-09-04,268,274,279.6,281.39,7.75014
2020-09-08,270,269.6,270.23,270.02,7.75016
2020-09-09,262,263.2,274.45,273.15,7.7501
2020-09-10,266.8,262.6,274.9,267.55,7.7503
2020-09-11,263.4,266,272.63,271.61,7.7502
2020-09-14,266.8,268.2,275.36,274.1,7.75024
2020-09-15,268,267.4,278,277.96,7.7505
2020-09-16,269.8,273,281.03,278.14,7.75002
2020-09-17,270.8,267.8,273.11,275.72,7.7499
2020-09-18,266.6,269.6,275.98,272.41,7.7501
2020-09-21,267,262,269.1,273.82,7.7498
2020-09-22,267,264.8,276.02,275.29,7.75
2020-09-23,266.8,267,275.4,272.95,7.75
2020-09-24,264,261,267.93,269.73,7.7503
2020-09-28,262,263.4,275.16,276.01,7.7498
2020-09-29,268.2,265.4,275.43,276.93,7.7499
2020-09-30,269.4,275.6,284.01,293.98,7.75
2020-10-05,285,282,289.06,288.27,7.74982
2020-10-06,279.8,280,287.41,292.39,7.7501
2020-10-07,283.8,288.2,297.9,296.5,7.74979
2020-10-08,289.8,289.6,298.11,300.54,7.74978
2020-10-09,291,286.2,298.55,299.74,7.7504
2020-10-12,288,292,303.95,306.34,7.7504
2020-10-14,298,297.6,309,301.04,7.7511
2020-10-16,290,294,303.99,307.31,7.7502
