tradeDate,HKopenPrice,HKclosePrice,USopenPrice,USclosePrice,USDHKD
2020-09-29,85,84,32.7,31.87,7.7499
2020-09-30,82.3,81,31.87,32.49,7.75
2020-10-05,84,84.2,33.21,32.92,7.74982
2020-10-06,81.5,82.85,32.52,32.48,7.7501
2020-10-07,82.9,83.7,32.78,32.15,7.74979
2020-10-08,83.3,82.85,32.4,32.72,7.74978
2020-10-09,83,83.6,32.72,33.78,7.7504
2020-10-12,84.8,86.5,34.43,35.53,7.7504
2020-10-14,95.15,92.05,35.88,34.94,7.7511
2020-10-15,89,88,34.06,34.4,7.7499
2020-10-16,87,88.7,34.1,33.57,7.7502
2020-10-19,87.6,86.65,34.19,34.56,7.74975
2020-10-20,88.6,90,35.08,36.53,7.7498
2020-10-21,94,95.2,36.74,37.54,7.75
2020-10-22,96.5,96.7,37.51,37.7,7.7526
2020-10-23,96.8,97,37.29,38.23,7.74998
