tradeDate,HKopenPrice,HKclosePrice,USopenPrice,USclosePrice,USDHKD
2020-04-06,273,275.5,48.63,49.97,30.229
2020-04-07,283.5,283,51.29,49.72,30.162
2020-04-08,285,285,50.21,50.27,30.111
2020-04-09,287.5,283,50.28,48.33,30.073
2020-04-13,278.5,278.5,48.74,48.75,30.079
2020-04-14,281,285,50,50.63,30.016
2020-04-15,287,287.5,49.76,49.66,30.027
2020-04-16,283,286.5,51.81,52.4,30.109
2020-04-17,303.5,306.5,54.13,53.69,30.051
2020-04-20,308,304,53,52.59,30.05
2020-04-21,300.5,295,51.6,51.37,30.057
2020-04-22,294.5,294,52.48,52.95,30.081
2020-04-23,300,295.5,52.81,52.64,30.101
2020-04-24,295.5,294,52.6,52.73,30.033
2020-04-27,298,298,53.15,53.51,30.038
2020-04-28,298.5,296.5,53.51,52.76,29.997
2020-04-29,299,299,53.75,54.48,29.875
2020-04-30,302,304.5,54.2,53.13,29.768
2020-05-01,302,304.5,52.48,51.1,29.844
2020-05-04,294.5,295,51.79,52.15,29.769
2020-05-05,296.5,295.5,52.21,51.71,29.785
2020-05-06,294.5,296,52.11,52.13,29.908
2020-05-07,294.5,297.5,52.95,52.33,29.958
2020-05-08,300,297.5,52.62,52.91,29.872
2020-05-11,300,301,52.61,52.4,29.839
2020-05-12,297.5,295,52.64,51.1,29.896
2020-05-13,293,297,51.91,50.92,29.869
2020-05-14,293,293,50.43,52.1,29.911
2020-05-15,297.5,298,50.56,49.8,29.909
2020-05-18,291,290,50.94,51.87,29.915
2020-05-19,294,291.5,51.35,50.81,29.944
2020-05-20,293,294,51.58,51.84,29.926
2020-05-21,296,297.5,52.1,50.75,29.914
2020-05-22,294.5,292,50.84,49.8,29.97
2020-05-26,295,295.5,51.3,50.82,29.954
2020-05-27,297,296.5,51.03,51.74,30.047
2020-05-28,298.5,294,51.46,50.28,30.057
2020-05-29,292,292,50.34,50.33,29.977
2020-06-01,294,295.5,50.91,51.03,29.948
2020-06-02,296,296.5,51.45,52.01,29.932
2020-06-03,300,301,52.64,53.06,29.9025
2020-06-04,305,306,53.06,54.28,29.913
2020-06-05,308.5,311.5,55.5,55.2,29.7845
2020-06-08,316,318,55.74,55.57,29.7138
2020-06-09,316.5,319,55.29,56.61,29.7057
2020-06-10,319,322.5,56.82,57.55,29.6568
2020-06-11,325.5,320.5,55.85,55.04,29.6412
2020-06-12,313,316,56.5,56,29.672
2020-06-15,316,309.5,54.71,56.02,29.6667
2020-06-16,317,315,56.59,55.8,29.641
2020-06-17,316.5,315,56.15,56.6,29.623
2020-06-18,314.5,314.5,56.04,56.15,29.565
2020-06-19,314,314.5,56.48,55.31,29.579
2020-06-22,314.5,312,55.5,56,29.586
2020-06-23,316,315,56.64,56.76,29.5759
2020-06-24,319,317.5,56.71,56.58,29.5127
2020-06-25,319,317.5,56.56,57.04,29.5383
2020-06-26,319,317.5,57,56.33,29.4779
