tradeDate,HKopenPrice,HKclosePrice,USopenPrice,USclosePrice,USDHKD
2020-04-06,3720,4016,18.06,18.59,108.861
2020-04-07,4179,4129,19.01,18.9,108.78
2020-04-08,4171,4139,18.8,18.85,108.853
2020-04-09,4149,4183,18.62,19.4,108.964
2020-04-13,4310,4200,18.35,18.63,108.058
2020-04-14,4050,4420,20.32,20.48,107.112
2020-04-15,4443,4333,19.7,19.73,107.102
2020-04-16,4270,4430,20.43,20.44,107.959
2020-04-17,4570,4735,21.55,21.68,107.781
2020-04-20,4735,4790,21.96,22.26,107.844
2020-04-21,4675,4593,21.01,20.93,107.551
2020-04-22,4560,4377,20.12,20.46,107.717
2020-04-23,4467,4449,20.79,20.63,107.783
2020-04-24,4399,4395,20.32,20.48,107.663
2020-04-27,4430,4592,21.26,21.47,107.354
2020-04-28,4582,4610,21.75,21.6,107.28
2020-04-29,4582,4610,21.89,22.13,106.529
2020-04-30,4748,4633,21.36,21.19,106.542
2020-05-01,4567,4608,21.2,21.36,107.106
2020-05-04,4567,4608,20.85,21.1,106.765
2020-05-05,4567,4608,21.52,21.4,106.622
2020-05-06,4567,4608,21.71,21.37,106.364
2020-05-07,4518,4495,21.19,21.24,106.176
2020-05-08,4589,4668,22,21.87,106.36
2020-05-11,4700,4685,21.5,21.88,106.917
2020-05-12,4680,4704,21.65,21.75,107.399
2020-05-13,4646,4657,21.7,21.45,107.216
2020-05-14,4561,4530,20.95,21.39,106.907
2020-05-15,4600,4574,21.39,21.16,107.223
2020-05-18,4614,4621,21.45,21.79,107.133
2020-05-19,4697,4494,20.77,20.95,107.365
2020-05-20,4445,4539,20.95,21.15,107.786
2020-05-21,4562,4480,20.58,20.59,107.645
2020-05-22,4505,4607,21.1,21.34,107.559
2020-05-26,4650,4805,22,22.07,107.824
2020-05-27,4763,4734,21.86,22.03,107.525
2020-05-28,4800,4827,22.22,22.25,107.777
2020-05-29,4820,4832,22.28,22.84,107.393
2020-06-01,4901,5018,22.98,23.34,107.634
2020-06-02,5029,5185,23.81,24.04,107.724
2020-06-03,5298,5121,23.5,23.73,108.581
2020-06-04,5221,5175,23.5,23.71,108.908
2020-06-05,5150,5220,23.91,23.93,109.209
2020-06-08,5289,5324,24.05,24.41,109.49
2020-06-09,5324,5358,24.43,24.51,108.096
2020-06-10,5324,5355,24.61,24.88,107.686
2020-06-11,5290,5185,23.74,23.34,107.071
2020-06-12,5085,5071,23.62,23.7,107.07
2020-06-15,5071,4905,22.75,23.19,107.43
2020-06-16,5034,5042,23.25,23.23,107.277
2020-06-17,5060,5295,24.72,24.68,107.27
2020-06-18,5330,5446,25.27,25.48,106.86
2020-06-19,5500,5483,25.52,25.58,106.901
2020-06-22,5461,5512,25.68,25.81,106.887
2020-06-23,5600,5497,25.75,25.92,107.168
2020-06-24,5535,5396,24.78,24.73,106.526
2020-06-25,5320,5370,25.3,25.46,107.252
2020-06-26,5483,5533,25.41,25.34,107.16
2020-06-29,5489,5380,24.78,25.24,107.144
2020-06-30,5472,5450,25.15,25.18,107.728
2020-07-01,5460,5551,25.5,25.93,107.688
2020-07-02,5629,5630,26.25,26.34,107.467
2020-07-06,5839,5918,27.32,27.53,107.685
2020-07-07,6000,6190,28.36,28.54,107.395
2020-07-08,6135,6019,28.23,28.55,107.62
2020-07-09,6191,6291,29.49,29.27,107.246
2020-07-10,6380,6267,29.45,29.54,107.006
2020-07-13,6445,6532,30.36,29.82,106.82
2020-07-14,6414,6443,29.83,30,107.16
2020-07-15,6532,6497,30,30.24,107.288
2020-07-16,6480,6403,30.09,29.79,106.965
2020-07-17,6418,6415,29.85,29.98,107.227
2020-07-20,6480,6272,29.49,29.8,107.358
2020-07-21,6372,6464,30.02,29.95,107.21
2020-07-22,6435,6492,30.06,30.8,106.82
2020-07-23,6435,6492,30.94,30.4,107.126
2020-07-24,6435,6492,30.48,30.4,106.385
2020-07-27,6430,6499,30.93,31,105.565
2020-07-28,6565,6645,31.1,31.27,105.577
2020-07-29,6700,6739,32.01,32.48,105.052
2020-07-30,6908,6898,32.17,32.5,105.045
2020-07-31,6998,6595,31.74,31.7,104.318
2020-08-03,6750,6932,32.59,33.12,105.826
2020-08-04,7072,6881,32.15,32.38,106.114
2020-08-05,6680,6593,31.25,31.35,105.594
2020-08-06,6570,6548,30.82,30.99,105.531
2020-08-07,6500,6521,30.7,30.45,105.596
2020-08-10,6500,6521,30.91,30.73,105.792
2020-08-11,6552,6361,30.63,29.65,106.032
2020-08-12,6331,6192,29.18,29.65,106.747
2020-08-13,6336,6423,29.95,30.19,106.713
2020-08-14,6424,6326,29.53,29.47,106.927
2020-08-17,6226,6237,29.34,29.55,106.518
2020-08-18,6260,6194,29.66,29.52,105.633
2020-08-19,6150,6397,30.18,30.13,105.572
2020-08-20,6399,6266,29.63,29.81,106.039
2020-08-21,6294,6259,29.34,29.81,105.673
2020-08-24,6288,6269,29.9,30,105.822
2020-08-25,6379,6422,30.37,30.79,105.972
2020-08-26,6500,6640,31.21,31.64,106.445
2020-08-27,6701,6618,31.52,30.76,105.975
2020-08-28,6600,6397,30.4,30.63,105.254
2020-08-31,6549,6598,30.82,30.94,105.509
2020-09-01,6530,6519,30.7,31.09,105.678
2020-09-02,6640,6581,31,31.04,106.056
2020-09-03,6665,6544,31.25,29.9,106.263
2020-09-04,6344,6334,30.13,29.3,106.178
2020-09-08,5843,5845,26.87,27.02,106.287
2020-09-09,5545,5677,27.02,27.01,105.957
2020-09-10,5685,5800,27.05,26.93,106.098
2020-09-11,5725,5860,27.39,27.5,106.171
2020-09-14,6400,6385,30.21,29.67,106.084
2020-09-15,6285,6407,30.38,30.45,105.694
2020-09-16,6409,6704,31.68,31.77,105.271
2020-09-17,6690,6617,31.43,31.57,105.056
2020-09-18,6573,6545,31.3,30.88,104.818
2020-09-21,6573,6545,30.42,30.35,104.657
2020-09-22,6573,6545,30.3,30.62,104.538
2020-09-23,6435,6375,30.28,29.91,105.103
2020-09-24,6209,6087,29.09,28.85,105.441
2020-09-25,6140,6164,28.82,29.3,105.419
2020-09-28,6225,6341,30,30.04,105.557
2020-09-29,6388,6437,30.48,30.24,105.486
2020-09-30,6482,6469,29.8,30.76,105.607
2020-10-01,6482,6469,30.7,30.71,105.462
2020-10-02,6552,6523,30.48,31.05,105.647
2020-10-05,6619,6750,31.82,31.98,105.525
2020-10-06,6842,6913,32.37,32.5,105.659
2020-10-07,6850,6955,32.91,32.9,105.692
2020-10-08,6991,7085,33,33.44,105.99
2020-10-09,7077,6997,32.29,32.95,105.842
2020-10-12,6989,7182,33.99,34.36,105.491
2020-10-13,7295,7058,33.42,33.3,105.402
2020-10-14,7058,7165,33.57,33.35,105.435
2020-10-16,7065,7023,33.68,33.53,105.243
