tradeDate,HKopenPrice,HKclosePrice,USopenPrice,USclosePrice,USDHKD
2020-04-06,604.1,585.7,7.86,8.25,76.2445
2020-04-07,611.9,639,8.67,8.38,75.93
2020-04-08,628.2,631.6,8.41,8.48,75.85
2020-04-09,648.9,636.25,8.55,8.52,75.9963
2020-04-13,630,637.4,8.5,8.5,76.2405
2020-04-14,630,637.4,8.59,8.67,75.9975
2020-04-15,651.4,639.05,8.28,8.33,76.033
2020-04-16,622.85,623.85,8.3,8.22,76.7163
2020-04-17,640,628.75,8.45,8.58,76.6763
2020-04-20,640,653.3,8.47,8.51,76.5195
2020-04-21,632,633.2,8.1,8.25,76.6363
2020-04-22,633.2,641.85,8.38,8.55,76.9
2020-04-23,649,679.3,8.89,8.79,76.417
2020-04-24,674.4,658,8.73,8.76,76.1175
2020-04-27,660,664.6,8.88,8.93,76.1795
2020-04-28,673,660.7,8.9,8.79,76.1888
2020-04-29,666,676.55,9.01,9.49,75.98
2020-04-30,696,715.5,9.46,9.23,75.1475
2020-05-01,696,715.5,9.08,9.06,75.72
2020-05-04,694.55,673.7,8.99,8.93,75.655
2020-05-05,681.15,673.7,9.11,8.91,75.543
2020-05-06,676.9,665.9,8.9,8.86,75.722
2020-05-07,666.1,664.95,8.99,9.04,76.0675
2020-05-08,672.25,674.2,9.08,9.17,75.48
2020-05-11,682.5,682.9,9.14,9,75.5195
2020-05-12,678,687.65,9.17,9.15,75.893
2020-05-13,700,694.15,9.13,8.55,75.1845
2020-05-14,664,658.15,8.46,8.68,75.4795
2020-05-15,664.8,652.3,8.55,8.7,75.4493
2020-05-18,659.85,663.9,8.87,8.96,75.7893
2020-05-19,665.9,668.6,8.96,8.79,75.765
2020-05-20,666.55,669.55,8.89,9,75.608
2020-05-21,668.4,672.2,8.96,8.93,75.731
2020-05-22,672.15,692.35,9.06,9.05,75.6885
2020-05-26,695,680.55,9.17,9.07,75.684
2020-05-27,682.75,705.45,9.2,9.35,75.63
2020-05-28,706.1,707.4,9.37,9.19,75.86
2020-05-29,692.5,691,9.04,9.1,75.693
2020-06-01,696.55,699.55,9.16,9.26,75.3553
2020-06-02,699.9,708.1,9.34,9.38,75.5478
2020-06-03,710.7,701.55,9.43,9.27,75.0579
2020-06-04,702,707.75,9.24,9.27,75.4998
2020-06-05,708,703.55,9.39,9.38,75.352
2020-06-08,708.95,720.85,9.47,9.56,75.627
2020-06-09,720,717.6,9.45,9.33,75.508
2020-06-10,715,715.85,9.37,9.3,75.471
2020-06-11,713.85,703.95,9.13,8.86,75.9233
2020-06-12,680,692.05,8.97,9.11,76.07
2020-06-15,695,687.55,8.94,9.22,76.0307
2020-06-16,690,701.2,9.2,9.12,76.3575
2020-06-17,700.7,703.65,9.11,9.33,76.278
2020-06-18,704,713.9,9.26,9.22,76.1093
2020-06-19,709,705.55,9.28,9.16,76.265
2020-06-22,704.5,703.7,9.2,9.15,76.2
2020-06-23,695.7,720.65,9.46,9.42,75.823
2020-06-24,719.95,714.15,9.33,9.07,75.614
2020-06-25,705,700.5,9.06,9.29,75.72
2020-06-26,706.9,748.2,9.66,9.53,75.5075
2020-06-29,738.75,731.75,9.5,9.57,75.6025
2020-06-30,734.4,735.95,9.56,9.66,75.462
2020-07-01,737.25,731.9,9.56,9.68,75.51
2020-07-02,735.8,756.6,10,9.92,75.4835
2020-07-06,765,764,10.16,10.11,74.4538
2020-07-07,774,794.15,10.33,10.24,74.64
2020-07-08,784.9,774.7,10.1,10.34,74.82
2020-07-09,778,781.7,10.35,10.23,74.955
2020-07-10,772,781.85,10.26,10.39,75.1232
2020-07-13,790,797.05,10.49,10.47,75.435
2020-07-14,795.65,783.25,10.31,10.59,75.2858
2020-07-15,796.9,830.95,11.71,11.91,75.33
2020-07-16,900,911,12,12.23,75.205
2020-07-17,911,903.15,12.11,12.27,75.21
2020-07-20,904,934.3,12.52,12.58,74.8953
2020-07-21,945,936.75,12.59,12.49,74.716
2020-07-22,940,917.9,12.34,12.3,74.6009
2020-07-23,916,907.95,12.25,12.24,74.617
2020-07-24,904.7,922.85,12.25,12.33,74.905
2020-07-27,922.45,948.45,12.68,12.67,74.662
2020-07-28,947.95,962.85,12.75,12.58,74.842
2020-07-29,953.45,954.15,12.66,12.85,74.84
2020-07-30,960,961.45,12.71,12.95,74.818
2020-07-31,965,966,12.97,12.858,74.712
2020-08-03,962.8,956.9,12.79,12.92,74.8745
2020-08-04,959.7,949.85,12.75,12.64,75.1855
2020-08-05,959.9,944.7,12.68,12.65,74.938
2020-08-06,950,970.85,12.89,12.83,74.8225
2020-08-07,970.85,950.9,12.69,12.6,75.056
2020-08-10,950.75,951.35,12.63,12.59,74.9625
2020-08-11,951.95,948.45,12.65,12.63,74.8328
2020-08-12,950.5,954.95,12.72,12.76,74.717
2020-08-13,955.35,951.2,12.71,12.78,74.827
2020-08-14,955,953.6,12.74,12.72,74.859
2020-08-17,953.5,957.5,12.79,12.87,74.8038
2020-08-18,961.8,967.55,12.89,12.98,74.76
2020-08-19,970,959.3,12.83,12.8,74.665
2020-08-20,959,955.15,12.67,12.82,74.976
2020-08-21,960.1,948.8,12.72,12.6,74.9813
2020-08-24,949.85,947.4,12.76,12.79,74.881
2020-08-25,946.45,938.1,12.65,12.655,74.12
2020-08-26,938.55,950.8,12.91,12.88,74.3
2020-08-27,960,947.05,12.9,12.835,74.305
2020-08-28,950.1,935.25,12.84,12.81,73.2608
2020-08-31,935,928.6,12.65,12.6,73.129
2020-09-01,925,914.15,12.58,12.67,73.2013
2020-09-02,925,924,12.74,12.73,73.0338
2020-09-03,925.75,935.55,12.72,12.47,73.1945
2020-09-04,921.5,919.15,12.53,12.44,73.463
2020-09-08,929.95,939.3,12.5,12.67,73.602
2020-09-09,935,927.75,12.64,12.75,73.738
2020-09-10,935.9,940.05,12.8,12.6,73.392
2020-09-11,936,945.7,12.8,12.76,73.4575
2020-09-14,949.5,978.4,13.18,13.24,73.38
2020-09-15,979.5,982.45,13.31,13.34,73.3675
2020-09-16,990.95,1001.75,13.56,13.56,73.6065
2020-09-17,995,1011,13.57,13.67,73.704
2020-09-18,1015.95,1002.15,13.57,13.5,73.49
2020-09-21,1000,1009.9,13.54,13.61,73.377
2020-09-22,1010.4,1007.5,13.62,13.84,73.5033
2020-09-23,1016.35,1019.75,13.81,13.59,73.562
2020-09-24,1008,975.4,13.065,13.05,73.7435
2020-09-28,1014.8,1010.4,13.67,13.63,73.8178
2020-09-29,1018,1009,13.64,13.56,73.6845
2020-09-30,1025,1008.25,13.58,13.81,73.8185
2020-10-01,1020.6,1017.65,13.84,13.76,73.5515
2020-10-02,1020.6,1017.65,13.69,13.67,73.305
2020-10-05,1019.45,1048.7,14.17,14.05,73.199
2020-10-06,1054.1,1055.75,14.14,13.89,73.193
2020-10-07,1044.9,1066.55,14.31,14.54,73.5115
2020-10-08,1089,1093.7,14.84,14.8,73.335
2020-10-09,1099,1106.8,14.97,15.2,73.1265
2020-10-12,1120,1132.1,15.35,15.55,73.069
2020-10-13,1135,1157.8,15.61,15.72,73.388
2020-10-14,1164.7,1137,16.01,16.36,73.376
2020-10-15,1174.9,1108.25,15.18,15.26,73.316
2020-10-16,1112,1127.5,15.43,15.51,73.4265
