date,signal,usdtwd,usdkrw
2011-01-03,-1,0,-1124.65
2011-01-04,-1,1111.14176867436,-1125.5
2011-01-05,-1,1122.05258095812,-1123.5
2011-01-06,1,-1121.9271201111,1123.2
2011-01-07,1,-1120.94644747077,1122.2
2011-01-10,-1,1126.09437788139,-1127.5
2011-01-11,-1,1124.64422295131,-1126
2011-01-12,1,-1110.38239111128,1111.5
2011-01-13,-1,1111.06555609791,-1112.5
2011-01-14,1,-1113.81061375429,1115.05
2011-01-17,-1,1114.10571175133,-1115.5
2011-01-18,-1,1111.67314946888,-1113
2011-01-19,1,-1111.32262384061,1112.6
2011-01-20,-1,1123.14278570701,-1124.5
2011-01-21,0,-0,0
2011-01-24,-1,1117.16246356569,-1118.5
2011-01-25,-1,1119.63332591356,-1121
2011-01-26,1,-1115.2496113027,1116.5
2011-01-27,1,-1113.1516696451,1114.45
2011-01-28,0,-0,0
2011-01-31,-1,1118.49526644421,-1119.88
2011-02-01,1,-1112.6975612831,1113.95
2011-02-02,0,-0,0
2011-02-03,0,-0,0
2011-02-04,0,-0,0
2011-02-07,1,-1102.31833050606,1103.5
2011-02-08,-1,1099.68521271804,-1101
2011-02-09,-1,1109.16226483335,-1110.65
2011-02-10,-1,1117.62999425794,-1119
2011-02-11,1,-1125.40055108774,1126.65
2011-02-14,1,-1122.734551721,1124
2011-02-15,1,-1122.51849570424,1123.8
2011-02-16,1,-1116.55986754664,1117.8
2011-02-17,1,-1113.57552047799,1114.85
2011-02-18,1,-1111.11723697097,1112.4
2011-02-21,-1,1117.93663265919,-1119.35
2011-02-22,-1,1128.44283359586,-1129.8
2011-02-23,1,-1128.89940583744,1130.2
2011-02-24,1,-1130.02643250831,1131.25
2011-02-25,1,-1125.71742275927,1127
2011-02-28,1,-1124.06555337788,1125.35
2011-03-01,-1,1125.32808945164,-1126.75
2011-03-02,1,-1122.26421296269,1123.5
2011-03-03,1,-1114.62260968261,1115.9
2011-03-04,-1,1116.46438108733,-1117.85
2011-03-07,-1,1117.99556936811,-1119.35
2011-03-08,1,-1114.70477211576,1115.95
2011-03-09,-1,1113.36992597194,-1114.7
2011-03-10,-1,1126.03947706962,-1127.45
2011-03-11,1,-1125.08234771997,1126.35
2011-03-14,-1,1123.6592611119,-1125
2011-03-15,-1,1133.63484743998,-1135.05
2011-03-16,-1,1136.58272484005,-1137.95
2011-03-17,1,-1134.15889637199,1135.45
2011-03-18,1,-1124.25992443652,1125.45
2011-03-21,1,-1120.15219850804,1121.45
2011-03-22,1,-1119.70080971181,1121
2011-03-23,-1,1121.58026432267,-1122.9
2011-03-24,1,-1117.65731895324,1118.95
2011-03-25,1,-1109.79784025427,1111.05
2011-03-28,-1,1112.77657194341,-1114.1
2011-03-29,1,-1110.22527299765,1111.5
2011-03-30,1,-1102.25061987241,1103.45
2011-03-31,1,-1095.25682922437,1096.5
2011-04-01,1,-1085.80923335779,1087.05
2011-04-04,-1,1087.14828626677,-1088.45
2011-04-05,1,-1086.25997423556,1087.5
2011-04-06,-1,1084.44843853197,-1085.85
2011-04-07,-1,1086.23890905886,-1087.6
2011-04-08,1,-1081.24546071808,1082.5
2011-04-11,-1,1086.87401078674,-1088.25
2011-04-12,1,-1090.7218886381,1092
2011-04-13,1,-1085.29222355738,1086.55
2011-04-14,1,-1085.0249957763,1086.3
2011-04-15,-1,1086.63317786551,-1088
2011-04-18,1,-1087.23106585998,1088.5
2011-04-19,1,-1084.18932538935,1085.45
2011-04-20,1,-1077.42453155312,1078.7
2011-04-21,-1,1079.58230319263,-1080.95
2011-04-22,1,-1079.75714312967,1081.05
2011-04-25,-1,1080.96361705404,-1082.28
2011-04-26,1,-1081.75494152904,1083
2011-04-27,-1,1076.22233783471,-1077.55
2011-04-28,-1,1072.05970682341,-1073.4
2011-04-29,1,-1067.25629587175,1068.5
2011-05-02,1,-1064.680434287,1065.95
2011-05-03,-1,1072.05890719696,-1073.5
2011-05-04,-1,1075.37164213502,-1076.75
2011-05-05,-1,1080.39008690831,-1081.75
2011-05-06,-1,1084.16572963447,-1085.55
2011-05-09,1,-1080.22386953488,1081.5
2011-05-10,0,-0,0
2011-05-11,1,-1075.18966907692,1076.5
2011-05-12,-1,1087.06321450063,-1088.5
2011-05-13,1,-1085.6586587149,1086.95
