code,date,code2,buy,sel
HSI,2012-06-22,00700,223.4,222.8
HSI,2012-06-22,00883,14.64,14.38
HSI,2012-06-22,00027,19.4,19.52
HSI,2012-06-22,01038,43.5,44
HSI,2012-06-22,00019,86.2,87.75
HSI,2012-06-27,01093,1.93,1.9
HSI,2012-07-23,02628,21.25,21
HSI,2012-08-01,00006,60.1,61.45
HSI,2012-08-17,00006,62.35,61.55
HSI,2012-08-24,00066,27.75,27.95
HSI,2012-09-05,02018,25.9,26.3
HSI,2012-09-21,02382,4.17,4.27
HSI,2012-09-26,00006,63.4,64.3
HSI,2012-10-03,00857,9.96,10.06
HSI,2012-10-29,00066,29.7,30
HSI,2012-11-06,00005,76,76.7
HSI,2012-11-08,00027,27.4,27.35
HSI,2012-12-04,00003,20.8,21.05
HSI,2012-12-18,01299,31,30.6
HSI,2013-01-04,00005,82.1,82
HSI,2013-02-05,00005,86.5,85.45
HSI,2013-02-05,02313,18.62,19.16
HSI,2013-02-05,00011,125.5,124.1
HSI,2013-02-05,01044,77.5,77.65
HSI,2013-02-21,00006,70.2,69.9
HSI,2013-04-18,00016,106.4,108.1
HSI,2013-05-21,01398,5.54,5.52
HSI,2013-07-25,01177,5.43,5.62
HSI,2013-08-22,02313,23.3,24
HSI,2013-09-23,01299,36.25,36.95
HSI,2013-10-09,00175,4.2,4.26
HSI,2013-10-11,01093,4.21,4.25
HSI,2013-11-25,00386,6.8,6.83
HSI,2013-12-02,00002,63,63
HSI,2014-01-17,00005,84.85,85.85
HSI,2014-01-22,00027,79.1,76.95
HSI,2014-02-25,00005,82.2,81.65
HSI,2014-03-03,00016,97.5,96.65
HSI,2014-03-03,00267,10.78,10.98
HSI,2014-03-10,02319,39.6,39.75
HSI,2014-03-14,01093,7.64,7.84
HSI,2014-04-09,00019,91.4,90.15
HSI,2014-05-20,01038,51.95,51.55
HSI,2014-05-21,00005,81,80.8
HSI,2014-05-27,00941,75.6,75.65
HSI,2014-07-25,00006,68.8,69.55
HSI,2014-09-03,00883,15.2,15.68
HSI,2014-09-10,00857,11.2,11.06
HSI,2014-09-11,02388,26,25.8
HSI,2014-11-07,00006,74,73.75
HSI,2014-11-13,00700,125,129.5
HSI,2015-01-21,01038,59.7,60.1
HSI,2015-02-10,00005,71.9,71.85
HSI,2015-03-02,00669,26.2,26.7
HSI,2015-03-05,01299,47.25,47.6
HSI,2015-03-31,00003,17.56,17.94
HSI,2015-04-20,00017,9.55,9.51
HSI,2015-09-29,00006,71.05,71.5
HSI,2015-10-14,00005,61.25,61.65
HSI,2015-11-02,00003,15.44,15.54
HSI,2016-01-05,00066,37,38
HSI,2016-02-03,01928,25.5,25.85
HSI,2016-02-11,00883,7.28,7.45
