date,I_HSI_I1,I_HSCEI_I2,I_TPX_I3,I_NKY_I4,I_SPY_I5,I_000300_I6,I_000905_I7
2012-01-02,,,_,_,,,
2012-01-03,_,_,_,_,_,,
2012-01-04,_,_,_,_,_,_,_
2012-01-05,_,_,_,_,_,_,_
2012-01-06,_,_,_,_,_,_,_
2012-01-09,_,_,_,_,_,_,_
2012-01-10,_,_,_,_,_,_,_
2012-01-11,_,_,_,_,_,_,_
2012-01-12,_,_,_,_,_,_,_
2012-01-13,_,_,_,_,_,_,_
2012-01-16,_,_,_,_,,_,_
2012-01-17,_,_,_,_,_,_,_
2012-01-18,_,_,_,_,_,_,_
2012-01-19,_,_,_,_,_,_,_
2012-01-20,_,_,_,_,_,_,_
2012-01-23,,,_,_,_,,
2012-01-24,,,_,_,_,,
2012-01-25,,,_,_,_,,
2012-01-26,_,_,_,_,_,,
2012-01-27,_,_,_,_,_,,
2012-01-30,_,_,_,_,_,_,_
2012-01-31,_,_,_,_,_,_,_
2012-02-01,_,_,_,_,_,_,_
2012-02-02,_,_,_,_,_,_,_
2012-02-03,_,_,_,_,_,_,_
2012-02-06,_,_,_,_,_,_,_
2012-02-07,_,_,_,_,_,_,_
2012-02-08,_,_,_,_,_,_,_
2012-02-09,_,_,_,_,_,_,_
2012-02-10,_,_,_,_,_,_,_
2012-02-13,_,_,_,_,_,_,_
2012-02-14,_,_,_,_,_,_,_
2012-02-15,_,_,_,_,_,_,_
2012-02-16,_,_,_,_,_,_,_
2012-02-17,_,_,_,_,_,_,_
2012-02-20,_,_,_,_,,_,_
2012-02-21,_,_,_,_,_,_,_
2012-02-22,_,_,_,_,_,_,_
2012-02-23,_,_,_,_,_,_,_
2012-02-24,_,_,_,_,_,_,_
2012-02-27,_,_,_,_,_,_,_
2012-02-28,_,_,_,_,_,_,_
2012-02-29,_,_,_,_,_,_,_
2012-03-01,_,_,_,_,_,_,_
2012-03-02,_,_,_,_,_,_,_
2012-03-05,_,_,_,_,_,_,_
2012-03-06,_,_,_,_,_,_,_
2012-03-07,_,_,_,_,_,_,_
2012-03-08,_,_,_,_,_,_,_
2012-03-09,_,_,_,_,_,_,_
2012-03-12,_,_,_,_,_,_,_
2012-03-13,_,_,_,_,_,_,_
2012-03-14,_,_,_,_,_,_,_
2012-03-15,_,_,_,_,_,_,_
2012-03-16,_,_,_,_,_,_,_
2012-03-19,_,_,_,_,_,_,_
2012-03-20,_,_,_,_,_,_,_
2012-03-21,_,_,_,_,_,_,_
2012-03-22,_,_,_,_,_,_,_
2012-03-23,_,_,_,_,_,_,_
2012-03-26,_,_,_,_,_,_,_
2012-03-27,_,_,_,_,_,_,_
2012-03-28,_,_,_,_,_,_,_
2012-03-29,_,_,_,_,_,_,_
2012-03-30,_,_,_,_,_,_,_
2012-04-02,_,_,_,_,_,,
2012-04-03,_,_,_,_,_,,
2012-04-04,,,_,_,_,,
2012-04-05,_,_,_,_,_,_,_
2012-04-06,,,_,_,,_,_
2012-04-09,,,_,_,_,_,_
2012-04-10,_,_,_,_,_,_,_
2012-04-11,_,_,_,_,_,_,_
2012-04-12,_,_,_,_,_,_,_
2012-04-13,_,_,_,_,_,_,_
2012-04-16,_,_,_,_,_,_,_
2012-04-17,_,_,_,_,_,_,_
2012-04-18,_,_,_,_,_,_,_
2012-04-19,_,_,_,_,_,_,_
2012-04-20,_,_,_,_,_,_,_
2012-04-23,_,_,_,_,_,_,_
2012-04-24,_,_,_,_,_,_,_
2012-04-25,_,_,_,_,_,_,_
2012-04-26,_,_,_,_,_,_,_
2012-04-27,_,_,_,_,_,_,_
2012-04-30,_,_,_,_,_,,
2012-05-01,,,_,_,_,,
2012-05-02,_,_,_,_,_,_,_
2012-05-03,_,_,_,_,_,_,_
2012-05-04,_,_,_,_,_,_,_
2012-05-07,_,_,68570-80560-77290-85860-74830-81310-88410-72830-82890-62180,68570-80280-66450-28010-45780-83550-72050-65040,_,_,_
2012-05-08,_,_,21210-77250-27530,_,_,_,_
2012-05-09,_,_,21210-89400,_,_,_,_
2012-05-10,_,_,28010-21210-89400,28010,_,_,_
2012-05-11,_,_,21210-24750-21740-89400,_,AIV,_,_
2012-05-14,_,_,49670-21210-98320-75130-21740-89400,_,ABT,_,_
2012-05-15,_,_,21210-98320-78200-67940-21740-77020-77450-72560-80110,_,XEL,_,_
2012-05-16,_,_,21210-21740-89400,_,_,_,_
2012-05-17,_,_,21210-21740-89400,_,_,_,_
2012-05-18,_,_,99890-21210-21740-89400,_,_,_,_
2012-05-21,_,_,21210-21740-89400,_,_,_,_
2012-05-22,_,_,21210-21740-89400,_,_,_,_
2012-05-23,_,_,21210-21740-46710-89400,_,_,000737,_
2012-05-24,_,_,21210-82190-89400,_,_,_,_
2012-05-25,_,_,21740-46710-60540-89400,_,_,_,_
2012-05-28,_,_,21210-21740-89400,_,,_,_
2012-05-29,_,_,21210,_,_,_,_
2012-05-30,_,_,21210-21740-89400,_,_,_,_
2012-05-31,_,_,21210-67450-21740-89400,_,_,_,_
2012-06-01,_,_,21210-21740-59360-89400,_,HRL-TGT,_,_
2012-06-04,_,02688,23170-78600-64130-75140-88350-76190-60540-97040-78970-46960,_,_,600190-000920-000528-600820-600649,000881-600733-000548-600330
2012-06-05,_,_,21210-81570-89400,_,_,_,_
2012-06-06,_,_,21210-21740-89400-36070,_,_,_,_
2012-06-07,_,_,21210-69290-21740-36400-89400,_,_,_,_
2012-06-08,_,_,21740-89400,_,_,_,_
