x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S54-A33,7.94,-46.65,-41.61,52.22,8.44,10,9,17.83,0.52,978,1.14,9.71,24.68,0.45,50.91
A38-EWAEWC,6.10,-11.22,-10.11,55.11,6.43,5,5,5.63,1.08,1097,0.36,3.32,20.89,1.08,55.17
A38-usdtwd vs usdkrw,4.40,-3.41,-2.76,12.49,4.10,9,10,2.88,1.51,348,0.18,3.82,8.42,1.53,53.98
A38-usdtwd vs usdcnh,0.72,-1.41,-1.09,3.80,0.73,5,4,1.11,0.65,437,0.07,0.56,1.98,0.65,55.44
S54-A38-000016-000300,5.13,-10.26,-9.81,19.45,5.12,8,6,3.16,1.60,1258,0.20,4.32,13.53,1.62,56.35
S54-A38-000300-000905,15.81,-11.12,-10.40,51.17,16.71,8,9,6.30,2.36,395,0.40,14.91,34.46,2.51,57.90
A_41-bog,6.04,-6.49,-5.69,17.95,6.19,6,4,3.97,1.50,859,0.25,6.58,11.28,1.52,61.46
A41-CSI-000300,6.40,-5.85,-3.31,55.60,6.91,3,4,5.76,1.11,957,0.37,2.57,17.87,1.11,54.61
A41-CSI-000905,17.83,-7.58,-0.76,101.99,19.87,6,5,7.89,2.12,276,0.51,13.00,40.11,2.26,61.30
A41-CSI-000001,28.32,-5.57,-2.36,170.60,32.28,8,4,9.53,2.67,268,0.61,18.38,61.41,2.97,63.06
S54-A43-indexArb,1.55,-8.51,-6.79,13.44,1.28,9,13,2.84,0.56,1315,0.18,0.64,6.92,0.55,50.11
S54-A44andrewlo-closeprice-trade,24.41,-42.54,-41.70,160.82,31.26,10,13,24.91,0.99,311,1.59,19.24,92.04,0.98,51.45
S54-A44andrewlo-openprice-trade,38.61,-14.52,-6.88,201.71,40.26,41,8,11.95,2.79,447,0.76,26.65,99.81,3.23,61.40
S54-A44csi-000300-openprice-trade,88.55,-920.08,-42425.87,271723.82,291.67,8,8,3805.70,0.31,534,243.63,11.46,365.10,0.02,52.23
S54-A44csi-000905-openprice-trade,206.49,-163.71,-124178.49,35769.56,113.95,12,8,758.64,-0.24,110,48.57,95.82,364.03,0.27,58.96
S54-A44csi-000001-openprice-trade,219.15,-296.36,-37131.48,26173.38,194.43,10,8,220.70,0.49,110,14.13,101.80,384.69,0.99,59.38
S54-A51-AUDCAD,4.03,-9.58,-8.72,15.60,3.11,8,10,5.84,0.71,651,0.37,2.57,10.42,0.69,50.82
S54-A63-PA,-0.51,-53.99,-51.18,44.11,3.51,11,9,12.29,0.02,572,0.79,3.46,13.10,-0.04,52.72
S54-A71,14.00,-24.06,-14.82,49.66,14.95,9,10,16.88,0.86,297,1.08,15.14,31.48,0.83,53.14
S54-A57-CL,57.44,-112.84,-2859551.79,42490.66,-888.84,13,10,23445.51,-0.27,739,1500.94,16.45,129.47,0.00,54.35
S54-A57-TU,0.21,-0.75,-0.55,1.85,0.23,9,9,0.53,0.41,595,0.03,0.11,0.87,0.40,52.88
S54-A57-HG,23.37,-23627.37,-790994.02,68759.35,-359.76,10,10,2258.61,-0.32,1467,144.59,-9.06,76.56,0.01,50.83
S54-A57-PA,43.84,-3542.63,-79730.77,58856.82,44.21,11,10,1833.91,0.11,980,117.40,-11.43,159.49,0.02,50.78
