x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S55CSI300,25.05,-15.91,-10.84,230.43,32.46,13,11,16.34,1.45,283,1.05,17.29,90.54,1.53,53.56
S55CSI50,19.93,-15.68,-9.86,157.64,23.98,12,10,16.24,1.20,601,1.04,12.91,92.07,1.23,52.89
S55CSI500,28.27,-20.75,-15.87,155.55,32.78,10,10,17.10,1.54,330,1.09,25.89,80.72,1.65,54.24
S55ETFetf300_min,11.77,-19.50,-1.21,66.26,23.46,8,9,12.84,0.93,236,0.82,15.72,53.72,0.92,52.45
S55ETFetf500_min,16.36,-8.69,5.57,39.95,22.44,8,7,12.97,1.23,132,0.83,23.08,33.71,1.26,53.35
S55ETFetf50_min,19.33,-9.28,2.61,48.90,21.10,9,6,11.55,1.59,133,0.74,15.92,42.46,1.67,54.77
S55FWDZJIC,11.03,-19.63,-12.90,36.14,14.48,13,8,16.18,0.73,307,1.04,15.49,24.53,0.68,53.80
S55FWDZJIF,25.33,-22.38,-18.46,210.27,34.22,10,15,17.26,1.40,408,1.10,23.55,96.79,1.47,52.79
S55FWDZJIH,3.95,-26.02,-16.51,33.94,2.19,10,8,11.93,0.38,1167,0.76,0.73,14.36,0.33,49.92
