x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S56P1-static300对冲000300,7.69,-7.45,-4.31,30.81,8.14,16,10,4.63,1.62,173,0.30,5.80,17.88,1.66,55.13
S56P1-dynamic300对冲000300,5.65,-6.54,-3.56,20.50,5.95,13,10,3.38,1.65,241,0.22,5.17,12.00,1.67,55.43
S56P1-static500对冲000905,17.14,-4.24,1.67,69.89,18.46,12,9,4.70,3.40,128,0.30,15.69,41.49,3.65,59.05
S56P1-dynamic500对冲000905,11.34,-3.46,1.04,27.71,11.75,17,9,3.28,3.29,140,0.21,10.92,21.98,3.46,59.50
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
comb_ls_rtn,42.79,-3.17,17.06,200.17,48.69,42,6,6.26,5.73,41,0.40,33.15,118.64,6.83,67.13
comb_lo_rtn,25.58,-51.43,-45.31,375.45,37.59,11,9,28.85,0.94,284,1.85,19.95,132.98,0.89,57.39
comb_so_rtn,-21.17,-94.23,-62.67,152.32,-17.17,9,9,29.92,-0.64,734,1.92,-22.35,12.83,-0.71,51.37
pct_netMoneyInflow_lo_relative_cum_rtn,15.18,-37.46,-29.65,160.15,20.09,13,7,16.47,0.94,132,1.05,8.82,67.91,0.92,56.94
qoq_netMoneyInflow_lo_relative_cum_rtn,13.38,-36.45,-31.68,151.75,17.65,16,9,16.48,0.85,155,1.05,8.72,61.66,0.81,57.07
pct_finVal_lo_relative_cum_rtn,15.43,-40.07,-33.51,196.75,21.77,16,11,17.07,0.93,155,1.09,6.43,80.77,0.90,56.98
qoq_finVal_lo_relative_cum_rtn,14.42,-40.53,-34.84,145.36,18.70,16,7,16.76,0.89,112,1.07,10.51,62.59,0.86,57.70
comb_lo_relative_cum_rtn,19.34,-34.01,-30.38,195.95,25.63,16,9,16.55,1.15,112,1.06,11.37,83.68,1.17,57.88
pct_netMoneyInflow_so_rtn,-17.57,-92.59,-60.38,178.33,-13.62,9,9,29.80,-0.50,725,1.91,-19.41,18.93,-0.59,51.86
pct_netMoneyInflow_lo_rtn,21.16,-53.80,-46.94,324.96,31.08,11,9,28.90,0.81,286,1.85,17.04,109.35,0.73,56.71
pct_netMoneyInflow_ls_rtn,31.99,-3.85,9.79,136.12,36.04,19,7,6.25,4.48,68,0.40,26.46,74.92,5.12,62.51
qoq_netMoneyInflow_so_rtn,-14.84,-91.21,-61.31,178.10,-10.50,9,9,29.76,-0.39,712,1.91,-15.62,23.08,-0.50,52.00
qoq_netMoneyInflow_lo_rtn,19.22,-52.05,-44.73,334.64,28.52,11,9,29.03,0.75,323,1.86,14.70,103.37,0.66,56.76
qoq_netMoneyInflow_ls_rtn,25.82,-4.14,3.38,109.34,28.79,19,10,5.77,4.01,109,0.37,21.09,67.82,4.47,61.74
pct_finVal_so_rtn,-17.83,-92.02,-62.26,154.25,-14.07,10,9,29.63,-0.51,726,1.90,-18.19,14.17,-0.60,52.36
pct_finVal_lo_rtn,21.47,-53.65,-45.36,378.97,33.68,11,9,29.16,0.81,289,1.87,14.24,130.22,0.74,56.31
pct_finVal_ls_rtn,32.73,-6.47,1.30,166.11,38.60,40,7,7.14,4.01,169,0.46,25.31,101.41,4.59,62.73
qoq_finVal_so_rtn,-15.54,-90.47,-57.41,163.78,-11.33,9,9,29.74,-0.42,725,1.90,-17.14,20.87,-0.52,51.86
qoq_finVal_lo_rtn,20.35,-56.12,-48.32,348.50,30.16,11,9,29.10,0.78,338,1.86,16.17,107.66,0.70,56.53
qoq_finVal_ls_rtn,27.96,-4.10,2.70,106.35,29.73,18,7,6.11,4.07,74,0.39,21.32,68.12,4.57,61.92
