x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S57lasso-上证综指股票池-long-short,63.85,-26.36,-3.46,221.92,65.46,11,9,23.37,2.23,151,1.50,56.42,119.96,2.73,55.79
S57lasso-500股票池-long-short,29.38,-20.16,-15.30,139.00,31.62,10,12,18.81,1.46,354,1.20,24.70,81.62,1.56,53.39
S57lasso-300股票池-long-short,1.03,-47.46,-26.89,66.84,3.36,8,10,17.67,0.15,377,1.13,-2.85,35.71,0.06,49.11
S57adaboost-上证综指股票池-long-short,65.51,-37.79,-28.39,214.79,73.74,16,11,22.63,2.34,281,1.45,76.08,124.10,2.90,56.66
S57adaboost-500股票池-long-short,15.82,-52.41,-47.53,88.00,18.38,12,10,19.62,0.85,673,1.26,19.49,56.88,0.81,51.79
S57adaboost-300股票池-long-short,11.49,-40.43,-29.38,119.34,12.48,14,10,19.62,0.65,491,1.26,10.86,37.30,0.59,50.61
S57adaboost-week-上证综指股票池-long-short,47.50,-40.08,-32.61,179.16,59.08,11,11,24.05,1.74,148,1.54,54.71,119.84,1.97,56.19
S57adaboost-week-500股票池-long-short,10.37,-64.19,-59.76,100.16,17.68,12,12,21.10,0.57,788,1.35,24.19,56.35,0.49,52.16
S57adaboost-week-300股票池-long-short,4.59,-44.62,-24.33,120.02,10.88,10,14,18.98,0.33,531,1.22,4.68,38.35,0.24,50.05
