x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
v-high-全部-long-short,14.42,-19.82,-17.70,50.50,15.52,10,12,13.22,1.09,406,0.85,16.78,30.15,1.09,50.69
v-high-上证综指股票池-long-short,15.64,-18.10,-8.11,49.18,17.17,10,12,13.08,1.18,252,0.84,18.33,30.72,1.20,49.98
v-high-500股票池-long-short,8.76,-31.18,-24.90,69.85,11.28,9,12,13.16,0.70,363,0.84,10.48,34.93,0.67,50.17
v-high-300股票池-long-short,1.51,-49.85,-36.10,44.64,5.24,10,13,16.64,0.17,397,1.07,9.02,22.28,0.09,49.50
v-low-全部-long-short,-5.23,-58.00,-32.94,31.28,-5.80,11,13,13.91,-0.32,35,0.89,-6.83,14.13,-0.38,46.13
v-low-上证综指股票池-long-short,-3.11,-48.20,-29.31,33.32,-3.21,9,16,13.79,-0.16,35,0.88,-5.76,19.21,-0.23,45.54
v-low-500股票池-long-short,-4.93,-56.88,-33.09,21.99,-5.15,9,11,13.25,-0.32,67,0.85,-4.73,7.84,-0.37,47.80
v-low-300股票池-long-short,-10.79,-79.35,-45.76,23.58,-9.00,8,16,17.23,-0.58,37,1.10,-8.08,8.77,-0.63,45.98
v-sp-全部-long-short,21.55,-8.93,-0.08,66.52,21.44,14,8,7.55,2.63,141,0.48,18.22,34.66,2.86,57.24
v-sp-上证综指股票池-long-short,20.49,-12.17,-1.02,73.15,20.83,11,10,8.25,2.30,185,0.53,19.77,31.61,2.48,55.84
v-sp-500股票池-long-short,14.62,-11.89,-3.71,63.65,14.88,11,10,9.22,1.53,175,0.59,12.41,27.30,1.59,54.58
v-sp-300股票池-long-short,10.51,-23.96,-14.00,53.85,10.90,10,8,12.45,0.86,367,0.80,9.68,22.61,0.84,52.41
ref000001,7.00,-52.30,-45.16,49.73,1.20,11,7,22.71,0.41,30,1.45,3.51,19.28,0.31,54.44
lo000001,12.51,-10.64,-4.69,53.51,10.74,7,5,10.68,1.16,539,0.68,6.57,28.83,1.17,58.42
ls000001,12.12,-22.07,-22.06,134.19,15.11,7,7,18.34,0.72,737,1.17,3.58,68.29,0.66,51.01
ref000300,12.42,-46.70,-42.52,51.61,7.21,12,8,23.86,0.61,1360,1.53,10.32,30.86,0.52,53.88
lo000300,10.03,-14.96,-12.60,40.59,7.47,12,5,11.62,0.88,734,0.74,5.54,21.93,0.86,54.72
ls000300,7.29,-32.96,-21.81,92.46,7.83,12,7,18.75,0.47,111,1.20,2.33,34.28,0.39,49.66
ref000905,5.65,-65.20,-50.23,58.96,1.29,9,7,27.56,0.34,24,1.76,0.03,29.42,0.20,54.47
lo000905,19.16,-12.36,-6.41,82.98,19.82,9,6,10.74,1.69,634,0.69,17.85,54.91,1.78,62.82
ls000905,23.08,-24.72,-17.60,269.02,35.60,9,6,21.87,1.06,667,1.40,11.92,166.60,1.06,52.05
refAS51,3.64,-22.75,-20.17,29.99,3.49,14,8,13.41,0.33,717,0.86,4.59,14.97,0.27,52.80
loAS51,2.40,-11.08,-6.73,14.76,2.05,6,6,5.46,0.46,1315,0.35,0.94,7.44,0.44,54.24
lsAS51,1.31,-28.68,-14.62,35.38,1.87,6,10,9.14,0.19,408,0.59,-1.19,15.85,0.14,50.09
refHSCEI,0.22,-75.54,-75.29,159.47,0.52,19,12,29.63,0.16,24,1.90,-0.38,23.31,0.01,50.47
loHSCEI,7.86,-28.19,-22.29,52.94,5.61,7,9,12.51,0.67,1235,0.80,3.66,24.08,0.63,53.80
lsHSCEI,5.21,-54.13,-42.01,61.45,3.79,7,11,20.76,0.35,3041,1.33,1.60,24.72,0.25,52.53
refTOPIX,8.42,-35.31,-22.99,59.24,4.95,12,8,17.06,0.56,741,1.09,4.54,24.21,0.49,53.20
loTOPIX,5.19,-10.72,-5.44,20.16,5.80,5,7,7.49,0.71,318,0.48,4.39,13.28,0.69,54.00
lsTOPIX,2.04,-20.70,-19.71,34.16,5.94,5,7,13.54,0.22,622,0.87,6.22,17.71,0.15,49.73
refnky,10.68,-31.80,-27.79,82.55,12.78,17,7,20.80,0.59,590,1.33,11.59,39.29,0.51,53.00
lonky,7.81,-15.54,-14.80,32.41,7.47,8,4,9.76,0.82,727,0.62,7.81,17.91,0.80,53.23
lsnky,5.36,-45.71,-34.53,42.97,5.23,8,7,16.05,0.41,253,1.03,7.66,23.98,0.33,51.08
