x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
指数-SP500-DR,9.60,-33.92,-22.30,33.62,10.62,8,9,17.18,0.62,286,1.10,11.92,20.98,0.56,54.64
指数增强-SP500-DR,18.40,-26.67,-5.43,43.76,17.79,13,9,16.22,1.12,123,1.04,18.22,26.88,1.13,55.66
long-short-SP500-DR,7.76,-4.55,-3.07,23.89,6.54,15,11,4.04,1.87,339,0.26,6.27,10.56,1.92,56.89
指数-SP500-ETE,9.60,-33.92,-22.30,33.62,10.62,8,9,17.18,0.62,286,1.10,11.92,20.98,0.56,54.64
指数增强-SP500-ETE,18.62,-26.21,-10.73,38.99,17.90,9,9,16.17,1.14,121,1.04,18.44,26.44,1.15,55.87
long-short-SP500-ETE,7.95,-3.39,-0.08,23.74,6.61,13,11,4.24,1.82,182,0.27,5.87,11.15,1.87,55.00
指数-as51-DR,3.60,-36.53,-27.34,50.33,3.88,10,8,15.27,0.31,661,0.98,4.99,16.24,0.24,53.48
指数增强-as51-DR,11.87,-29.86,-16.51,62.87,12.13,11,7,14.67,0.84,374,0.94,12.76,25.01,0.81,54.54
long-short-as51-DR,7.82,-5.90,1.65,19.82,7.85,11,9,3.25,2.34,109,0.21,7.34,12.94,2.41,59.72
指数-as51-ETE,3.60,-36.53,-27.34,50.33,3.88,10,8,15.27,0.31,661,0.98,4.99,16.24,0.24,53.48
指数增强-as51-ETE,9.05,-28.74,-16.82,53.68,9.49,10,9,14.75,0.66,432,0.94,9.54,23.12,0.61,54.46
long-short-as51-ETE,5.11,-6.03,0.75,13.92,5.31,11,8,3.25,1.55,170,0.21,4.51,9.30,1.58,56.06
指数-csi300-csi300-DR,4.56,-46.70,-42.53,147.77,8.58,12,9,22.55,0.31,1360,1.44,5.26,38.57,0.20,51.74
指数增强-csi300-csi300-DR,24.88,-35.06,-20.76,226.63,30.47,13,9,22.72,1.09,499,1.45,20.32,80.50,1.10,53.12
long-short-csi300-csi300-DR,19.21,-5.25,3.14,51.49,19.61,13,7,6.54,2.72,131,0.42,17.34,35.17,2.94,59.48
指数-csi300-csi300-ETE,4.56,-46.70,-42.53,147.77,8.58,12,9,22.55,0.31,1360,1.44,5.26,38.57,0.20,51.74
指数增强-csi300-csi300-ETE,22.22,-32.02,-17.42,239.15,28.68,12,10,22.44,1.01,441,1.44,19.50,91.98,0.99,52.27
long-short-csi300-csi300-ETE,16.58,-4.20,0.63,55.37,17.56,11,12,6.74,2.31,146,0.43,13.32,40.71,2.46,54.63
指数-csi500-csi300-DR,2.32,-65.20,-50.23,197.63,7.79,10,8,25.95,0.22,891,1.66,2.14,39.55,0.09,53.75
指数增强-csi500-csi300-DR,20.90,-39.54,-33.31,297.97,28.59,9,8,25.67,0.87,929,1.64,14.32,76.27,0.81,53.29
long-short-csi500-csi300-DR,17.45,-10.34,-8.77,62.88,18.00,13,12,10.18,1.63,311,0.65,15.65,41.65,1.71,52.22
指数-csi500-csi300-ETE,2.32,-65.20,-50.23,197.63,7.79,10,8,25.95,0.22,891,1.66,2.14,39.55,0.09,53.75
指数增强-csi500-csi300-ETE,18.82,-41.18,-31.37,308.23,28.39,9,8,25.59,0.80,1114,1.64,17.50,77.74,0.74,53.53
