x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
cars-long,9.07,-25.03,-24.29,39.58,6.17,10,4,15.25,0.65,901,0.98,5.64,18.81,0.59,57.14
cars-short,-3.69,-32.67,-27.16,34.80,0.31,5,5,17.76,-0.12,612,1.14,1.02,19.23,-0.21,47.15
cars-long-short,5.04,-37.45,-31.78,58.67,6.57,12,10,23.41,0.33,485,1.50,8.33,29.79,0.22,52.03
cars-ref,9.74,-49.03,-42.91,55.21,4.63,11,7,23.40,0.52,20,1.50,6.52,26.81,0.42,54.95
ada-long,16.83,-23.36,-14.26,66.84,12.62,10,5,16.70,1.02,310,1.07,10.14,30.01,1.01,56.09
ada-short,3.65,-22.80,-16.34,47.26,6.46,7,5,16.37,0.30,659,1.05,1.41,26.56,0.22,47.00
ada-long-short,21.10,-25.26,-13.62,121.35,20.31,16,10,23.37,0.94,655,1.50,10.20,55.71,0.90,52.73
ada-ref,9.74,-49.03,-42.91,55.21,4.63,11,7,23.40,0.52,20,1.50,6.52,26.81,0.42,54.95
S70P2-ref,9.74,-49.03,-42.91,55.21,4.63,11,7,23.40,0.52,20,1.50,6.52,26.81,0.42,54.95
S70P2-长中短,20.66,-28.36,-14.97,116.70,15.52,10,7,20.50,1.02,459,1.31,13.15,30.80,1.01,55.83
S70P2-长期,17.26,-32.34,-12.97,96.57,15.46,10,11,23.38,0.80,524,1.50,12.02,28.93,0.74,53.17
S70P2-中期,18.76,-32.18,-25.39,102.83,13.27,11,9,23.37,0.85,856,1.50,13.17,28.91,0.80,55.30
S70P2-短期,21.10,-25.26,-13.62,121.35,20.31,16,10,23.37,0.94,655,1.50,10.20,55.71,0.90,52.73
