x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
down-mean-全市场-long-short,10.17,-13.41,-3.11,25.33,10.55,15,9,4.49,2.18,245,0.29,10.10,17.31,2.27,56.59
down-mean-800股票池-long-short,5.60,-17.26,-10.59,21.58,5.51,10,15,5.75,0.98,244,0.37,4.99,17.34,0.97,52.60
down-mean-300股票池-long-short,5.45,-18.22,-11.23,35.15,5.84,12,11,7.64,0.73,217,0.49,5.03,19.15,0.71,52.00
down-mean-500股票池-long-short,5.79,-17.86,-14.74,26.17,5.68,14,10,6.22,0.94,420,0.40,5.75,15.12,0.93,52.67
publ-全市场-long-short,13.87,-5.15,0.71,40.06,14.06,12,13,4.36,3.00,133,0.28,12.68,24.21,3.18,57.87
publ-800股票池-long-short,8.15,-11.42,-10.85,40.94,8.37,11,13,5.49,1.46,479,0.35,8.43,18.29,1.48,52.58
publ-300股票池-long-short,5.07,-18.66,-14.75,41.68,5.87,10,10,7.61,0.69,433,0.49,6.15,14.53,0.67,52.62
publ-500股票池-long-short,9.81,-10.67,-9.33,41.06,9.78,15,12,6.29,1.52,266,0.40,8.91,20.22,1.56,53.78
ubl-全市场-long-short,16.16,-6.40,4.03,45.42,16.36,19,8,5.16,2.93,118,0.33,14.32,25.37,3.13,57.73
ubl-800股票池-long-short,10.20,-9.61,-7.20,40.21,10.19,10,9,5.95,1.66,275,0.38,9.78,19.55,1.72,54.55
ubl-300股票池-long-short,9.15,-19.06,-18.23,51.70,9.79,10,9,7.76,1.17,160,0.50,9.15,20.09,1.18,54.41
ubl-500股票池-long-short,11.40,-11.26,-6.21,39.48,10.94,16,11,6.92,1.59,248,0.44,10.25,21.22,1.65,54.44
up-std-全市场-long-short,9.90,-3.37,2.21,23.98,10.28,16,9,3.86,2.47,158,0.25,9.73,16.49,2.57,57.36
up-std-800股票池-long-short,8.45,-3.92,-1.46,21.90,8.23,12,9,4.73,1.74,280,0.30,7.96,12.98,1.79,55.55
up-std-300股票池-long-short,6.99,-12.64,-12.33,38.41,7.95,10,14,7.01,1.00,413,0.45,6.54,18.96,1.00,52.18
up-std-500股票池-long-short,10.38,-7.31,-5.99,23.63,9.72,11,9,5.76,1.75,295,0.37,9.58,17.50,1.80,55.03
wlm-down-mean-全市场-long-short,14.62,-6.11,0.17,48.54,14.81,15,9,5.75,2.40,108,0.37,12.80,25.65,2.54,57.33
wlm-down-mean-800股票池-long-short,6.68,-14.78,-10.72,31.82,6.80,13,14,6.74,0.99,185,0.43,8.58,14.88,0.99,51.86
wlm-down-mean-300股票池-long-short,4.68,-16.73,-14.29,27.79,5.14,12,10,8.55,0.58,486,0.55,6.61,13.48,0.55,50.92
wlm-down-mean-500股票池-long-short,8.10,-17.11,-15.27,36.51,8.45,18,16,7.45,1.08,234,0.48,9.14,19.38,1.09,52.77
wlm-up-std-全市场-long-short,7.85,-5.36,-1.31,21.79,8.03,14,11,4.03,1.89,299,0.26,6.98,16.70,1.95,54.48
wlm-up-std-800股票池-long-short,3.81,-11.42,-7.91,21.27,4.21,13,11,5.20,0.75,833,0.33,3.25,13.12,0.73,51.81
wlm-up-std-300股票池-long-short,3.82,-17.85,-16.16,26.60,5.26,11,10,7.49,0.54,876,0.48,3.55,18.18,0.51,51.96
wlm-up-std-500股票池-long-short,4.13,-10.69,-9.73,21.24,4.37,11,11,5.99,0.71,764,0.38,3.73,13.50,0.69,51.69
S73P2-beta,40.66,-40.47,-38.13,306.61,56.44,8,8,28.46,1.35,73,4.02,37.64,209.17,1.43,58.91
S73P2-csad,25.35,-32.44,-24.88,186.74,27.45,10,5,23.50,1.08,71,3.32,18.25,62.62,1.08,59.39
S73P2-cssd,29.60,-47.46,-47.15,271.36,41.50,9,3,26.58,1.11,171,3.76,23.93,157.38,1.11,58.62
S73P2-mix1,31.56,-44.18,-42.84,271.31,39.11,8,8,27.91,1.13,139,3.95,33.37,110.18,1.13,57.58
S73P2-mix2,30.33,-46.26,-44.75,263.59,37.25,8,8,28.11,1.09,140,3.97,32.33,108.89,1.08,57.87
S73P2-beta_cssd,41.21,-41.76,-40.79,276.82,54.87,9,8,28.11,1.37,73,3.98,39.12,191.70,1.47,58.82
