x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
股指期货回测,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
沪深300股指期货,7.34,-4.91,-3.71,26.61,7.70,2,2,5.99,1.21,293,0.38,6.24,18.86,1.23,63.28
中证500股指期货,1.68,-14.98,-13.27,9.15,0.24,2,3,9.94,0.22,25,0.64,1.11,5.66,0.17,47.53
上证50股指期货,3.51,-5.47,-4.04,12.21,2.48,3,3,5.38,0.67,591,0.34,2.50,7.81,0.65,56.16
国债,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
2年期国债期货,0.26,-0.52,-0.37,1.29,0.59,8,7,0.59,0.44,357,0.04,0.81,1.04,0.44,51.52
5年期国债期货,0.40,-6.46,-4.36,7.10,0.41,10,8,2.49,0.17,335,0.16,0.17,3.54,0.16,49.66
10年期国债期货,-0.26,-7.91,-7.36,4.76,0.07,13,9,3.77,-0.05,265,0.24,0.43,3.45,-0.07,50.17
郑商所,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
郑苹果105,8.59,-4.21,0.47,16.80,10.14,3,1,6.41,1.32,109,0.41,10.21,14.26,1.34,61.68
郑棉花105,1.19,-33.59,-20.66,46.41,1.95,4,3,8.05,0.19,1481,0.52,1.72,13.20,0.15,47.89
郑红枣105,-0.86,-11.31,-8.78,6.31,-2.07,2,3,7.99,-0.07,80,0.51,-3.93,5.43,-0.11,51.09
郑棉纱105,2.17,-6.08,-3.14,8.32,2.66,2,2,4.62,0.49,423,0.30,2.38,6.47,0.47,54.96
郑玻璃105,7.02,-9.05,-7.37,29.02,6.89,2,3,5.56,1.25,399,0.36,5.81,17.38,1.26,56.94
郑粳稻101,-1.13,-8.32,-7.32,1.78,-0.69,3,2,2.90,-0.38,59,0.19,0.00,0.38,-0.39,50.54
郑甲醇105,8.53,-4.43,-1.27,19.97,8.91,3,2,5.41,1.54,181,0.35,9.01,16.09,1.57,56.49
郑菜油105,-0.49,-37.35,-24.93,25.92,0.09,4,3,9.64,-0.00,1,0.62,0.52,11.48,-0.05,53.47
郑普麦105,-0.07,-2.42,-2.28,2.46,0.11,1,1,1.42,-0.04,646,0.09,0.00,2.46,-0.05,48.00
郑菜籽粕105,7.16,-14.51,-13.20,44.67,7.76,2,3,6.02,1.18,333,0.39,6.15,29.18,1.19,55.80
郑纯碱105,9.54,-6.16,10.29,11.25,10.76,1,3,8.83,1.08,122,0.57,10.78,11.25,1.08,47.62
郑硅铁105,0.44,-21.49,-11.68,24.41,2.96,2,4,7.47,0.10,415,0.48,-1.09,17.28,0.06,47.86
郑锰硅105,-0.57,-28.02,-27.56,42.18,1.52,2,3,8.50,-0.03,704,0.54,-0.38,22.44,-0.07,50.94
郑白糖105,3.07,-15.44,-9.79,29.33,3.68,3,4,6.31,0.51,1085,0.40,3.05,9.12,0.49,51.82
郑PTA105,1.38,-35.08,-22.82,32.34,1.60,3,3,6.74,0.24,744,0.43,1.38,15.07,0.20,50.07
郑尿素105,-7.83,-12.89,-12.54,-4.20,-8.24,2,2,8.01,-0.98,35,0.51,-7.06,-4.80,-0.98,37.50
郑强麦101,1.80,-11.91,-8.64,12.07,1.96,3,5,4.34,0.43,1413,0.28,1.73,7.78,0.42,52.29
郑动力煤105,4.79,-11.17,-6.45,22.40,4.88,3,2,5.58,0.87,443,0.36,4.79,12.93,0.86,56.89
大商所,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
连豆一2101,1.47,-22.71,-16.90,39.56,1.64,4,5,7.59,0.23,623,0.49,0.42,11.88,0.19,53.91
连豆二2012,-1.97,-10.21,-6.42,2.92,-2.28,2,3,5.12,-0.36,1,0.33,-3.28,1.20,-0.39,52.27
连玉米2101,0.35,-15.99,-10.85,13.50,1.16,4,3,4.49,0.10,654,0.29,0.62,7.45,0.08,48.11
连玉米淀粉2101,-7.16,-38.48,-27.15,6.64,-7.31,2,3,6.54,-1.10,37,0.42,-7.73,2.91,-1.09,43.10
连苯乙烯2101,-33.45,-28.94,NaN,NaN,NaN,2,3,16.21,-2.44,1,1.04,NaN,NaN,-2.06,42.59
连乙二醇2101,4.48,-5.43,4.31,13.72,9.23,3,3,6.91,0.67,116,0.44,9.03,12.31,0.65,53.61
连铁矿石2101,6.13,-10.30,-8.14,26.02,7.35,2,2,8.58,0.74,166,0.55,6.50,16.31,0.71,51.96
连焦炭2101,10.74,-5.13,-1.36,29.24,11.34,4,2,5.56,1.86,255,0.36,11.00,22.32,1.93,63.09
连鸡蛋2101,5.53,-15.78,-12.50,27.46,5.98,3,2,7.48,0.76,879,0.48,6.84,22.10,0.74,52.09
连焦煤2101,1.79,-14.52,-9.52,15.61,1.72,2,3,7.50,0.27,1227,0.48,0.09,10.88,0.24,50.63
连聚乙烯2101,5.08,-6.89,-4.09,20.27,4.50,3,3,6.80,0.76,725,0.44,3.53,12.18,0.75,55.21
连豆粕2101,3.14,-12.48,-9.29,20.05,3.32,4,4,7.01,0.48,713,0.45,2.81,10.45,0.45,53.60
连棕油2101,4.14,-18.35,-11.55,35.61,1.87,5,4,7.07,0.61,2540,0.45,0.81,11.71,0.58,53.18
连聚丙烯2101,5.30,-8.22,-4.81,31.92,6.81,4,3,6.35,0.85,463,0.41,3.99,21.71,0.83,55.23
连粳米2012,-0.53,-2.73,NaN,NaN,NaN,2,1,2.69,-0.19,37,0.17,NaN,NaN,-0.20,50.00
连PVC2101,-0.79,-28.57,-19.13,29.29,-0.07,3,3,7.94,-0.06,24,0.51,-0.49,9.00,-0.10,49.83
连豆油2101,1.55,-29.43,-16.57,30.78,1.67,3,4,6.76,0.26,200,0.43,-0.69,17.40,0.23,49.53
上商所,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
沪白银2102,2.47,-11.73,-6.64,14.40,2.26,3,4,7.09,0.38,492,0.45,1.53,7.31,0.35,52.28
沪铝2102,-0.49,-18.96,-12.05,19.10,-0.02,3,3,6.51,-0.04,1065,0.42,0.04,6.81,-0.08,51.68
沪黄金2106,-1.62,-52.72,-25.79,22.87,-1.98,5,4,11.41,-0.09,27,0.73,-1.35,13.07,-0.14,48.83
沪石油沥青2106,5.85,-11.05,-9.30,24.87,10.27,2,2,9.39,0.65,401,0.60,11.90,20.37,0.62,59.13
沪铜2102,-0.74,-48.09,-25.83,35.14,-0.30,3,3,8.98,-0.04,536,0.57,-0.70,11.94,-0.08,48.13
沪燃油2105,2.65,-15.43,-12.84,21.82,4.01,3,3,8.11,0.36,486,0.52,4.83,13.63,0.33,51.24
沪热轧卷板2105,4.07,-9.80,-7.56,23.51,6.77,4,3,7.56,0.57,301,0.48,5.77,18.88,0.54,57.64
沪镍2103,6.96,-18.11,-16.18,31.54,8.63,4,3,8.12,0.87,555,0.52,8.69,26.60,0.86,58.61
沪铅2102,3.29,-21.21,-18.32,28.63,4.37,3,5,7.08,0.49,427,0.45,4.12,18.53,0.46,54.88
沪螺钢2105,4.41,-27.54,-13.80,30.28,3.51,4,4,6.55,0.69,2272,0.42,2.36,21.41,0.67,53.78
沪天胶2105,4.05,-39.16,-24.82,30.19,4.68,4,2,9.15,0.48,1677,0.59,4.18,18.92,0.44,55.04
沪锡2103,-1.25,-13.98,-8.02,13.89,-1.55,3,3,5.24,-0.21,137,0.34,-3.24,7.06,-0.24,52.15
沪纸浆2103,-5.50,-17.18,-14.97,3.02,-7.92,2,4,6.39,-0.85,30,0.41,-8.59,-0.64,-0.86,45.38
沪不锈钢2103,-9.65,-8.70,NaN,NaN,NaN,1,2,7.54,-1.32,1,0.48,NaN,NaN,-1.28,31.82
沪锌2102,-5.77,-101.60,-158735.85,51132.70,109.56,3,3,4891.06,-0.27,1,313.12,-7.03,318.52,-0.00,48.75
