日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-02-09,'399300,沪深300,5686.2502,5686.2502,5555.0537,5584.165,5564.5618,121.6884,2.1868,16488726000,3.78769121172e+11
2021-02-08,'399300,沪深300,5564.5618,5576.4908,5479.8529,5506.1423,5483.414,81.1478,1.4799,16403377500,3.67582771659e+11
2021-02-05,'399300,沪深300,5483.414,5550.7714,5477.6517,5494.7011,5473.9475,9.4665,0.1729,18969959800,3.9540013449e+11
2021-02-04,'399300,沪深300,5473.9475,5510.0535,5411.5749,5453.9764,5485.2008,-11.2533,-0.2052,18057565400,3.9799520538e+11
2021-02-03,'399300,沪深300,5485.2008,5532.8864,5473.1237,5499.2961,5501.0915,-15.8907,-0.2889,18805431700,4.04343602638e+11
2021-02-02,'399300,沪深300,5501.0915,5503.2145,5411.5173,5429.7032,5417.6484,83.4431,1.5402,16521056500,3.80016716112e+11
2021-02-01,'399300,沪深300,5417.6484,5422.299,5342.0458,5356.8535,5351.9646,65.6838,1.2273,16631370600,3.4685908373e+11
2021-01-29,'399300,沪深300,5351.9646,5430.2015,5288.0955,5413.9684,5377.1427,-25.1781,-0.4682,18217878400,3.90287690019e+11
2021-01-28,'399300,沪深300,5377.1427,5462.2352,5360.3766,5450.3695,5528.0034,-150.8607,-2.729,17048558500,3.76166523178e+11
2021-01-27,'399300,沪深300,5528.0034,5534.9928,5449.6385,5505.7708,5512.9678,15.0356,0.2727,16019084100,3.76892605839e+11
2021-01-26,'399300,沪深300,5512.9678,5600.9017,5505.9962,5600.9017,5625.9232,-112.9554,-2.0078,17190459000,4.15008069865e+11
2021-01-25,'399300,沪深300,5625.9232,5655.4795,5543.2663,5564.1237,5569.776,56.1472,1.0081,19704701900,5.08166980802e+11
2021-01-22,'399300,沪深300,5569.776,5573.6594,5513.8769,5562.379,5564.9693,4.8067,0.0864,19930002000,4.56622193436e+11
2021-01-21,'399300,沪深300,5564.9693,5593.1058,5490.5626,5492.9587,5476.4336,88.5357,1.6167,20995019700,4.53183684479e+11
2021-01-20,'399300,沪深300,5476.4336,5496.0493,5426.5357,5439.9111,5437.5234,38.9102,0.7156,17091326000,3.73770384496e+11
2021-01-19,'399300,沪深300,5437.5234,5532.4793,5415.7166,5525.969,5518.5205,-80.9971,-1.4677,21104342500,4.3320517645e+11
2021-01-18,'399300,沪深300,5518.5205,5541.4613,5410.775,5438.1618,5458.0812,60.4393,1.1073,20705186900,4.22717209153e+11
2021-01-15,'399300,沪深300,5458.0812,5500.6348,5390.2737,5471.391,5470.4563,-12.3751,-0.2262,23863743500,4.75709920372e+11
2021-01-14,'399300,沪深300,5470.4563,5568.0179,5458.6818,5556.2125,5577.9711,-107.5148,-1.9275,24368338000,5.01890111879e+11
2021-01-13,'399300,沪深300,5577.9711,5644.7195,5535.1435,5609.2637,5596.3525,-18.3814,-0.3285,26156988600,5.46959736366e+11
2021-01-12,'399300,沪深300,5596.3525,5596.3525,5417.6272,5419.4996,5441.1583,155.1942,2.8522,22422018600,4.8623376074e+11
2021-01-11,'399300,沪深300,5441.1583,5555.6916,5412.5046,5504.2358,5495.4306,-54.2723,-0.9876,23183598300,5.22298482544e+11
2021-01-08,'399300,沪深300,5495.4306,5547.4733,5442.6939,5526.2876,5513.6568,-18.2262,-0.3306,20432495600,4.73567653979e+11
